gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-9.864944534775073,NA,5.90670851442591e-23,0.07755146379494757,0.5357878562990591,5.453509789191829e-23,NA,16,28,28,2.50668052335975e-26,0.08206856605905677
ENSG00000143603.18,KCNN3,-9.04494264989809,NA,1.497437540878166e-19,0.0057599331644098625,0.0485656949108759,0.021152715544166187,NA,14,16,16,1.5260183384985904e-37,0.029531813798012643
ENSG00000279325.1,RP11-24H2.3,-7.711825471374059,NA,1.2403067500171634e-14,0.01843807527035725,0.1201957788295652,0.00013670815393830726,NA,7,9,9,5.558502569486777e-28,0.03933274504889312
ENSG00000120071.13,KANSL1,-7.4329449807787675,NA,1.0620608562978583e-13,0.035450823213082044,0.1396833542465198,4.159018245005324e-05,NA,49,62,62,3.6384857348468097e-127,0.09382408232364244
ENSG00000161618.9,ALDH16A1,7.311824567558861,NA,2.6353904670209624e-13,0.035851491875038416,0.1910539490792464,7.2631908189462e-07,NA,25,26,26,2.318178651151659e-17,0.1285899703738799
ENSG00000100225.17,FBXO7,6.452763268332778,NA,1.0982885515356732e-10,0.017827653789846635,0.13018199927219598,5.144796159138341e-05,NA,18,18,18,3.3731234799526765e-13,0.038485024996367335
ENSG00000275759.1,RP11-131L12.3,-6.433487139189304,NA,1.2470915133982972e-10,0.08850869297850189,0.18077641293401475,9.202738697635876e-07,NA,67,69,69,2.449972748881034e-31,0.18544932742815248
ENSG00000225190.10,PLEKHM1,-6.329131895492398,NA,2.4654430270825564e-10,0.000634301446679934,0.09559835988585186,0.0005540307611728863,NA,4,10,10,1.1889735570474234e-36,0.022060648367616613
ENSG00000176681.14,LRRC37A,-6.247441770898265,NA,4.1722974768284975e-10,0.2202676864990801,0.4579686762058472,4.57138147162264e-17,NA,15,19,19,1.4580607919133822e-21,0.40662707807988063
ENSG00000205078.5,SYCE1L,5.939020255305364,NA,2.8673044249546634e-09,0.07847162014203453,0.3546871252888649,2.7082958992841848e-12,NA,17,17,17,9.380561037691105e-15,0.19587440393034944
ENSG00000213390.10,ARHGAP19,5.754940871368903,NA,8.66721259826167e-09,0.0041559725573424725,0.045011794439725625,0.02284493300525466,NA,9,9,9,9.04472368237692e-26,0.1200308950278054
ENSG00000185829.17,ARL17A,-5.639022026915941,NA,1.7101866136123174e-08,0.011649721387113569,0.2280539399536305,7.765201219037165e-08,NA,5,14,14,2.4103082674993838e-14,0.12582393932404135
ENSG00000122687.17,MRM2,5.539785856343824,NA,3.0284173611874036e-08,0.014717361462377378,0.18684685421449085,1.621424714629948e-06,NA,6,6,6,9.484893620019952e-10,0.036962424321106746
ENSG00000174600.13,CMKLR1,5.4569337971111205,NA,4.844268643108519e-08,0.01753896686181087,0.17395743345968315,2.7207952240139992e-06,NA,36,39,39,2.967980815104043e-17,0.1406153936561219
ENSG00000170222.11,ADPRM,-5.333721083787705,NA,9.622028370687115e-08,0.02737323217896586,0.08449314313011114,0.0017924009182637105,NA,36,36,36,2.24609662106754e-14,0.1163591299435331
ENSG00000105976.14,MET,-5.310531216252106,NA,1.0930615928591816e-07,0.048917775750416156,0.23134777421123626,1.3331657468472353e-08,NA,12,13,13,1.934459814590112e-13,0.04772580358851225
ENSG00000274419.6,TBC1D3D,5.183875807511121,NA,2.1732167311273055e-07,0.0010564429418182017,0.16170977888943894,7.198833466348946e-06,NA,2,27,27,1.1620973446722276e-07,0.04278529382936831
ENSG00000238078.1,LINC01352,5.176651206363236,NA,2.2590397718887382e-07,0.03924015065578241,0.12514386715665396,0.0001634819452591255,NA,9,10,10,5.26457817562236e-13,0.1409227317021165
ENSG00000105928.13,DFNA5,5.029180936051926,NA,4.925794146699045e-07,0.04824030027265678,0.2581599662623532,5.746572983567773e-09,NA,9,9,9,1.3968441443679499e-08,0.07762893061499401
ENSG00000126790.11,L3HYPDH,-4.941323088370704,NA,7.759420364580067e-07,0.13579712627716795,0.4435318618754048,2.6294105421366606e-16,NA,44,46,46,4.361555978639032e-12,0.1032678874880411
ENSG00000064999.13,ANKS1A,4.924430211757363,NA,8.460651621958809e-07,0.011291753422814913,0.08724277930299973,0.0011838169541671033,NA,14,36,36,1.8664178659075135e-15,0.029727117152810945
ENSG00000174165.7,ZDHHC24,-4.881451635989631,NA,1.0530775204984184e-06,0.06278821209898255,0.22337213957682495,7.650836361502724e-08,NA,41,41,41,2.9830036004238786e-08,0.10072031701622347
ENSG00000089220.4,PEBP1,4.846786803589827,NA,1.2547714252143271e-06,0.007254422467218486,0.07335169713637593,0.003264803820028189,NA,31,37,37,5.625077789135711e-32,0.07435165694681188
ENSG00000090487.10,SPG21,-4.658573985406824,NA,3.1840737044438495e-06,0.014668519956160184,0.07430579883181339,0.0030499146887427745,NA,8,8,8,4.450815441560585e-08,0.03760690784642492
ENSG00000159210.9,SNF8,-4.542146577791652,NA,5.568430047954947e-06,0.010954198755705944,0.049431712866753436,0.01871805683556961,NA,32,33,33,4.453219577758117e-12,0.06684321003517438
ENSG00000267107.6,PCAT19,-4.4441838196902825,NA,8.822614977235775e-06,0.01552721775130012,0.04864798533710686,0.018494844415377704,NA,22,27,27,1.3537566316027096e-10,0.11542387936190784
ENSG00000278376.1,RP11-158I9.8,4.421857332161837,NA,9.785606487944937e-06,0.02494475771954019,0.23202822664905634,5.551612046354086e-08,NA,23,25,25,1.0454372209337106e-10,0.029481607682137718
ENSG00000110900.14,TSPAN11,-4.397812663092745,NA,1.0934729669982775e-05,0.06295590804194348,0.35563024360198675,1.3367110614135468e-12,NA,20,20,20,1.953968867188317e-06,0.1111670361119707
ENSG00000120451.10,SNX19,-4.217590703471183,NA,2.4692650457775997e-05,0.14884069551931117,0.3974849829152049,3.846322767770578e-15,NA,61,64,64,1.8546886574743163e-13,0.28901992135743304
ENSG00000128944.13,KNSTRN,4.215323425852886,NA,2.4942047839453996e-05,0.1740351068450156,0.4792252413154763,3.8926089055449596e-20,NA,28,29,29,2.0310414674382666e-06,0.21175587611071267
ENSG00000164296.6,TIGD6,4.147943881987523,NA,3.3547460041340806e-05,0.05031933112853153,0.12725570360359206,0.00010301816274870057,NA,25,26,26,1.9872692278878222e-11,0.17730834171870838
ENSG00000204033.9,LRIT2,-4.1280001665530355,NA,3.65931849890141e-05,0.01827588632286339,0.05945132542380605,0.009153350349636616,NA,50,52,52,2.65202521098954e-10,0.2138843497311204
ENSG00000203666.12,EFCAB2,4.029550669441086,NA,5.5883569645049637e-05,0.11684503751785921,0.4875828271564802,1.8363550949249663e-19,NA,58,64,64,3.468961428864515e-10,0.13374476866592666
ENSG00000242802.6,AP5Z1,-3.935273787403951,NA,8.310190606728762e-05,0.0031190926092017953,0.09133104881783084,0.0009800877642471076,NA,2,2,2,8.498105269009563e-05,0.15672877664069884
