gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000143603.18,KCNN3,-12.89499255266861,NA,4.803095353464687e-38,0.0016983645763967497,0.05342011035247096,0.007086542088014423,NA,3,4,4,1.5260183384985904e-37,0.04674401177779077
ENSG00000185829.17,ARL17A,-11.446823215946267,NA,2.4392165021893334e-30,0.050425350538776906,0.35679891058230523,2.6628997920961517e-14,NA,12,22,22,3.323412047845522e-127,0.06047214042941559
ENSG00000238083.7,LRRC37A2,-9.640538345411114,NA,5.390453147233073e-22,0.1264820761803673,0.6503381574947649,3.090153830321848e-35,NA,20,32,32,2.50668052335975e-26,0.19010300428278454
ENSG00000161618.9,ALDH16A1,7.945656689519145,NA,1.9316471552546643e-15,0.03860960346517971,0.2831982125616778,6.210330095784499e-11,NA,16,17,17,2.318178651151659e-17,0.02149036525821782
ENSG00000163354.14,DCST2,-7.760007095423134,NA,8.492463413362275e-15,0.027699013259832234,0.17429983303894106,1.1950006798075384e-06,NA,22,25,25,6.946278276839863e-19,0.06702178373085506
ENSG00000115556.13,PLCD4,7.725233939931843,NA,1.1164810681076801e-14,0.011990265522654479,0.03944371827880759,0.0244973212148822,NA,34,34,34,1.0569414806276039e-16,0.024808067756854832
ENSG00000100522.8,GNPNAT1,-7.577293395996093,NA,3.528382595300144e-14,0.00039735443839332635,0.04879898725277191,0.013059513670235152,NA,1,1,1,3.5283825953001177e-14,0.03222367483845847
ENSG00000187824.8,TMEM220,7.415404736148406,NA,1.2125393645148957e-13,0.015099451225431982,0.2461266731735425,9.396840437453344e-10,NA,48,48,48,6.320142762240861e-19,0.03414875442693531
ENSG00000115137.11,DNAJC27,-7.2233225726243795,NA,5.073247871148636e-13,0.006202550596858996,0.11299259971045945,8.223007534791484e-05,NA,19,21,21,9.621060215881901e-15,0.031060167092479288
ENSG00000164366.3,CCDC127,6.8954932805835325,NA,5.3678211055367495e-12,0.011003350952591893,0.1604335857560782,2.1861548165745623e-06,NA,7,7,7,6.953763429193148e-13,0.05717606813829679
ENSG00000176681.14,LRRC37A,-6.765191054421787,NA,1.3313339693549483e-11,0.1951645751208659,0.5875248754115736,2.0368116810453062e-29,NA,23,36,36,1.4964949797387827e-91,0.3997569031643743
ENSG00000273841.4,TAF9,6.536186807205627,NA,6.310708519572408e-11,0.00250081033063263,0.10532093972050027,0.00012726138263411297,NA,5,5,5,2.2123211802463935e-11,0.018754576581626832
ENSG00000204084.12,INPP5B,6.324698146334675,NA,2.537280787016082e-10,0.007404702292066162,0.10917578276575617,0.0001192841388374336,NA,14,14,14,1.2161332415579046e-14,0.05450779597939591
ENSG00000126790.11,L3HYPDH,-6.125732484100284,NA,9.026736069581289e-10,0.06047610135303391,0.25120017389886623,4.194212809452999e-10,NA,27,28,28,1.4572785391272353e-12,0.05592680948350825
ENSG00000178927.17,C17orf62,-6.115130999316635,NA,9.647767704905807e-10,0.005835371046393459,0.09615996138671498,0.0003238534409006391,NA,7,7,7,3.5234287451187714e-12,0.03952156390026588
ENSG00000105971.14,CAV2,6.079698765401908,NA,1.204085385055831e-09,0.004871243636162874,0.04809399100854103,0.013341879974744435,NA,11,11,11,3.625439444793237e-15,0.0496751943647033
ENSG00000138785.14,INTS12,-5.984909527598696,NA,2.1651017399097656e-09,0.0035428757574131925,0.04723877877538797,0.014640856642201931,NA,8,8,8,1.1271334362338165e-14,0.05536486943558669
ENSG00000086666.18,ZFAND6,-5.8814702384867585,NA,4.066380731254785e-09,0.0023922840144582867,0.05041810754349965,0.011617170934101041,NA,7,7,7,9.743593296248008e-15,0.028730779679571945
ENSG00000134294.13,SLC38A2,-5.801934410042806,NA,6.55542060702422e-09,0.030639578681552156,0.0583712572921342,0.006078136855781363,NA,97,100,100,8.493411039804365e-39,0.05523911750932076
ENSG00000140718.20,FTO,5.42740691264598,NA,5.717867061031011e-08,0.014432874698127762,0.26142693349749635,4.3863694860343754e-11,NA,23,25,25,9.650879798769706e-11,0.29522503609186496
