gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000186868.15,MAPT,-15.49081433515626,NA,4.001892366577711e-54,0.010785040239581975,0.08392667441280491,0.00016953744781852913,NA,21,33,33,3.6384857348468097e-127,0.10404667961369138
ENSG00000238083.7,LRRC37A2,-14.703070802703898,NA,6.160160688711777e-49,0.19605070644565178,0.6401741351253251,3.818652650290533e-43,NA,24,38,38,3.6384857348468097e-127,0.1601117406717186
ENSG00000225190.10,PLEKHM1,-11.694651285552036,NA,1.357436311075821e-31,0.0002740341926404022,0.1412691450503954,5.046714756264415e-07,NA,5,17,17,1.1889735570474234e-36,0.026276999177780296
ENSG00000120088.14,CRHR1,10.258388634835152,NA,1.0850213419163807e-24,0.0025572444261117116,0.05951915944509095,0.0014422500716814413,NA,5,9,9,2.4688648706165386e-24,0.03949812323637062
ENSG00000176681.14,LRRC37A,-7.806346263662777,NA,5.886970178898357e-15,0.2060109703326934,0.534563240118265,2.3825707812562664e-31,NA,36,53,53,3.6384857348468097e-127,0.5954665053401079
ENSG00000139428.11,MMAB,-7.802611334188286,NA,6.063909019316873e-15,0.01194815431751412,0.09526797229471506,5.742147142812877e-05,NA,29,31,31,1.3683670062737581e-24,0.0695716076798069
ENSG00000104228.12,TRIM35,7.747561115043823,NA,9.367425300992924e-15,0.008737822825497716,0.0834149781282201,0.0001408424803262791,NA,10,11,11,9.622756283095678e-16,0.13315457047729698
ENSG00000138031.14,ADCY3,-7.608886283056001,NA,2.7646786305785293e-14,0.004611633551791507,0.03106661022399628,0.02548288154903773,NA,13,13,13,1.5189069117842417e-27,0.04439889604208957
ENSG00000263874.2,LINC00672,7.431000796893912,NA,1.077790627633849e-13,0.007595047007724202,0.11787067352401286,7.3437227381584915e-06,NA,32,45,45,2.8712266991963463e-37,0.11899561007108475
ENSG00000181817.5,LSM10,-7.413616026692239,NA,1.2290142040309945e-13,0.024177147799689068,0.08875119979619311,0.00010037349899916188,NA,77,85,85,9.505769891935699e-14,0.3073686161028521
ENSG00000161618.9,ALDH16A1,7.321342758769154,NA,2.455018765478018e-13,0.05415974053353471,0.3196029313326422,1.2782127049457242e-15,NA,40,48,48,2.318178651151659e-17,0.11399682861850614
