gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000225190.10,PLEKHM1,14.617637348869485,NA,2.1679390658361236e-48,0.011597047447517154,0.5325489548092858,9.719058858217559e-30,NA,7,39,39,1.4964949797387827e-91,0.12499583241073214
ENSG00000272911.1,RP11-74E22.6,11.72941692870974,NA,9.007701739973086e-32,0.015855745225328156,0.10890330533838108,1.9674540579280814e-05,NA,8,8,8,1.6320338561944085e-34,0.061078884074120675
ENSG00000196670.13,ZFP62,-10.635910100468283,NA,2.0283863699168813e-26,0.0034782519302787255,0.091993239054799,0.00016789970079006834,NA,7,7,7,1.6383214203554685e-28,0.05005371932970956
ENSG00000275409.1,RP11-131L12.4,-10.39125631461716,NA,2.717497598016278e-25,0.009114346251569101,0.10231722140469522,6.182942230034318e-05,NA,48,48,48,2.449972748881034e-31,0.04636324168617457
ENSG00000185829.17,ARL17A,-9.758875601296086,NA,1.6901868319822065e-22,0.08070384948474532,0.6247165551391782,1.8768690016225558e-39,NA,30,60,60,3.6384857348468097e-127,0.487264227460552
ENSG00000238083.7,LRRC37A2,-8.895012210014334,NA,5.841287601607222e-19,0.08787639794688638,0.6926527542044916,1.750219768739754e-46,NA,19,52,52,5.631195239956176e-125,0.2697772966326282
ENSG00000228696.8,ARL17B,-8.297482616768493,NA,1.0634065396446893e-16,0.12132837949023234,0.30842333772188524,8.388585835640122e-14,NA,54,78,78,2.50668052335975e-26,0.38405779440491306
ENSG00000163354.14,DCST2,-7.998991845416536,NA,1.2544202443239503e-15,0.06104253471171272,0.28879853648298903,8.421058411973538e-14,NA,14,14,14,6.946278276839863e-19,0.06734512966948042
ENSG00000176681.14,LRRC37A,-7.949408416863356,NA,1.8740426364345277e-15,0.1643112654228337,0.5809533902358833,5.827332728915922e-34,NA,25,69,69,1.4964949797387827e-91,0.3079221257152885
ENSG00000115556.13,PLCD4,7.445420297428248,NA,9.663626004281014e-14,0.05321977368425917,0.21160989131516814,1.1781365962448134e-09,NA,42,43,43,8.318783485885025e-17,0.036804161262480255
ENSG00000149295.13,DRD2,7.378444858528931,NA,1.601490923344761e-13,0.037736901813623366,0.11555466021952672,2.377059805344961e-05,NA,41,43,43,5.7192151182738545e-47,0.10531748726625577
ENSG00000100024.14,UPB1,7.208734649297521,NA,5.647418845361881e-13,0.030423856900614193,0.1414008601940984,1.254289333987697e-06,NA,18,19,19,2.2616781311535103e-17,0.056030802946325335
ENSG00000135913.10,USP37,7.104794545765932,NA,1.2050166490145655e-12,0.0029209575532867195,0.1100384092584378,1.4125870921531507e-05,NA,35,35,35,8.318783485885025e-17,0.04003255081060622
ENSG00000161618.9,ALDH16A1,7.072690456014802,NA,1.5195820804628814e-12,0.07532913274079919,0.42094134009859097,2.4316343731253207e-20,NA,22,25,25,2.318178651151659e-17,0.09698477317312468
ENSG00000143603.18,KCNN3,-7.066913801847597,NA,1.584172845686882e-12,0.002467403443908966,0.07563850595071622,0.0005695332356461665,NA,21,21,21,1.0100200310789118e-14,0.02052896790709088
ENSG00000250105.1,CTD-3074O7.2,7.025961308307283,NA,2.1259737255649363e-12,0.0732702888798935,0.2805948611702891,5.974053795499866e-13,NA,11,11,11,2.2084697217163344e-18,0.1045490931345996
ENSG00000135912.10,TTLL4,-6.962655208385462,NA,3.3391838127611408e-12,0.0033804260901220866,0.05729805625366735,0.0019267556956797168,NA,8,8,8,1.6392548777764862e-14,0.017718243319529797
ENSG00000232300.1,FAM215B,-6.929614964866533,NA,4.219875728370494e-12,0.051149614123168076,0.3238234238313452,6.9355948810084824e-15,NA,13,34,34,5.631195239956176e-125,0.39796535658119
ENSG00000184922.13,FMNL1,6.919829050091571,NA,4.521889840303625e-12,0.002146668198738291,0.3812182448267721,7.88880672654841e-18,NA,4,30,30,1.4580607919133822e-21,0.033803528610633016
ENSG00000187824.8,TMEM220,6.908601896284197,NA,4.894533663170056e-12,0.05143754405892005,0.2838728926324845,7.742180546625923e-14,NA,41,43,43,5.705346421879162e-14,0.022549439188286283
ENSG00000140718.20,FTO,6.798121662115779,NA,1.059919329894744e-11,0.005705423749995848,0.03402347143477265,0.023922754484362943,NA,8,9,9,9.650879798769706e-11,0.19207283754231053
ENSG00000178927.17,C17orf62,-6.715603038489325,NA,1.8729002492266497e-11,0.0401548308547343,0.2719353293432726,5.573727813716811e-12,NA,15,15,15,3.5234287451187714e-12,0.08264749541488707
ENSG00000164543.5,STK17A,-6.712206535054574,NA,1.917030857847209e-11,0.009272791026027963,0.12593037517684644,8.443147517854942e-06,NA,10,12,12,6.375859776527238e-17,0.0647355140637833
ENSG00000170222.11,ADPRM,-6.643299526408308,NA,3.0673759472518467e-11,0.013273248918101145,0.07851436587050607,0.0003776143856610258,NA,22,22,22,2.24609662106754e-14,0.019294332098772717
ENSG00000143641.9,GALNT2,6.44698337497025,NA,1.1409829783440735e-10,0.016843587841566008,0.12501445531425812,9.2884618174806e-06,NA,29,30,30,9.485503786972475e-30,0.10713394642637744
ENSG00000166913.12,YWHAB,6.397594471877582,NA,1.5784382265613692e-10,0.003666439958391771,0.1161244313546361,1.1105434614395862e-05,NA,12,14,14,3.916212915416197e-18,0.02098880365353692
ENSG00000181817.5,LSM10,-6.2904373345573905,NA,3.165728271466265e-10,0.014103326978393399,0.1159900982294158,1.1740634164199675e-05,NA,41,43,43,9.243751846731216e-12,0.38339703193196223
ENSG00000139746.15,RBM26,-6.288165827637487,NA,3.2123867253327835e-10,0.007580451167558242,0.06054129932500281,0.0011954729687466926,NA,13,14,14,5.080258723372945e-10,0.04699389350419005
ENSG00000277586.2,NEFL,6.206294205129593,NA,5.424857877097436e-10,0.01664131807317151,0.2384030173986252,1.589413793173747e-10,NA,19,19,19,8.671350800859737e-12,0.06532594196522896
ENSG00000104343.19,UBE2W,6.2019974274908,NA,5.575098944227336e-10,0.03646714805092964,0.2498453438033033,2.126619678379111e-11,NA,26,26,26,6.293344028778867e-12,0.06633947474530501
ENSG00000117448.13,AKR1A1,6.088122300158658,NA,1.1424259157021087e-09,0.005356539315695998,0.19169566065827814,2.2999706274535428e-08,NA,4,4,4,1.7616277641371492e-10,0.08393159733447737
ENSG00000277200.1,RP11-74E22.8,5.773508338529218,NA,7.763776233730317e-09,0.012130802766668806,0.2647715663502576,2.810567433741976e-12,NA,9,11,11,1.5305198914573014e-36,0.12129387473000172
ENSG00000040341.17,STAU2,5.764556589541008,NA,8.187280425784256e-09,0.010338864425131728,0.13304515559730476,8.724165130565247e-07,NA,45,47,47,1.470886565378791e-10,0.03929945843376431
ENSG00000133028.10,SCO1,-5.719788210199774,NA,1.0665691430553807e-08,0.002095588359771327,0.07807847614077773,0.0005154455754787288,NA,14,14,14,7.328461164519503e-11,0.0395400024650841
ENSG00000227676.3,LINC01068,5.531091186992455,NA,3.182448234949589e-08,0.0830382449143782,0.33963665774434376,5.077215120369123e-16,NA,14,14,14,6.393633989536815e-10,0.04394485596950151
ENSG00000164366.3,CCDC127,5.513359535347203,NA,3.5204802313439936e-08,0.1090988420164334,0.4466866951987012,3.694499611750415e-22,NA,37,38,38,2.1853392527731785e-14,0.2959861278684245
ENSG00000033178.12,UBA6,-5.493451037252035,NA,3.941544218640898e-08,0.01202919100352039,0.20146353032244946,6.95062292955552e-09,NA,35,35,35,1.5078413197168713e-09,0.032765647338944014
ENSG00000090487.10,SPG21,-5.348965262467459,NA,8.84585167408218e-08,0.03980870906500755,0.24838637356701615,6.714411415998797e-11,NA,21,22,22,8.896271535802716e-10,0.09549930650476404
ENSG00000213347.10,MXD3,-5.324770138947006,NA,1.0108077916178898e-07,0.031242205342726714,0.1779378957797277,7.947383417947735e-09,NA,38,38,38,2.690784543320802e-16,0.13041961093041016
ENSG00000275759.1,RP11-131L12.3,-5.09899786278012,NA,3.414564067347182e-07,0.054907024839123665,0.2077639507522384,1.92841888203084e-09,NA,89,93,93,6.835724601095445e-31,0.2904049523321441
ENSG00000172817.3,CYP7B1,5.06148803613221,NA,4.159968480554259e-07,0.002007007809536415,0.03627105471893585,0.019282459246182698,NA,2,2,2,4.53132274762058e-07,0.06735108697445956
ENSG00000125741.4,OPA3,-5.035920739479916,NA,4.755573224964689e-07,0.02950352160822068,0.351156725838057,2.7812638105738586e-16,NA,9,9,9,2.503992178522717e-09,0.10861770092098773
ENSG00000163357.10,DCST1,-5.02527761097748,NA,5.027048064176549e-07,0.05660272953242779,0.09892567617489073,5.433642134927479e-05,NA,33,38,38,1.5864608393244265e-17,0.3045067075829852
ENSG00000067221.13,STOML1,-4.999788367781182,NA,5.739327523079016e-07,0.009873797694995905,0.18434443020543295,2.153159077002587e-08,NA,8,10,10,2.8486251462655643e-11,0.06485767558915505
ENSG00000152465.17,NMT2,-4.880365913925907,NA,1.058891878370527e-06,0.022367082382676255,0.2309214551832426,2.1358113848087103e-10,NA,20,22,22,1.6685255230943779e-21,0.07388241544692423
ENSG00000261478.1,RP11-429B14.4,-4.862854012206944,NA,1.1570518574917044e-06,0.055381359598848934,0.2737798466083707,3.772848215580499e-12,NA,31,33,33,5.629577644326904e-13,0.10435208584679846
ENSG00000152359.14,POC5,4.787181445031776,NA,1.691399059342946e-06,0.058522708576525646,0.2849312459534374,5.262043788152267e-13,NA,56,57,57,2.5923713376870776e-16,0.05362533675782508
ENSG00000159199.13,ATP5G1,-4.706755304782396,NA,2.5169071841931153e-06,0.0075699275353539805,0.12609494952454486,9.77027316589857e-06,NA,30,31,31,1.3972734194286945e-09,0.03342186252531551
ENSG00000236030.1,LINC01036,-4.6332379666610795,NA,3.5999033067896142e-06,0.0580717193991474,0.17070269183464826,1.6204221577085269e-07,NA,32,32,32,1.5244175208792032e-11,0.06499483716358688
ENSG00000176209.11,SMIM19,4.618725642596071,NA,3.861039636343368e-06,0.01951584486065732,0.3034315131415072,1.7628477037106312e-14,NA,30,32,32,3.188215248604166e-08,0.01754677794718665
ENSG00000108786.10,HSD17B1,-4.5847557306551705,NA,4.545174842940217e-06,0.008899282953984228,0.1725374446260425,9.473899650948043e-08,NA,5,6,6,6.551610506196766e-07,0.056507483709939486
ENSG00000103111.14,MON1B,4.576634237006677,NA,4.725165499112166e-06,0.03662856204594655,0.17205394812970554,1.2684150078956664e-07,NA,51,53,53,2.0254782900664418e-29,0.05307615064110157
ENSG00000160710.15,ADAR,4.558388761453511,NA,5.154755460080166e-06,0.0030648633251097,0.09006225337454543,0.00012373921844697423,NA,28,29,29,6.10442013357439e-10,0.017160180375475526
ENSG00000128534.7,LSM8,4.524157820788396,NA,6.0636466744619374e-06,0.03043680734919158,0.19898047695752266,2.1762959279059392e-09,NA,24,24,24,8.96406487331444e-25,0.021928579986687482
ENSG00000065060.16,UHRF1BP1,4.522207736968994,NA,6.1197953683074064e-06,1.8059339837259126e-06,0.3591433444852733,1.3569724719506127e-16,NA,1,86,86,6.1197953683074064e-06,0.006470486408968103
ENSG00000138769.10,CDKL2,4.495335776406247,NA,6.946024957332968e-06,0.004004509495942915,0.0459456673613757,0.0072993459534341516,NA,8,8,8,3.7995450254881856e-10,0.02735696494014093
ENSG00000105701.15,FKBP8,-4.444813808551094,NA,8.79680189259253e-06,0.0033498145288836756,0.0600718736798873,0.0029279850739097678,NA,42,48,48,3.108902876180249e-25,0.04406859670458188
ENSG00000197093.10,GAL3ST4,-4.4333630780660265,NA,9.277443463928237e-06,0.03212020584847308,0.16228120652502054,3.0718619620353736e-07,NA,14,14,14,1.443604242335534e-06,0.4496562036297448
ENSG00000135519.6,KCNH3,-4.420907759176441,NA,9.828712617761907e-06,0.03883881343195021,0.14753897474163055,7.327647598395334e-07,NA,79,82,82,2.9506182635552636e-12,0.1795640901340502
ENSG00000128944.13,KNSTRN,4.418274883827749,NA,9.949183414295081e-06,0.16357846513197333,0.4295985110171768,2.2857366886609765e-22,NA,21,22,22,2.0310414674382666e-06,0.1188923481769319
ENSG00000139620.12,KANSL2,-4.356758127981231,NA,1.3200299862941924e-05,0.02910001589049382,0.284906831159265,8.945873091334406e-13,NA,31,36,36,7.0080958718293854e-09,0.02450309190721496
ENSG00000080166.15,DCT,-4.307259848610321,NA,1.6528939537664297e-05,0.10837113797103261,0.4116710588039145,4.8713573431819265e-20,NA,20,23,23,7.64401796002972e-15,0.1467960551677875
ENSG00000069966.18,GNB5,4.294914522728162,NA,1.747606574880424e-05,0.0297134522594861,0.09642964610586728,4.320497189890037e-05,NA,60,65,65,3.467641946367385e-07,0.10669996036155983
ENSG00000204084.12,INPP5B,4.235048809436171,NA,2.285020678727675e-05,0.12411917917897276,0.5502794437701304,1.5611254404874804e-30,NA,39,39,39,4.0691307081503925e-20,0.0715755762804872
