gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000185294.6,SPPL2C,-23.32021436753987,NA,2.7650805159401608e-120,0.01968555519070621,0.2763863854887173,1.6700187152257595e-15,NA,14,22,22,1.186179735849227e-133,0.041208110941338714
ENSG00000232300.1,FAM215B,-18.38819680284199,NA,1.633222220963927e-75,0.02580827201523222,0.3982983135908009,5.2542146188497104e-23,NA,15,31,31,3.6384857348468097e-127,0.0574048058653469
ENSG00000225190.10,PLEKHM1,15.903743155671968,NA,5.96891952321443e-57,0.07574536631494587,0.5423106429988979,6.368321071844868e-38,NA,19,41,41,3.323412047845522e-127,0.2813160355295073
ENSG00000185829.17,ARL17A,-12.362778234926292,NA,4.1554250172715354e-35,0.06519094526101069,0.5661168682218074,1.4919279469718536e-38,NA,16,34,34,3.6384857348468097e-127,0.08442446546985237
ENSG00000184922.13,FMNL1,11.169112302736375,NA,5.775517885062523e-29,0.011312775938786107,0.3715871832847229,4.1688484619918336e-21,NA,14,244,244,1.4964949797387827e-91,0.054358953813017405
ENSG00000238083.7,LRRC37A2,-10.255596946849412,NA,1.1168377007983106e-24,0.06417338906023856,0.6520471423366022,1.3992751825086352e-50,NA,58,231,231,5.541650969997795e-139,0.151000387833276
ENSG00000137764.19,MAP2K5,-8.810850967659102,NA,1.241993952803769e-18,0.02222357425976091,0.06696834888429985,0.00045615203281552957,NA,46,48,48,8.641896146899121e-46,0.0621004276367085
ENSG00000100024.14,UPB1,8.449070251814973,NA,2.936317532537519e-17,0.060043681506921825,0.26678689555385104,2.5375855807606118e-14,NA,37,39,39,4.4925589099952324e-21,0.09845994698050684
ENSG00000135913.10,USP37,8.190049209630203,NA,2.6111939210981697e-16,0.05855157899564732,0.4471248807008175,1.6447418220638188e-27,NA,32,33,33,8.318783485885025e-17,0.02161638347888037
ENSG00000138031.14,ADCY3,-8.034118667755788,NA,9.42539387030214e-16,0.007138371791859379,0.04266571490418178,0.004914885298884708,NA,17,17,17,2.951803438137969e-21,0.031170945390270918
ENSG00000275409.1,RP11-131L12.4,-7.901205285443552,NA,2.762192929535951e-15,0.044482678775641035,0.1694694251841519,2.716541499918094e-09,NA,72,75,75,6.835724601095445e-31,0.07750282208528347
ENSG00000213047.12,DENND1B,-7.827122052577621,NA,4.99164448485234e-15,0.0031512558259344146,0.0371040858387628,0.009080961637309523,NA,12,13,13,2.5707702848747426e-18,0.03731263808762973
