gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000119771.14,KLHL29,13.795118825692068,NA,2.7270316440370775e-43,0.004312649881749356,0.1073917847198108,4.8746338754144296e-06,NA,11,11,11,2.2634423410218623e-62,0.05030388238147447
ENSG00000137764.19,MAP2K5,-13.30538530645152,NA,2.1537993073996066e-40,0.0007434120789187176,0.05245650201779325,0.002543877496548113,NA,15,15,15,8.641896146899121e-46,0.01893146554186277
ENSG00000225190.10,PLEKHM1,-12.540637265420822,NA,4.4738332274381686e-36,0.0005120367473795665,0.18024874164848945,9.12677467326265e-10,NA,9,19,19,1.1889735570474234e-36,0.027345679974896123
ENSG00000238083.7,LRRC37A2,-12.251155675884872,NA,1.6561882025613513e-34,0.17151810839553008,0.7146142598992136,1.8340387137008e-58,NA,26,45,45,1.186179735849227e-133,0.14610487861327112
ENSG00000275759.1,RP11-131L12.3,-9.010789980638883,NA,2.0457746180765594e-19,0.06694333711310974,0.26455044212618745,8.506168483917042e-14,NA,54,57,57,6.835724601095445e-31,0.14501030239062204
ENSG00000227373.5,RP11-160H22.5,8.866174794114105,NA,7.570160703224368e-19,0.04662516170782776,0.08882033073074412,3.4926801367265986e-05,NA,42,45,45,2.86234928617787e-34,0.09845697944925763
ENSG00000169925.16,BRD3,-8.81242401643228,NA,1.2246839209731042e-18,0.007452477558295333,0.09206935607993827,3.5887352798252306e-05,NA,12,15,15,1.8761907603791592e-22,0.06721363935606403
ENSG00000117154.11,IGSF21,8.288502651136628,NA,1.1468300763964174e-16,0.0014863355926665951,0.06917414057340797,0.0002777843572746497,NA,4,4,4,1.2523196001233875e-19,0.04212379898720691
ENSG00000161618.9,ALDH16A1,8.083645047044968,NA,6.285911358895916e-16,0.10224266401525323,0.4821144899158153,7.377898265936903e-29,NA,15,15,15,2.318178651151659e-17,0.05458860846538665
ENSG00000115556.13,PLCD4,8.064675730655184,NA,7.343051040958247e-16,0.01475259955586795,0.1512185920419357,6.774385491767175e-08,NA,18,18,18,8.318783485885025e-17,0.034401917135691705
ENSG00000176681.14,LRRC37A,-7.844369213845869,NA,4.351351233767765e-15,0.2890862890507112,0.661298492992944,3.484484575917685e-49,NA,22,34,34,1.186179735849227e-133,0.34284142498212056
ENSG00000163354.14,DCST2,-7.823916432346983,NA,5.120480541656333e-15,0.08982052905995042,0.3430368346288732,3.837304492174362e-18,NA,25,26,26,6.946278276839863e-19,0.4624235707076798
ENSG00000125952.18,MAX,7.709644208675296,NA,1.2616898219955955e-14,0.001244754756694778,0.024954418459435225,0.03428013982267035,NA,4,4,4,1.5143163188602384e-14,0.16098956240357715
ENSG00000185829.17,ARL17A,-7.486303193203734,NA,7.08406411651356e-14,0.04780651643502376,0.4437982408845609,7.00951535044209e-26,NA,24,45,45,1.186179735849227e-133,0.08901284216125893
ENSG00000198945.7,L3MBTL3,-7.080738181917123,NA,1.4338858376000623e-12,0.02958674271333544,0.19298111682389685,5.867328736165431e-10,NA,15,16,16,1.2814779192593433e-14,0.2409973263822925
