gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000185294.6,SPPL2C,-10.639927396490275,NA,1.9428066888469624e-26,0.0009413737511383994,0.06554197935665047,0.00134746149829841,NA,8,18,18,7.627772354574047e-37,0.01352513344646543
ENSG00000238083.7,LRRC37A2,-10.395792436450648,NA,2.591239819090956e-25,0.08152877682409365,0.5519834258138008,3.997798606832217e-31,NA,15,29,29,5.631195239956176e-125,0.15153311123537813
ENSG00000137764.19,MAP2K5,-10.105061380049339,NA,5.246270744764179e-24,0.003232995279534314,0.056951187118043915,0.003494225636299852,NA,37,38,38,2.7790223756218233e-41,0.03517141594857336
ENSG00000167491.17,GATAD2A,8.59000178099145,NA,8.696797728137593e-18,0.004330718062517298,0.10991634381487456,4.013659220725484e-05,NA,25,26,26,3.108902876180249e-25,0.1150778517883914
ENSG00000138031.14,ADCY3,-8.404625603528425,NA,4.29228696646939e-17,0.002949322301243575,0.06640201362213331,0.0015585767331439324,NA,13,13,13,7.817513041749477e-28,0.03809877563445795
ENSG00000152465.17,NMT2,-8.307693705468258,NA,9.758001078980468e-17,0.0035197060891848635,0.0255219333903482,0.04604975724605781,NA,9,9,9,1.6685255230943779e-21,0.0627326007038333
ENSG00000204084.12,INPP5B,7.178472002509827,NA,7.049482262655671e-13,0.012388015972284849,0.24103598950055224,1.1463347362118112e-10,NA,8,8,8,1.2161332415579046e-14,0.05722704834732181
ENSG00000177302.14,TOP3A,6.815761726554829,NA,9.376559628638166e-12,0.009175879821314648,0.042206768721101205,0.010974648016027369,NA,35,36,36,6.548104574141489e-20,0.06411342814551146
ENSG00000161618.9,ALDH16A1,6.79908172022509,NA,1.0528808483054139e-11,0.10413798619143116,0.3462434995295237,4.3583249535683676e-16,NA,75,85,85,2.318178651151659e-17,0.4314341834352121
ENSG00000144401.14,METTL21A,6.703535728537781,NA,2.0343592457159774e-11,0.010182942860288546,0.06261746789082674,0.0016792568601467378,NA,33,33,33,2.6962576452021637e-14,0.03689935494623739
ENSG00000140718.20,FTO,6.472321033477782,NA,9.650879798769781e-11,0.005634427165169722,0.22578556922960025,1.693483808530757e-10,NA,1,1,1,9.650879798769706e-11,0.20103591764180764
ENSG00000167081.16,PBX3,-6.399511185871777,NA,1.558751614816911e-10,0.026163989652171104,0.04011486806067634,0.014760640539010937,NA,39,43,43,3.35040581529129e-24,0.09069029518234724
ENSG00000187824.8,TMEM220,6.328673445898924,NA,2.4727779762432665e-10,0.025056924148936968,0.32510871857510953,2.6841651700501062e-17,NA,38,41,41,2.24609662106754e-14,0.05199784087604483
ENSG00000196670.13,ZFP62,-6.313553025301711,NA,2.7270082812632773e-10,0.01969179266567351,0.12563584149790413,8.722520253674814e-06,NA,54,57,57,1.6383214203554685e-28,0.1148857864953868
ENSG00000170222.11,ADPRM,-6.311688002833431,NA,2.760082345939502e-10,0.07873232032135688,0.293490500730173,3.773429174868405e-13,NA,61,62,62,2.24609662106754e-14,0.05717903099632254
ENSG00000138769.10,CDKL2,6.28797346930984,NA,3.216368606362607e-10,0.002037205966865384,0.09513317205936736,0.00010551973781311952,NA,7,7,7,2.2409894442736057e-13,0.021618760084779327
ENSG00000273841.4,TAF9,6.150643311072567,NA,7.716929302261348e-10,0.00931067420226755,0.11353469200798287,2.83613004638456e-05,NA,50,55,55,5.4250596811823475e-24,0.047009888396236384
