gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000120088.14,CRHR1,11.666571679835863,NA,1.888824651701477e-31,0.0010954214781853711,0.0813622319916778,0.0003943935681871786,NA,8,15,15,7.627772354574047e-37,0.014177874558598097
ENSG00000225190.10,PLEKHM1,-8.981240098342141,NA,2.6773189278024314e-19,0.002685285429938971,0.05998655498972048,0.003053224789755087,NA,8,8,8,7.627772354574047e-37,0.024580832037055383
ENSG00000117595.10,IRF6,8.626069560674988,NA,6.3496409473007794e-18,0.005339713703981857,0.04982771197350321,0.005640801695217836,NA,11,11,11,4.0654593789181986e-21,0.09733928422881984
ENSG00000163354.14,DCST2,-8.310355296104213,NA,9.541595319490254e-17,0.004973269852801932,0.09473468084422093,0.0001241783825482092,NA,4,4,4,9.933095757240995e-30,0.057878310230064976
ENSG00000196670.13,ZFP62,-8.237187804897886,NA,1.763056186455398e-16,0.0032183955337718247,0.10242987769749147,7.100058428392864e-05,NA,8,9,9,1.6383214203554685e-28,0.044876752820606235
ENSG00000161618.9,ALDH16A1,7.507944253551327,NA,6.006307031197296e-14,0.042413442535802634,0.1999380639669913,9.0784460103999e-09,NA,31,35,35,2.318178651151659e-17,0.0862204363723141
ENSG00000108379.9,WNT3,-7.143056788581805,NA,9.12778925065251e-13,0.00034241512841255337,0.13263206689502965,3.60357724208408e-06,NA,2,7,7,2.4103082674993838e-14,0.02634918399103645
ENSG00000129933.20,MAU2,7.085491426893089,NA,1.3855174755739588e-12,0.0020790782380713754,0.06995724609842432,0.0014592015737604016,NA,20,22,22,3.2649514582423505e-17,0.016427775822410545
ENSG00000170222.11,ADPRM,-6.975029088590803,NA,3.058075355918474e-12,0.03221542764801135,0.19782717047380927,2.2695262720147203e-08,NA,72,72,72,6.320142762240861e-19,0.12375537911604058
ENSG00000178927.17,C17orf62,-6.6364306254889485,NA,3.2137008298355875e-11,0.0016819578282363775,0.03810277959505357,0.01959707044965417,NA,8,8,8,3.5234287451187714e-12,0.02635076318445789
ENSG00000228696.8,ARL17B,-6.143953020095922,NA,8.04926586125615e-10,0.08346561802146987,0.2895455725920259,1.7725311930231205e-12,NA,14,16,16,3.0515177282809025e-115,0.4631855035137353
ENSG00000198945.7,L3MBTL3,-6.107560166120178,NA,1.0116568106770952e-09,0.0054753379545359766,0.02738101048990633,0.049142423943752435,NA,15,15,15,1.2814779192593433e-14,0.07113263082782846
ENSG00000205078.5,SYCE1L,6.053824090609053,NA,1.4144706925247796e-09,0.14639739226945903,0.4083602875886443,1.7254419183490772e-19,NA,8,8,8,7.879785111990382e-11,0.3147703401164569
ENSG00000169925.16,BRD3,-5.953370946756826,NA,2.626750004621154e-09,0.0017506698315730845,0.052453276039219,0.005449354777008164,NA,14,18,18,9.126987783631535e-20,0.01767654761976595
ENSG00000205015.1,LINC02138,5.883581243384379,NA,4.014828769430821e-09,0.004686414993896556,0.04584169925034808,0.009689585575006222,NA,6,7,7,2.897277025276496e-09,0.10165492218126572
ENSG00000170954.11,ZNF415,-5.826602568696269,NA,5.6567106427541206e-09,0.029260150194504914,0.1902264203659624,1.349001458916868e-08,NA,5,5,5,2.6921753225979466e-10,0.11565660144975493
ENSG00000105576.15,TNPO2,-5.823150409778121,NA,5.774853859146816e-09,0.00025432927732198235,0.03443722017973249,0.025820755968156105,NA,2,2,2,1.0418400455637524e-09,0.01546266186177979
ENSG00000188848.15,BEND4,-5.716491551229045,NA,1.0874587428892668e-08,0.005088196825894158,0.04955406585959615,0.006251657220521975,NA,18,20,20,1.093330352666726e-17,0.06614618780252123
ENSG00000065883.14,CDK13,-5.7054813836138925,NA,1.160147377031776e-08,0.005150349904379678,0.03627467620720482,0.02112388305854245,NA,19,19,19,5.292207702958857e-17,0.05952914067945921
ENSG00000033800.13,PIAS1,5.619947107683984,NA,1.9101592879037872e-08,0.006140059757792691,0.033823525666021245,0.02720397640067958,NA,59,61,61,2.8977507556668356e-33,0.08124418324365335
ENSG00000122687.17,MRM2,5.589454804276906,NA,2.2778364119154107e-08,0.02793527916376242,0.311223812128726,9.153874586074589e-14,NA,9,10,10,9.484893620019952e-10,0.07516729038299225
ENSG00000255455.2,RP11-890B15.3,-5.542448417272806,NA,2.982712849439214e-08,0.011931938315219359,0.15168566279935503,1.5135460269976725e-06,NA,19,20,20,2.580008405588365e-11,0.09973253989061973
ENSG00000126790.11,L3HYPDH,-5.502414028379731,NA,3.746259193996092e-08,0.041591518010245264,0.32651266470111895,3.362973780169652e-15,NA,33,33,33,1.4572785391272353e-12,0.03365589035635747
ENSG00000101104.12,PABPC1L,5.482298113489588,NA,4.198359814028989e-08,0.02129651219729669,0.2111831217911103,2.7980525323124225e-09,NA,13,13,13,2.462873661252275e-09,0.03089079754526185
ENSG00000147905.17,ZCCHC7,5.352768850340017,NA,8.66184689723794e-08,0.010462304135163596,0.02951920285213049,0.0391286282724542,NA,18,20,20,2.1751718787383802e-16,0.09467295635111514
ENSG00000145476.15,CYP4V2,5.189607763743994,NA,2.1073751575252406e-07,0.019946152845063368,0.20685009041053584,8.54383937381701e-09,NA,19,20,20,7.425902468877931e-07,0.07917820397058882
ENSG00000100024.14,UPB1,5.18384279893131,NA,2.173601588645678e-07,0.011791283483721837,0.11654567803629258,2.6157789905914418e-05,NA,7,7,7,1.412185896817767e-15,0.08297616247602073
ENSG00000124140.13,SLC12A5,5.143783173510478,NA,2.6926028810047717e-07,0.0027331871813051113,0.14138663217745062,4.015020040322973e-06,NA,27,29,29,7.161887689027182e-20,0.07156892978773656
ENSG00000187676.7,B3GLCT,-5.094414185808614,NA,3.4982124022957466e-07,0.00343122551470847,0.03870254682417155,0.018676280189493424,NA,11,11,11,1.0248539779983525e-12,0.06323511702455009
ENSG00000104343.19,UBE2W,5.076862801879584,NA,3.8371773721794713e-07,0.0020966885104714826,0.03544134856425706,0.024908463800179692,NA,32,32,32,1.5637308881166573e-14,0.014753962083683243
ENSG00000090487.10,SPG21,-5.075106508207952,NA,3.872790099834365e-07,0.030484944981501765,0.24582303177111206,9.134087409641441e-11,NA,9,9,9,1.849752776672828e-08,0.08151240520857059
ENSG00000159210.9,SNF8,-4.932671815207997,NA,8.111237579944514e-07,0.00497202652154218,0.09212325998927877,0.0001320733154701327,NA,11,11,11,1.3558350780754754e-07,0.05215498885997355
ENSG00000140718.20,FTO,4.844031990185634,NA,1.2723043391670652e-06,0.006575820365340837,0.13136409542649635,8.342209960308794e-06,NA,13,16,16,9.650879798769706e-11,0.2135690766252145
ENSG00000016391.10,CHDH,-4.835788988318494,NA,1.326185478736067e-06,0.00395110185348687,0.04519256234358392,0.010196533926068356,NA,17,18,18,8.984272983632719e-11,0.09312174601088824
ENSG00000033178.12,UBA6,-4.8166744825299,NA,1.4597052647225447e-06,0.006265573430832277,0.12761989879479735,8.703836076479679e-06,NA,40,40,40,4.430902286494684e-08,0.033704588269189636
ENSG00000177082.12,WDR73,4.735173194964487,NA,2.188681138306077e-06,0.012453044746247281,0.09350535517614493,0.00021555388466464382,NA,19,19,19,1.0202582326153357e-09,0.05451466402500499
ENSG00000253641.5,LINCR-0001,-4.710281102408056,NA,2.4737536196881405e-06,0.01674471058695184,0.05707903737247985,0.0027741587020408765,NA,16,17,17,2.9403521578740544e-07,0.044978612948225735
ENSG00000120071.13,KANSL1,-4.631340666913299,NA,3.6330552656785524e-06,0.021206748857474814,0.136959449897242,3.0640611347908288e-06,NA,43,54,54,3.6384857348468097e-127,0.5044410901271621
ENSG00000128944.13,KNSTRN,4.617481289612162,NA,3.884256906571455e-06,0.17996015312854519,0.5253584129000992,6.64206900384577e-28,NA,13,13,13,2.0310414674382666e-06,0.10845029840290847
ENSG00000065060.16,UHRF1BP1,4.565284726414573,NA,4.988168464174205e-06,0.0032451328307514884,0.15180551157650274,4.6782946253573636e-07,NA,3,20,20,2.3690146187502217e-06,0.15044292250309468
ENSG00000119787.13,ATL2,-4.563820514855486,NA,5.02310270904777e-06,0.015434453163439374,0.1494818680459203,1.6510583255199845e-06,NA,15,15,15,1.2340317771929064e-08,0.09448828033385437
ENSG00000105928.13,DFNA5,4.56029506854956,NA,5.10817920957058e-06,0.03826655217082732,0.27017839014693845,1.2235279108358464e-11,NA,19,19,19,1.7750762595671438e-08,0.0496130720090552
ENSG00000037042.8,TUBG2,-4.477328535362831,NA,7.558288896731928e-06,0.010147804571641357,0.2862844763670837,8.352849078762332e-13,NA,31,31,31,1.2344483907863145e-07,0.07436001574906219
ENSG00000271904.1,CTC-498M16.4,-4.4541910618120895,NA,8.421008686527266e-06,0.09391489974320558,0.2986823381730054,4.223708124171999e-13,NA,23,23,23,6.853813597261409e-15,0.09641872805955062
ENSG00000105976.14,MET,-4.4469031482574986,NA,8.711709137347698e-06,0.009724288803620945,0.08536186917031728,0.000221972149370371,NA,34,35,35,3.718734696142259e-08,0.11467772777767868
ENSG00000188613.6,NANOS1,-4.444437890184351,NA,8.812196027341653e-06,0.004520182093395757,0.090250744504687,0.0001777326518177084,NA,5,5,5,2.1171568935459225e-06,0.04600346714777486
ENSG00000197054.11,ZNF763,-4.411422068889123,NA,1.026939159837267e-05,0.005547196108258223,0.11919694434413572,2.103904752786652e-05,NA,24,26,26,1.0299531723409691e-05,0.09340866927729813
ENSG00000238083.7,LRRC37A2,-4.407462588282164,NA,1.0458865877505152e-05,0.026758187821685566,0.6228346025797691,9.020466502204679e-37,NA,17,430,430,3.323412047845522e-127,0.11304030893434938
ENSG00000204084.12,INPP5B,4.399826677002624,NA,1.0833737320865181e-05,0.023982465124417568,0.2384040955977337,2.2582949154899908e-10,NA,48,49,49,1.2161332415579046e-14,0.06468052829968951
ENSG00000170571.11,EMB,-4.399021946096062,NA,1.0873983103900026e-05,0.0012851847871395755,0.042023996690439866,0.011353643763986716,NA,29,30,30,7.232672572106841e-17,0.024133700577532332
ENSG00000231106.2,LINC01436,-4.396055211018312,NA,1.1023590604696458e-05,0.01964248754829678,0.14151924111518172,2.132029137452937e-06,NA,15,16,16,7.15389760783554e-08,0.05030707269265293
ENSG00000030066.13,NUP160,4.395377011810323,NA,1.1058065978738616e-05,0.0049504408112166,0.049245777082614114,0.006659123501035329,NA,17,17,17,2.4147237063821022e-06,0.0317638348525578
ENSG00000213347.10,MXD3,-4.373863295847582,NA,1.2206683538318213e-05,0.023079108425719384,0.16427598291927367,4.4014155128966074e-07,NA,13,13,13,2.690784543320802e-16,0.06137663428868416
ENSG00000184164.14,CRELD2,4.322101154921154,NA,1.5455029808319167e-05,0.012938696901776642,0.1350818921730595,6.823518441032792e-06,NA,30,31,31,7.113726149952967e-07,0.07880367300428635
ENSG00000110900.14,TSPAN11,-4.282064580656553,NA,1.8516722036563643e-05,0.14775734877919822,0.44536185196332895,2.727693517660648e-21,NA,79,83,83,1.953968867188317e-06,0.15126784426259715
ENSG00000275759.1,RP11-131L12.3,-4.257546161015145,NA,2.0668299311012806e-05,0.02771387227563359,0.041189499270756366,0.01463257732956165,NA,59,64,64,2.449972748881034e-31,0.12921178728274088
ENSG00000143771.11,CNIH4,-4.210925481814707,NA,2.5432663494136748e-05,0.015114020367618225,0.06870204869797905,0.0011298274779687127,NA,30,31,31,1.9117006132652927e-06,0.05075443345778529
ENSG00000110768.11,GTF2H1,4.147143967554805,NA,3.366483913541285e-05,0.005230827906384019,0.15273052333380996,9.850374822890313e-07,NA,27,31,31,6.696281863719216e-09,0.024513950156706956
ENSG00000144535.19,DIS3L2,4.127226714879742,NA,3.6716437003584265e-05,0.0005239926771980526,0.04879279640028635,0.008225892865050767,NA,3,3,3,3.286953221501059e-05,0.01492112476785554
ENSG00000100225.17,FBXO7,4.0960098836740215,NA,4.203319927007164e-05,0.032085461825377956,0.1926936691104278,2.3274409580578523e-08,NA,92,98,98,3.3731234799526765e-13,0.10540047602852808
ENSG00000090382.6,LYZ,-4.0623953239478565,NA,4.8571729927996816e-05,0.03776414699847749,0.15802713045006975,7.421299633648832e-07,NA,45,48,48,4.901141244216163e-14,0.10708189036121897
ENSG00000177302.14,TOP3A,4.056914124913215,NA,4.972535467983297e-05,0.022260917202921705,0.07957963012583215,0.0004686851141559949,NA,13,16,16,4.1674752969931067e-07,0.11155408552462953
ENSG00000137574.10,TGS1,-3.997405347199439,NA,6.40405852210928e-05,0.011071376807649318,0.04335042678001851,0.013066783765000627,NA,23,24,24,1.9709701764840512e-10,0.4552375219777728
ENSG00000125734.15,GPR108,3.9145212949980253,NA,9.058374339772913e-05,0.07028387917385592,0.3065512105394612,1.7672498616803275e-16,NA,25,29,29,1.537109043993421e-05,0.12889554976090373
ENSG00000145868.16,FBXO38,-3.8999374469919363,NA,9.621754406157127e-05,0.004198066136136093,0.09894677883077106,9.18812713004198e-05,NA,19,20,20,3.659763299071434e-07,0.03133774441982279
ENSG00000238078.1,LINC01352,3.884725966018277,NA,0.00010244537282997796,0.07771837656601596,0.2223613696952869,2.0091436351336613e-09,NA,62,65,65,6.525122145919154e-10,0.18538016320845452
ENSG00000143801.16,PSEN2,3.8660709824833317,NA,0.00011060275942629161,0.001605282317508646,0.03190986914687804,0.03255851115965719,NA,4,4,4,2.663280241238406e-06,0.03843748013570188
ENSG00000172992.11,DCAKD,3.8656787566736863,NA,0.00011078067470613628,0.014800100824814526,0.1694753845472247,3.5018683150256204e-07,NA,28,40,40,2.085697046498451e-09,0.13499894956304756
ENSG00000196653.11,ZNF502,-3.829232710429028,NA,0.00012854341231418717,0.009339690452339173,0.13717733355926434,4.055564778848044e-06,NA,7,7,7,3.2577534808991374e-05,0.1444439525485696
ENSG00000143603.18,KCNN3,-3.8164284258176435,NA,0.00013539732715344742,0.005904526747363584,0.14973291557417015,1.4125183293207736e-06,NA,17,19,19,1.0100200310789118e-14,0.037547679926219546
ENSG00000131979.18,GCH1,-3.7977447925297496,NA,0.00014601854701157223,0.0017972089851577635,0.04036454494852063,0.01592870615991261,NA,2,2,2,0.00013321996270784342,0.09886627899692993
ENSG00000203666.12,EFCAB2,3.7868408480785303,NA,0.00015257475509322595,0.07035849883043555,0.4033565568812679,4.464166474464665e-19,NA,59,65,65,3.468961428864515e-10,0.12731833650405994
ENSG00000135437.9,RDH5,-3.7751200404419363,NA,0.0001599306289880023,0.03088395266593638,0.17133094537783394,2.719757015752841e-07,NA,20,21,21,8.415488915670883e-05,0.22067937008946434
ENSG00000128298.16,BAIAP2L2,3.774465188271264,NA,0.0001603512970363385,0.0028498496952641355,0.038532053174635934,0.01782435967226156,NA,5,6,6,3.4083764799017315e-06,0.06745346455103884
ENSG00000146267.11,FAXC,3.7577889662724386,NA,0.00017142135491440643,0.00013482131457408008,0.07156930608979796,0.0008661182812342512,NA,5,6,6,1.7850097890214266e-05,0.0070106237807434
ENSG00000053900.10,ANAPC4,-3.7034141292224456,NA,0.00021271720618985752,0.019742074393643436,0.13390889914411402,7.926971833747518e-06,NA,48,52,52,6.197005478180835e-05,0.08004147751815589
ENSG00000095397.13,WHRN,-3.6975705605648193,NA,0.00021767272502256127,0.0040575696707235345,0.08315480476510549,0.00020638633172235477,NA,47,48,48,4.590081845816226e-09,0.03038222453857904
ENSG00000204219.9,TCEA3,3.685715010722837,NA,0.00022806144657454473,0.03742886673141321,0.2547102327382467,7.391315295198499e-12,NA,16,17,17,0.00017459971618756577,0.05333907775338845
ENSG00000267289.1,CTD-2623N2.11,3.6619991847481637,NA,0.00025025465630205154,0.01787304236463415,0.16013315002260045,6.158516622932872e-07,NA,5,5,5,8.050346935415176e-09,0.1044188515576926
ENSG00000066056.13,TIE1,3.6432036865499735,NA,0.0002692655912700826,0.005363874709637707,0.08774426990517868,0.00028691448106244,NA,12,14,14,1.8721798746767034e-12,0.026746914246941318
ENSG00000149292.16,TTC12,-3.602581684275017,NA,0.00031507234541982686,0.09240542241207941,0.4605836552863389,2.1108722929324366e-22,NA,36,38,38,1.852627186075948e-12,0.18519940912115104
ENSG00000148356.13,LRSAM1,3.583419687043282,NA,0.0003391250673530123,9.73448328517043e-05,0.03001604853546635,0.04029146843569957,NA,4,4,4,0.00015145764275239745,0.008961298647180177
ENSG00000148143.12,ZNF462,3.577528612085465,NA,0.00034685826107601933,0.0032671098606830928,0.05688822712292669,0.004362979433118519,NA,31,31,31,5.981201232293082e-05,0.02935810796887367
ENSG00000114054.13,PCCB,-3.5695289204747778,NA,0.00035762373744115507,0.001824825230095693,0.04397033161244754,0.0111611994688935,NA,14,14,14,3.686028958337749e-08,0.032262684165987834
ENSG00000089154.10,GCN1,3.564830250474856,NA,0.00036409175142867165,0.0018575474526197056,0.054144757068149266,0.005299530281275129,NA,6,6,6,7.525893992980921e-06,0.029145399362712706
ENSG00000130940.14,CASZ1,3.549676197852066,NA,0.0003857052527493039,0.03185196585178821,0.059209336029871815,0.003654248871678864,NA,42,44,44,2.5222870514085443e-20,0.09648665936788994
ENSG00000100461.17,RBM23,-3.5480931321833973,NA,0.000388030990307287,0.007986895097536034,0.06835898808968746,0.0015120737732918074,NA,23,23,23,8.523415411494447e-21,0.09166940393318226
ENSG00000270697.1,RP11-381K20.4,-3.5337450269257666,NA,0.00040971612149694897,0.007274827920660445,0.04427769753948009,0.011685314988200224,NA,22,25,25,2.1603317087119808e-07,0.03336138999861368
ENSG00000167523.13,SPATA33,3.524389997324635,NA,0.00042445901345668566,0.012423287471949056,0.11442154755966112,3.314701852201521e-05,NA,29,30,30,6.200762950315274e-07,0.0921560219358806
ENSG00000181754.6,AMIGO1,-3.521177247205647,NA,0.00042963533104955223,0.004619934634391814,0.208438953375116,3.002417074562186e-09,NA,29,31,31,6.891249809816083e-05,0.02045544283003313
ENSG00000164307.12,ERAP1,3.4939216736455876,NA,0.000475980644291075,0.09330825927502755,0.4709617991000855,2.942243439982299e-23,NA,50,51,51,4.566153563263092e-12,0.15428255697749876
