gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000185829.17,ARL17A,-11.178903767518408,NA,5.172495480519937e-29,0.061360330828766234,0.4450996708504161,4.83343418001791e-22,NA,54,77,77,4.2126025790738485e-120,0.1382064605740043
ENSG00000275759.1,RP11-131L12.3,-9.695847760462797,NA,3.140188731641139e-22,0.024809278022279686,0.195946208332936,1.1744755405166714e-08,NA,37,37,37,2.449972748881034e-31,0.07128833228659326
ENSG00000143603.18,KCNN3,-8.607134924653561,NA,7.490925797946e-18,0.019843994755253766,0.13507996641970302,3.5193600453243784e-06,NA,53,55,55,1.5260183384985904e-37,0.04900663673717158
ENSG00000014824.13,SLC30A9,-8.263248150627259,NA,1.417611112180278e-16,0.005091286787676099,0.12487470410403795,7.601779993709627e-06,NA,29,30,30,8.155700215785946e-22,0.02624938622591209
ENSG00000177374.12,HIC1,7.467602233134697,NA,8.166927184264642e-14,0.002160108583623967,0.0303605453359399,0.034422284605647134,NA,7,7,7,2.1021806032912965e-11,0.032139664456729236
ENSG00000205078.5,SYCE1L,7.33614443109522,NA,2.198347841325313e-13,0.0455161243287073,0.20857023838283928,1.5167783661416812e-09,NA,30,30,30,1.8653233579517234e-54,0.09533264770196664
ENSG00000178927.17,C17orf62,-6.9394623446031245,NA,3.935950126813739e-12,0.006808179164267781,0.15352223766415504,7.782638316997681e-07,NA,5,5,5,3.5234287451187714e-12,0.0670340757365296
ENSG00000204084.12,INPP5B,6.895685586569655,NA,5.360563967661864e-12,0.011258113947788962,0.1447335014319931,1.3179386585619695e-06,NA,10,10,10,1.2161332415579046e-14,0.06331313273205091
ENSG00000187824.8,TMEM220,5.984709270066761,NA,2.16776713338237e-09,0.05804371272060599,0.3960932091820604,1.461644670807984e-18,NA,72,74,74,6.320142762240861e-19,0.1515938416692927
ENSG00000177302.14,TOP3A,5.850194741138432,NA,4.9099779901895695e-09,0.011371054332841288,0.14541258771308765,1.4111828838974087e-06,NA,7,8,8,9.744206298705164e-09,0.09912698912663616
ENSG00000109063.14,MYH3,-5.665591231807656,NA,1.465184407473595e-08,0.01027707632395395,0.06062552445044723,0.002836837594583633,NA,83,84,84,6.320142762240861e-19,0.04463468761974299
ENSG00000133028.10,SCO1,-5.566164231643795,NA,2.604078280764891e-08,0.01255436334383271,0.12057776592720107,1.2109152860311833e-05,NA,19,19,19,7.328461164519503e-11,0.16480040299866905
ENSG00000203666.12,EFCAB2,5.515495971796669,NA,3.477977111124933e-08,0.0522854242447523,0.30387029026054285,1.600550144273985e-14,NA,28,31,31,3.468961428864515e-10,0.05049425657111525
