gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000143603.18,KCNN3,-10.677607366195017,NA,1.295680685111644e-26,0.0011916579552028856,0.02635439394189661,0.03271260259915886,NA,10,10,10,9.933095757240995e-30,0.02381203301355641
ENSG00000225190.10,PLEKHM1,-8.503503451379503,NA,1.8395306524254653e-17,0.0037168036901217933,0.2482224556600493,1.8254426912601202e-12,NA,16,31,31,7.627772354574047e-37,0.056417164389801426
ENSG00000100024.14,UPB1,8.494604073643101,NA,1.9860876204342145e-17,0.06419893283290347,0.3325286079681261,5.0063648849858564e-18,NA,28,30,30,1.3103874211214e-19,0.08188160284885168
ENSG00000275759.1,RP11-131L12.3,-8.431855773618688,NA,3.402261421318283e-17,0.06879508370278961,0.2593961880928169,7.930888864779324e-14,NA,61,63,63,2.449972748881034e-31,0.07218044720189515
ENSG00000163354.14,DCST2,-7.115627129193084,NA,1.114051037218949e-12,0.06609488285732722,0.27942225785530805,2.0056868772177146e-15,NA,35,36,36,6.493167284962758e-28,0.15432184893195885
ENSG00000178927.17,C17orf62,-6.892579662679593,NA,5.4789590707799864e-12,0.014748698808378492,0.24583038063586984,1.4931859100360706e-12,NA,10,10,10,3.5234287451187714e-12,0.06609319013553383
ENSG00000161618.9,ALDH16A1,6.785534033214289,NA,1.1565788144977489e-11,0.04965794487899161,0.2474955780222711,1.8433449767058582e-12,NA,32,35,35,2.318178651151659e-17,0.15603990681077765
ENSG00000140718.20,FTO,6.361114222869181,NA,2.002954216909172e-10,0.015761597043939545,0.35828346656054905,4.894832904565997e-21,NA,9,10,10,9.650879798769706e-11,0.3380858580496975
ENSG00000185324.21,CDK10,6.358418996611182,NA,2.0384082851808145e-10,0.0047303914656120615,0.1088708630855134,6.6807148471248565e-06,NA,10,10,10,4.4257321891557364e-15,0.04612400741871643
ENSG00000187824.8,TMEM220,6.2431405573672105,NA,4.28871175695713e-10,0.06877134067154445,0.3722550095923205,3.498630160938071e-20,NA,72,77,77,5.705346421879162e-14,0.10499491725109568
ENSG00000107262.18,BAG1,-6.171185728800888,NA,6.777974508764687e-10,0.00471377748738398,0.04102832432389705,0.006537980119738539,NA,35,38,38,2.665761906038771e-14,0.0629353602005109
ENSG00000108379.9,WNT3,-6.025753957603006,NA,1.6832308470443648e-09,0.00032601788088305796,0.250939796683785,3.3612506894673104e-13,NA,7,9,9,1.4580607919133822e-21,0.016568069678772643
ENSG00000169398.19,PTK2,6.023209324638575,NA,1.709920631988596e-09,0.0088073249640504,0.2062702186161633,1.3130246093411865e-10,NA,15,17,17,4.5215844562024633e-26,0.01653990634326699
ENSG00000133028.10,SCO1,-6.019952810234141,NA,1.7446792732596885e-09,0.018185468902665175,0.23976013423880704,2.894862192521419e-12,NA,17,17,17,7.328461164519503e-11,0.04486883651749075
ENSG00000156535.13,CD109,5.971314795394925,NA,2.3534912807710686e-09,0.00056136525277081,0.029087745485049325,0.0261254067468144,NA,5,6,6,3.555501895026336e-11,0.012927194882562231
ENSG00000164366.3,CCDC127,5.94914262580153,NA,2.6955068590351683e-09,0.03736779594838821,0.2025931769685229,1.250139526905119e-10,NA,23,27,27,6.953763429193148e-13,0.3159412744922357
ENSG00000188779.10,SKOR1,-5.850036728862509,NA,4.91464474957544e-09,0.0038646893598180384,0.03694849700653422,0.011800507695865554,NA,21,21,21,4.8306447302076446e-32,0.032400836999793174
ENSG00000275409.1,RP11-131L12.4,-5.755586222264115,NA,8.634163816387676e-09,0.016088204815316035,0.05286677343573795,0.0023353882753081256,NA,59,65,65,2.449972748881034e-31,0.093644761901614
ENSG00000140564.11,FURIN,-5.748485410311341,NA,9.004641427311226e-09,0.004130287423410437,0.053590387937671916,0.0022894486186573835,NA,21,22,22,1.6437261430242892e-35,0.05871221422104024
ENSG00000014824.13,SLC30A9,-5.649313202256026,NA,1.6109012378881102e-08,0.007700053097680414,0.22818536981412746,2.1826540490570736e-11,NA,32,32,32,3.339761627497475e-09,0.02664351849222983
ENSG00000111707.11,SUDS3,5.577659910903841,NA,2.4377565564938288e-08,0.007500892369394756,0.07307818649389461,0.00033188985813683214,NA,14,14,14,2.7768531208711787e-22,0.039110400995305016
ENSG00000088543.14,C3orf18,-5.525282829268946,NA,3.289552522902085e-08,0.0027908736917281827,0.04703243349592173,0.003528574012646972,NA,19,19,19,8.950486786404221e-13,0.1075029957834439
ENSG00000134376.15,CRB1,5.442475748744972,NA,5.254511584805035e-08,0.0009378611957093395,0.02530254284371424,0.03863244915553124,NA,5,5,5,2.5707702848747426e-18,0.03678843328512616
ENSG00000170959.14,DCDC1,-5.4138589552871395,NA,6.16807588772357e-08,0.00410725721477944,0.11693569853258395,4.133875877329079e-06,NA,24,24,24,4.576608390960708e-17,0.04608739211538705
ENSG00000177082.12,WDR73,5.386882473483651,NA,7.169027783047003e-08,0.012533661680956112,0.07890364331851778,0.000171860010731591,NA,15,15,15,1.0307021981532258e-10,0.06707643889338454
ENSG00000163431.12,LMOD1,5.373564954040953,NA,7.719497925868062e-08,0.006287829326736452,0.053423277744828405,0.002113631624165831,NA,7,7,7,3.459837760404157e-11,0.048280002677944085
ENSG00000101104.12,PABPC1L,5.363674661705306,NA,8.154572376375845e-08,0.012511469764794319,0.2487295440111549,8.9755327122674e-13,NA,15,15,15,2.462873661252275e-09,0.03148860275467194
ENSG00000115129.13,TP53I3,-5.348700030448464,NA,8.858822904232409e-08,0.011212111628634615,0.02834935747146435,0.023278813569909573,NA,47,49,49,1.608727507849315e-15,0.07002031615524762
ENSG00000122687.17,MRM2,5.257034190971294,NA,1.4639710312977443e-07,0.03407894280485625,0.23503607657203496,8.707779755017165e-13,NA,7,7,7,9.484893620019952e-10,0.07334615378850219
ENSG00000091137.11,SLC26A4,-5.244497519119765,NA,1.5670881438903132e-07,0.004509423064424173,0.025679706305187747,0.034727733101856575,NA,7,7,7,1.455219160350788e-07,0.07870147523701647
ENSG00000137764.19,MAP2K5,-5.147976988548209,NA,2.633107844042589e-07,0.004592654907884602,0.07514554024721459,0.00025351036940127886,NA,49,51,51,8.641896146899121e-46,0.024550605622422658
ENSG00000204909.7,SPINK9,5.145060341852267,NA,2.6743483410644575e-07,0.10510345432242117,0.3045672072041519,4.2579532833916236e-16,NA,33,33,33,6.5500217695332815e-09,0.031341851925525986
ENSG00000126790.11,L3HYPDH,-5.117326326154536,NA,3.0989719098744545e-07,0.10065737318799123,0.4059966179454861,2.831124230028921e-22,NA,33,33,33,4.361555978639032e-12,0.056642472619930787
ENSG00000142252.10,GEMIN7,5.063725326893295,NA,4.111419078357546e-07,0.006465272000954775,0.045757690690649284,0.0045411582429390855,NA,25,25,25,1.3254052230690886e-11,0.057993827992682566
ENSG00000152465.17,NMT2,-5.060837862636414,NA,4.174180719580918e-07,0.006397404974129228,0.05748925016453915,0.0012765113730555102,NA,12,12,12,1.6685255230943779e-21,0.06759306167595973
ENSG00000203666.12,EFCAB2,5.04254695349274,NA,4.593759852775096e-07,0.10152931170687582,0.4673411353481359,1.2663296396992497e-27,NA,31,36,36,4.1644610605865626e-10,0.1503539089439465
ENSG00000177302.14,TOP3A,5.013503285574409,NA,5.344785434458792e-07,0.014393966593507241,0.15374130823931878,9.404748416130496e-08,NA,16,17,17,6.548104574141489e-20,0.04645682982965163
ENSG00000129933.20,MAU2,4.989385137413679,NA,6.057177733112672e-07,0.00068441201905504,0.027085161176870824,0.030454202454324668,NA,5,5,5,2.608143398924927e-07,0.019750886541181137
ENSG00000183527.11,PSMG1,4.8084930455378325,NA,1.5207231837054057e-06,0.0020874788705486694,0.0271996569064612,0.03142210712275982,NA,11,12,12,1.8076984000452506e-08,0.019973451691092638
ENSG00000120451.10,SNX19,-4.724989819223633,NA,2.30126885093562e-06,0.05192884601074019,0.29924210530808776,1.6223029347245045e-15,NA,52,59,59,1.8546886574743163e-13,0.16790290990413276
ENSG00000155975.9,VPS37A,4.722669559184316,NA,2.327688810947524e-06,0.0019878234802953422,0.05905560728676727,0.0013106674936741733,NA,6,6,6,1.6731502792457105e-09,0.03678391900057259
ENSG00000060069.16,CTDP1,-4.69642956999451,NA,2.6474846346940715e-06,0.003948513443318511,0.04300299305352345,0.0052425180929436994,NA,14,14,14,3.934442617899268e-07,0.018492780814967743
ENSG00000205078.5,SYCE1L,4.679325526027302,NA,2.87820163448314e-06,0.09417469453399828,0.3765928021315425,4.813434730124855e-20,NA,17,17,17,9.380561037691105e-15,0.2692484999295536
ENSG00000163344.5,PMVK,4.665423165207853,NA,3.0798256411788352e-06,0.019658551972754606,0.21050983229663184,9.137376323844695e-11,NA,64,69,69,9.933095757240995e-30,0.20756607984708766
ENSG00000067221.13,STOML1,-4.584339006405098,NA,4.554248283409694e-06,0.006372814522357166,0.13091192033357416,1.1494231417301252e-06,NA,31,32,32,2.8486251462655643e-11,0.017458387056818472
ENSG00000141428.16,C18orf21,4.572546129090924,NA,4.818331015822099e-06,0.002584282117842886,0.02605718573680297,0.033898641530525124,NA,4,4,4,4.235512795852588e-07,0.02378617835258514
ENSG00000176974.19,SHMT1,-4.563558614113407,NA,5.029375982797121e-06,0.0054695102371889286,0.07680344574486896,0.00020839891248434155,NA,3,3,3,4.1674752969931067e-07,0.08419563134471328
