gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000185829.17,ARL17A,-17.06558993485994,NA,2.676716762380324e-65,0.05490112536320953,0.1489733917541019,1.2602576336434723e-06,NA,24,52,52,5.631195239956176e-125,0.14303530606678827
ENSG00000196670.13,ZFP62,-9.734347704848364,NA,2.1519386248497317e-22,0.00098193350200153,0.049622311700824484,0.007215174252102203,NA,3,3,3,4.439388587834232e-23,0.026768638021310808
ENSG00000111707.11,SUDS3,8.65550332613693,NA,4.907411835401896e-18,0.0027474011138205624,0.046319491006464535,0.007061292772404213,NA,18,18,18,6.672357921983383e-23,0.00907311773627375
ENSG00000161618.9,ALDH16A1,8.0105125917368,NA,1.1423131914879509e-15,0.05359315263346402,0.38941070778445214,1.1322885450210927e-17,NA,17,18,18,2.318178651151659e-17,0.10209868517404744
ENSG00000163354.14,DCST2,-7.978450007278242,NA,1.4818228271955168e-15,0.034433904549159594,0.15926904393528413,2.4465554067618904e-07,NA,12,12,12,6.946278276839863e-19,0.08879523517867531
ENSG00000176681.14,LRRC37A,-7.929043541403703,NA,2.2084011342326304e-15,0.19637281161606351,0.4634953843423093,3.776879200706552e-23,NA,31,47,47,5.631195239956176e-125,0.4994102823809907
ENSG00000143801.16,PSEN2,-7.806223424739303,NA,5.892707900502487e-15,0.004126020652680484,0.07791680347428381,0.0006372332607932425,NA,8,8,8,1.1285691480129888e-15,0.03221603375311982
ENSG00000203809.6,LIN28B-AS1,-7.735201232789046,NA,1.0323967395090019e-14,0.0037313306086878325,0.05597367368663614,0.004343151428439152,NA,10,10,10,5.964526552372479e-21,0.026796557059919648
ENSG00000205078.5,SYCE1L,7.269352711255141,NA,3.6121412789207065e-13,0.16681531592570087,0.4700343631891938,4.7981310520206506e-24,NA,13,13,13,1.8653233579517234e-54,0.3899466339046432
ENSG00000238083.7,LRRC37A2,-7.1225042537044825,NA,1.0598348175430981e-12,0.05538320473292148,0.5310805331852991,6.299601542956778e-28,NA,26,51,51,2.50668052335975e-26,0.16446565570496366
ENSG00000187824.8,TMEM220,7.035407751306541,NA,1.986791281888871e-12,0.04294404006123851,0.4244372479038759,5.1006735761772176e-20,NA,59,59,59,2.24609662106754e-14,0.04590482911962725
ENSG00000178927.17,C17orf62,-6.971613534736536,NA,3.133263045771653e-12,0.01604769818407239,0.23682923182308324,1.297240534825553e-10,NA,8,8,8,3.5234287451187714e-12,0.06870853754890026
ENSG00000181817.5,LSM10,-6.817811965942383,NA,9.243751846731216e-12,0.0006805780133781039,0.06489543086447097,0.0021044782474159453,NA,1,1,1,9.243751846731216e-12,0.09613356267355637
ENSG00000138031.14,ADCY3,-6.590951115866679,NA,4.370177749585328e-11,0.010017374399767204,0.11629840173109905,2.399450643303305e-05,NA,20,23,23,7.817513041749477e-28,0.3236160006953812
ENSG00000100024.14,UPB1,6.3575837774509765,NA,2.0495189871278577e-10,0.04689477831791476,0.2768586620947283,5.044474225487844e-12,NA,62,69,69,4.4925589099952324e-21,0.08718006605477532
ENSG00000140718.20,FTO,6.282369832933836,NA,3.334504352111953e-10,0.004520466558305172,0.15942389306162946,2.8524319177265023e-07,NA,10,12,12,9.650879798769706e-11,0.17947193549194804
ENSG00000275759.1,RP11-131L12.3,-6.109399970503889,NA,1.0000641234701957e-09,0.0413649446673916,0.1576747508570249,8.120366811234412e-07,NA,68,70,70,2.449972748881034e-31,0.2251159885916781
ENSG00000170786.12,SDR16C5,5.779797418016245,NA,7.479062763728028e-09,0.000990281465806722,0.04711168543659506,0.007951799377234663,NA,7,8,8,2.6272604816326505e-12,0.03805926777310746
ENSG00000033178.12,UBA6,-5.567949775135488,NA,2.5775408987246985e-08,0.004643589820315912,0.09499052863755028,0.00012719714746333392,NA,13,13,13,1.7246808814253276e-09,0.08369071980772322
ENSG00000105576.15,TNPO2,-5.5570220337496385,NA,2.7441613171448062e-08,0.0013839471168063003,0.07773411206899422,0.0007355691114571467,NA,2,2,2,1.0418400455637524e-09,0.05254697152647509
ENSG00000197535.14,MYO5A,-5.415959398476457,NA,6.096093443030269e-08,0.003212506745686844,0.1173611622303761,3.0040965809720116e-05,NA,29,31,31,8.193984095767616e-17,0.07591795049956761
ENSG00000067221.13,STOML1,-5.376393959684229,NA,7.599242034775945e-08,0.007007803044875396,0.17658849471518168,1.2117140747513288e-07,NA,15,15,15,2.8486251462655643e-11,0.09268635127179783
ENSG00000164366.3,CCDC127,5.353830041777129,NA,8.611174796204396e-08,0.01406723429646875,0.0666819504423858,0.001540394911716272,NA,27,29,29,6.953763429193148e-13,0.1179231827146648
ENSG00000109063.14,MYH3,-5.299663392488446,NA,1.1601637134628768e-07,0.019910358084440943,0.13226522474305796,5.621574715895271e-06,NA,74,82,82,5.705346421879162e-14,0.07519540228287465
ENSG00000271952.1,LINC01954,5.297320232614423,NA,1.1751450192059022e-07,0.014510920429240567,0.07870439900566006,0.0005901892919343713,NA,14,15,15,4.3192650721921265e-11,0.11430359147396632
ENSG00000152465.17,NMT2,-5.249964492881005,NA,1.5212853108469114e-07,0.021804210510023094,0.15605073942712325,1.8246734946419307e-07,NA,15,15,15,1.6685255230943779e-21,0.07430220045983059
ENSG00000126790.11,L3HYPDH,-5.236541539865062,NA,1.6361343113687917e-07,0.11379814647053839,0.3204791446585638,6.016317095887847e-16,NA,34,34,34,1.4572785391272353e-12,0.052204612994945984
ENSG00000122687.17,MRM2,5.199720639463668,NA,1.9958827634353456e-07,0.034946360999164386,0.1865691997602041,3.511016190485012e-08,NA,20,25,25,9.484893620019952e-10,0.08328043433168145
ENSG00000101104.12,PABPC1L,5.174766429109342,NA,2.2819626826092072e-07,0.01987829615568423,0.20119016489948607,8.968501192255274e-09,NA,32,34,34,2.462873661252275e-09,0.09288483628260848
ENSG00000159210.9,SNF8,-5.166729185875926,NA,2.3822604331370577e-07,0.00987162063348356,0.17170212438552668,1.4356546644119098e-07,NA,7,8,8,5.7815088468347095e-08,0.030032120518951332
ENSG00000133028.10,SCO1,-5.062362137561508,NA,4.140934926365342e-07,0.024367212024594333,0.22786867304279626,1.3003445972599438e-09,NA,23,23,23,7.328461164519503e-11,0.05727839444654353
