gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000143603.18,KCNN3,-10.227886005183588,NA,1.487305226169448e-24,0.003794772700350631,0.043347432377512624,0.0325598266769788,NA,16,17,17,1.5260183384985904e-37,0.05153969043878441
ENSG00000149527.17,PLCH2,-8.396736895410442,NA,4.590570734863123e-17,0.02088928238823542,0.2949032612292598,3.657008201556186e-10,NA,14,15,15,8.299696131403132e-26,0.20001527388346035
ENSG00000100461.17,RBM23,-8.1640112093574,NA,3.240788110175022e-16,0.0269632844726146,0.11106017343555873,0.0004629139146254451,NA,16,19,19,8.523415411494447e-21,0.18197541316870366
ENSG00000173611.17,SCAI,-7.896049334882387,NA,2.878827747841582e-15,0.019046650537381363,0.05376932382901314,0.01836846131519596,NA,30,30,30,3.795835597065992e-30,0.11400555086361368
ENSG00000275759.1,RP11-131L12.3,-7.774184129170577,NA,7.593521861888755e-15,0.047088396693746995,0.11836451553631452,0.0002695211316515472,NA,77,78,78,2.449972748881034e-31,0.10291386525727632
ENSG00000238083.7,LRRC37A2,-7.5705473220246,NA,3.71655013335485e-14,0.03654038199661161,0.3865860274859112,3.1123333472189384e-14,NA,29,44,44,5.631195239956176e-125,0.06234914053978445
ENSG00000161618.9,ALDH16A1,6.958520740860136,NA,3.4386412344785664e-12,0.024725964036452393,0.24883297377815944,5.613026875606277e-08,NA,22,24,24,2.318178651151659e-17,0.06604343586097337
ENSG00000133028.10,SCO1,-6.790741984667757,NA,1.1155828603274239e-11,0.032923142666779336,0.20853813231144344,5.88537324687814e-07,NA,42,45,45,2.24609662106754e-14,0.05210835661512928
ENSG00000169609.13,C15orf40,6.603726334650671,NA,4.009493844581152e-11,0.03313242295768323,0.20802752327979868,7.713119003618488e-07,NA,57,58,58,3.2900858096033025e-19,0.08351304313284344
ENSG00000271952.1,LINC01954,6.376347477111985,NA,1.81361190571618e-10,0.02835992694789661,0.09835436002133156,0.0012333896463302464,NA,17,17,17,3.4456862292474487e-09,0.1338634386969395
ENSG00000138031.14,ADCY3,-6.2131197958234425,NA,5.194281800511966e-10,0.033854046389949474,0.1327732163862587,0.00012825137043477174,NA,46,48,48,1.241542692219305e-19,0.13289860515037788
ENSG00000134222.16,PSRC1,-6.135845759640822,NA,8.470731323025707e-10,0.08216191338808383,0.4877088430485837,7.06951358382544e-19,NA,11,11,11,3.593361372611031e-10,0.1309364763791756
ENSG00000221986.6,MYBPHL,-6.0537569910979885,NA,1.4150603025192567e-09,0.0879065237710567,0.3994407405732437,1.2569960040773214e-14,NA,7,7,7,3.593361372611031e-10,0.1365238072547887
ENSG00000170954.11,ZNF415,-5.977817746575016,NA,2.2614653258741486e-09,0.1810834610151572,0.5696051225788303,2.1720587220112684e-23,NA,33,40,40,2.6921753225979466e-10,0.36925980963658495
ENSG00000187824.8,TMEM220,5.948924578432942,NA,2.6990996567263707e-09,0.0730146389485331,0.2529880432463272,2.1280456568435383e-08,NA,49,51,51,5.705346421879162e-14,0.1004592906740658
ENSG00000100225.17,FBXO7,5.906977788352489,NA,3.4844070976960487e-09,0.00523552100388998,0.08574937723925431,0.0010500056602331014,NA,28,29,29,3.3731234799526765e-13,0.03575733457823342
ENSG00000197937.12,ZNF347,-5.901790923817642,NA,3.5957666870393033e-09,0.09213441341144013,0.3515986815355228,5.669587324633616e-12,NA,10,10,10,2.6921753225979466e-10,0.2796133383878317
ENSG00000159210.9,SNF8,-5.8980217088198446,NA,3.6788558250410833e-09,0.028173849968321812,0.15977559543346842,1.2864426127037374e-05,NA,29,31,31,1.3062444182717718e-13,0.1833204692783585
ENSG00000177302.14,TOP3A,5.518292305350606,NA,3.423097185516194e-08,0.020423761619284747,0.07371273401101001,0.005297512895440655,NA,16,17,17,1.7044884681512633e-13,0.22244741332182366
ENSG00000156475.18,PPP2R2B,-5.5069078041217265,NA,3.651913897850214e-08,0.0320649903237873,0.1214431542596371,0.00024310359205136767,NA,11,11,11,6.921522650365375e-11,0.09840174697121627
ENSG00000144674.16,GOLGA4,5.465611687953397,NA,4.6131321626045576e-08,0.005967676913035057,0.07605286871245885,0.004361879879217474,NA,4,4,4,1.1755496203303794e-08,0.08118986315694134
ENSG00000183527.11,PSMG1,5.43228188032227,NA,5.563794142900819e-08,0.031542718302198666,0.21846622086775985,5.845976528633138e-08,NA,29,29,29,3.523129174858969e-09,0.04710305534578233
ENSG00000205078.5,SYCE1L,5.398159957486047,NA,6.732782863948277e-08,0.2126564131642082,0.5307038896898497,2.4956026523788397e-20,NA,19,20,20,1.2728577419823558e-26,0.2407952755070648
ENSG00000126790.11,L3HYPDH,-5.279082981843328,NA,1.298320015793679e-07,0.3040171236497429,0.5669303034366279,8.617661147860314e-24,NA,69,70,70,4.361555978639032e-12,0.13323176100412132
ENSG00000176681.14,LRRC37A,-5.1592836776702375,NA,2.478964627588917e-07,0.15439122879658268,0.41969417862867103,4.161004674898946e-15,NA,28,36,36,1.4580607919133822e-21,0.381282820043962
ENSG00000184160.7,ADRA2C,-5.061732811388694,NA,4.15463000834495e-07,0.018956794328332763,0.17042070835127032,9.966542225910968e-06,NA,19,21,21,1.8508858579170768e-10,0.05054516620722932
ENSG00000228709.1,AP001065.15,5.052846758124958,NA,4.352731239680605e-07,0.013445367171892797,0.12919290387800747,0.0001465451456414522,NA,4,6,6,1.4804317465679555e-08,0.05013293147263336
ENSG00000033178.12,UBA6,-4.974308192912125,NA,6.548106239346224e-07,0.02147700477442772,0.30640870791297553,8.167953839817644e-11,NA,31,31,31,7.790138810831637e-08,0.07089312020940404
ENSG00000120451.10,SNX19,-4.9707417071668605,NA,6.669725507158396e-07,0.08653601982231338,0.2812893466997686,3.741009757767977e-09,NA,71,78,78,1.8546886574743163e-13,0.1949623075787515
ENSG00000090487.10,SPG21,-4.918081711734283,NA,8.739643239605103e-07,0.0062055780808452764,0.10720651654656267,0.00038954645864855213,NA,6,6,6,8.896271535802716e-10,0.0607101360519471
ENSG00000171316.11,CHD7,-4.862857055978426,NA,1.1570340586283608e-06,0.004234081423799385,0.08875076183098958,0.0014394249960365342,NA,14,14,14,7.155160487903109e-07,0.045979980820575216
ENSG00000124226.10,RNF114,-4.861762260193447,NA,1.1634530473073895e-06,0.00255376096681322,0.05406902287229505,0.01260419407269049,NA,7,7,7,3.8899718783054585e-09,0.04871248804431348
ENSG00000113811.10,SELENOK,-4.847667717785379,NA,1.2492140894066548e-06,0.01835793732283466,0.06968345170017698,0.0038677269010374687,NA,48,53,53,4.239087887748246e-22,0.14773485497903174
ENSG00000248144.5,ADH1C,-4.84263313079675,NA,1.2812973083753583e-06,0.1192804079335547,0.3140493324851198,1.868776782845545e-11,NA,7,8,8,8.769900525533636e-06,0.2353916119962633
ENSG00000170222.11,ADPRM,-4.81374404170591,NA,1.481285112121524e-06,0.0410049896787622,0.1955574499018249,2.3285530510991313e-06,NA,50,51,51,2.24609662106754e-14,0.1051922935186104
ENSG00000117597.17,DIEXF,4.804890573556558,NA,1.5483616457036785e-06,0.02430512574023622,0.059649784675087976,0.011285579103866464,NA,67,69,69,6.128606551630706e-11,0.1133797345462332
ENSG00000136448.11,NMT1,-4.696781358251992,NA,2.642930925786366e-06,0.029985601973636446,0.13593316706067204,8.721462967535966e-05,NA,31,35,35,7.667888787213843e-13,0.11600535084747028
ENSG00000105928.13,DFNA5,4.644649072871912,NA,3.406549993567945e-06,0.019410928002947907,0.21642539839282893,4.736374501454079e-07,NA,21,25,25,1.7750762595671438e-08,0.05956335481778621
ENSG00000128944.13,KNSTRN,4.484530924786151,NA,7.307450810885762e-06,0.11314706578902992,0.17195563293234875,2.0855487169654422e-07,NA,15,15,15,2.1880788154571036e-06,0.09265074670781967
ENSG00000101782.14,RIOK3,4.466396637475242,NA,7.954806815111698e-06,0.007269778363817078,0.07487524462620462,0.0024717387696270147,NA,8,9,9,5.917819300132411e-09,0.08302697779902274
ENSG00000075399.13,VPS9D1,4.4643774163403345,NA,8.030190708234889e-06,0.009796081907879742,0.03938429650410232,0.04569775205504624,NA,20,21,21,2.897277025276496e-09,0.07426853420452907
ENSG00000214435.7,AS3MT,-4.3755930968371715,NA,1.2110274067889844e-05,0.04982613989463143,0.22333548304499012,9.252648995817199e-08,NA,11,12,12,1.9770226416495322e-07,0.052630289775481516
ENSG00000113083.13,LOX,-4.371044106635032,NA,1.2365380875897644e-05,0.02332580214123657,0.0877188241677924,0.001970394301409321,NA,13,14,14,2.2377750527876812e-05,0.095186422589931
ENSG00000180376.16,CCDC66,-4.2933236172972435,NA,1.7601815654403814e-05,0.011336633933599726,0.05421494080902101,0.01567420991252317,NA,10,10,10,2.0739708424220543e-19,0.08058162713002935
ENSG00000177683.13,THAP5,-4.279278939118857,NA,1.8749975957637297e-05,0.011005902744217783,0.17884513767848695,1.9147852468483187e-06,NA,14,14,14,1.995160517292931e-06,0.02038199617127402
ENSG00000100985.7,MMP9,-4.269584704125612,NA,1.9583726719999413e-05,0.03687834373322822,0.0884612392538975,0.0023430466945386034,NA,38,39,39,1.9423630952954223e-22,0.09861919693847336
ENSG00000186453.12,FAM228A,4.258160449271149,NA,2.061159948728335e-05,0.0412305376227909,0.06811450367752886,0.007245151792440807,NA,81,83,83,1.0811726551528847e-14,0.1211782205114226
