gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-10.25653057245238,NA,1.1060957902120853e-24,0.016346699886992465,0.3530882092124267,9.982714077651034e-12,NA,11,159,159,3.6384857348468097e-127,0.1489647100410429
ENSG00000272911.1,RP11-74E22.6,8.589208841378577,NA,8.757021931247902e-18,0.04244904694116292,0.14225573449458875,0.00021709665382502337,NA,10,11,11,1.6320338561944085e-34,0.12906183077517994
ENSG00000225399.4,RP11-3B7.1,-7.145751476287842,NA,8.950486786404221e-13,0.010270079853978011,0.08089847858213665,0.0042537490847113545,NA,1,2,2,8.950486786404221e-13,0.3361114077114289
ENSG00000163354.14,DCST2,-6.7594280193108505,NA,1.3853756545298908e-11,0.07397399437251213,0.2445159753780637,4.954851294017607e-07,NA,34,37,37,6.946278276839863e-19,0.2957405425151585
ENSG00000128989.10,ARPP19,-6.717452494994032,NA,1.8492902539489054e-11,0.01806469357998222,0.10220032656314228,0.00180391039143432,NA,30,30,30,4.0553397203186466e-30,0.14368213317703568
ENSG00000126790.11,L3HYPDH,-6.408094075159366,NA,1.473499841658763e-10,0.2041228696884032,0.5335898690019065,1.6768618905917987e-18,NA,38,38,38,8.444615943171052e-13,0.2060281171397416
ENSG00000174080.10,CTSF,6.311441989262309,NA,2.7644742582934014e-10,0.018569627442135157,0.05094877559439128,0.029301183012869114,NA,22,22,22,2.2084697217163344e-18,0.09761430446818233
ENSG00000169609.13,C15orf40,6.1881661388571425,NA,6.086815911421076e-10,0.12486371205635889,0.4023568671888081,2.4976911185319806e-12,NA,32,32,32,6.40299668287347e-16,0.16720236844775105
ENSG00000205078.5,SYCE1L,5.9550322350376055,NA,2.6002057446391383e-09,0.09013305010760987,0.3152970203723929,1.5109394485180685e-09,NA,11,11,11,7.879785111990382e-11,0.20816998912907786
ENSG00000187824.8,TMEM220,5.6297301737057195,NA,1.804917584932875e-08,0.06305470543300376,0.36738473742474864,6.589197234541069e-11,NA,72,77,77,2.24609662106754e-14,0.10770961835273617
ENSG00000176681.14,LRRC37A,-5.606299175587666,NA,2.066985530947098e-08,0.08281541665931888,0.22560197693933565,1.5874102875901791e-07,NA,33,59,59,3.6384857348468097e-127,0.3213588943329075
ENSG00000170954.11,ZNF415,-5.4924573589395935,NA,3.963792748357606e-08,0.026683110760066887,0.12705683802752815,0.00020034121657876454,NA,8,10,10,2.6921753225979466e-10,0.1142544702596832
ENSG00000161618.9,ALDH16A1,5.41982820847119,NA,5.965633346532708e-08,0.04428256415606964,0.2270960237954945,1.414978328406277e-06,NA,36,37,37,2.318178651151659e-17,0.1680361398831786
ENSG00000100225.17,FBXO7,5.304548992697043,NA,1.1295190550761523e-07,0.020858313144699662,0.2393981957284523,6.125965679624937e-07,NA,46,48,48,1.4930142494449168e-21,0.0966866369171661
ENSG00000269893.6,SNHG8,5.123462023762209,NA,2.9997608614162513e-07,0.0045442931756946294,0.10269447262850416,0.0016430598480705653,NA,16,17,17,5.261360211035933e-11,0.016215010481993437
ENSG00000164366.3,CCDC127,5.109868584919112,NA,3.2238297353868473e-07,0.0068301695591517445,0.05054850936265353,0.03075892159154552,NA,4,4,4,2.0925182170072226e-12,0.1056036009137462
ENSG00000167721.10,TSR1,5.107028897949018,NA,3.2726371520844915e-07,0.015123963845519202,0.08165940940839042,0.005568964775938865,NA,17,19,19,1.6320338561944085e-34,0.1604574481126792
ENSG00000117395.12,EBNA1BP2,-4.924106009321512,NA,8.474688795050867e-07,0.01645653032281609,0.05254671708005298,0.019497541910815038,NA,27,27,27,1.520157114665553e-10,0.2404718474924736
ENSG00000213347.10,MXD3,-4.871633385756594,NA,1.1067940193753545e-06,0.024649054030279095,0.19106909642139264,6.018163277596497e-06,NA,6,8,8,2.690784543320802e-16,0.06970565770807716
ENSG00000145476.15,CYP4V2,4.843038373132477,NA,1.2786858201301987e-06,0.028232971201742472,0.13191353617529014,0.00012276021962844184,NA,48,48,48,1.254377394544082e-09,0.11973045837675865
ENSG00000238078.1,LINC01352,4.79943673573535,NA,1.5911248581767517e-06,0.09024973368129913,0.3844366662686493,8.722016503123994e-13,NA,10,10,10,5.26457817562236e-13,0.22797911867538334
ENSG00000128944.13,KNSTRN,4.70425363649527,NA,2.5479633194259276e-06,0.10645608759716346,0.22763694632242346,5.96408101800296e-09,NA,12,13,13,2.0310414674382666e-06,0.07983121377775808
ENSG00000174165.7,ZDHHC24,-4.61130521565114,NA,4.001485017173834e-06,0.02314985566759059,0.10262703070808016,0.0015913169627949073,NA,34,34,34,2.9830036004238786e-08,0.2268477813546125
ENSG00000188986.6,NELFB,4.586681466157681,NA,4.50346977135085e-06,0.020194600605813528,0.06993453017289497,0.010063640155731031,NA,28,31,31,1.6952929769756e-08,0.3338105403802649
ENSG00000105928.13,DFNA5,4.56308134058306,NA,5.040827351635703e-06,0.04410819459562511,0.29983905219602736,6.7269534865612595e-09,NA,17,17,17,1.3968441443679499e-08,0.08538635993604593
ENSG00000105576.15,TNPO2,-4.556468809346443,NA,5.2020759747943534e-06,0.006064441433224932,0.1289102040944443,0.00042542903641574787,NA,17,17,17,2.2896840393809501e-10,0.03669096354126746
ENSG00000227869.1,RP11-807H17.1,4.3338781467690985,NA,1.4650528775948072e-05,0.038573755321668415,0.11284580445372723,0.0007413111404953388,NA,11,11,11,9.64762037627511e-07,0.041607183313113034
ENSG00000159210.9,SNF8,-4.2660693459089325,NA,1.98946965016248e-05,0.004193408858318039,0.13345985725026605,0.00024809557060810367,NA,5,5,5,1.3558350780754754e-07,0.14956932735905915
ENSG00000214435.7,AS3MT,-4.155824984321972,NA,3.241158699267098e-05,0.05903199287066063,0.2478180767294439,4.924822318947577e-08,NA,45,47,47,2.323822367247175e-08,0.06261846905897503
ENSG00000037042.8,TUBG2,-4.15325075468923,NA,3.2778520832167695e-05,0.02483327209437545,0.08116765505833445,0.0037057935717470314,NA,49,50,50,3.516407696963591e-08,0.08922063066525909
ENSG00000125734.15,GPR108,4.123312997975297,NA,3.734616707617001e-05,0.05100980383807902,0.2969677304280593,4.458848024409901e-09,NA,11,12,12,1.537109043993421e-05,0.11375067037596395
ENSG00000110900.14,TSPAN11,-4.0957461241384365,NA,4.2081088637175256e-05,0.08497324125342981,0.3856690891461291,1.8437570071509725e-12,NA,32,34,34,1.953968867188317e-06,0.10183226333358968
ENSG00000122218.14,COPA,-4.090467394837043,NA,4.305047322980702e-05,0.00910531004087855,0.11681570105190905,0.0008458054420494582,NA,33,33,33,7.761539999571076e-06,0.07275949652530618
ENSG00000156958.14,GALK2,4.01327910424678,NA,5.9881039251874515e-05,0.016794391413420397,0.167124849799866,4.1140862093920443e-05,NA,26,26,26,7.981459414528902e-18,0.13828754303928056
ENSG00000277851.1,RP11-756G20.1,-3.9522878675725224,NA,7.740754104049704e-05,0.05906214099199055,0.16320988701945052,1.5210198648909576e-05,NA,72,76,76,1.3168593346344582e-29,0.2465245129475196
ENSG00000176209.11,SMIM19,3.9477511026756065,NA,7.888875747186394e-05,0.06402857718036924,0.21703043632566807,2.144312228666687e-06,NA,71,74,74,4.775614402401267e-07,0.2624163225889139
ENSG00000271952.1,LINC01954,3.9260482192954695,NA,8.635285190140562e-05,0.10569648075403591,0.08223224173306179,0.004597094861519884,NA,91,94,94,4.3192650721921265e-11,0.27224092406094424
ENSG00000090487.10,SPG21,-3.920198997392341,NA,8.847588051915502e-05,0.017673057994963902,0.2022747922889307,4.964669552616985e-06,NA,10,10,10,1.849752776672828e-08,0.06619644799902047
