gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000225190.10,PLEKHM1,-18.676637045108674,NA,7.670181541031026e-78,0.0004070370350780176,0.0842831331726696,9.16011711112852e-08,NA,3,13,13,4.2126025790738485e-120,0.0239830992071674
ENSG00000137764.19,MAP2K5,-13.199729056753755,NA,8.805118008270619e-40,0.019026151502105106,0.1967437685973964,1.0231164009171695e-17,NA,19,20,20,2.7790223756218233e-41,0.035768519618251456
ENSG00000176681.14,LRRC37A,-10.994472845719953,NA,4.062805398185694e-28,0.11682090787882678,0.4725838821895452,5.590635179509063e-51,NA,35,64,64,3.6384857348468097e-127,0.21335913396784315
ENSG00000272911.1,RP11-74E22.6,10.654456212251747,NA,1.66213196527823e-26,0.051078382613463265,0.11426445407125198,3.1921303624482804e-10,NA,30,34,34,1.5305198914573014e-36,0.16830987504528475
ENSG00000275759.1,RP11-131L12.3,-10.101028451319467,NA,5.466584773738566e-24,0.03668468031577228,0.15110951752470164,7.393349815089972e-14,NA,38,38,38,2.449972748881034e-31,0.07197790280828371
ENSG00000182511.11,FES,-9.918112973537802,NA,3.472591296425235e-23,0.0014141715281180314,0.0501428801487665,4.302933095823532e-05,NA,10,11,11,4.507117739894403e-48,0.02421326332340033
ENSG00000275409.1,RP11-131L12.4,-9.8050249559409,NA,1.071205218178255e-22,0.008848241017188178,0.05165612041526282,3.367406969599258e-05,NA,12,12,12,5.146596221176917e-28,0.11430526747752405
ENSG00000196670.13,ZFP62,-9.634959882027601,NA,5.69142272912246e-22,0.0019003811807052138,0.06855204096802292,1.635210799053357e-06,NA,10,11,11,1.6383214203554685e-28,0.04051461986137698
ENSG00000205078.5,SYCE1L,9.283477773074974,NA,1.6403506574081383e-20,0.11402479008736649,0.4181727597552239,9.668652514200525e-44,NA,37,39,39,1.8653233579517234e-54,0.199041153179339
ENSG00000170209.4,ANKK1,-8.242104225114867,NA,1.692080672452492e-16,0.003466851794095131,0.10043595255729017,3.325971290153975e-09,NA,12,12,12,2.2911935553274926e-24,0.04722198546525814
ENSG00000135913.10,USP37,-8.08958382025439,NA,5.986894234359322e-16,0.0036466410361579316,0.0768475730404194,4.040777732804355e-07,NA,15,15,15,8.318783485885025e-17,0.015279461292602872
ENSG00000277200.1,RP11-74E22.8,7.951589586917393,NA,1.8413339187089482e-15,0.12979951757077915,0.41071282740638204,2.07517626938309e-42,NA,17,18,18,1.1571781287187759e-38,0.32333515336747404
