gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000073969.18,NSF,-15.200510771413331,NA,3.508745234771883e-52,0.0015595596740528707,0.043505451942726835,3.023230085855661e-05,NA,7,13,13,2.612132866182744e-125,0.10018164707788987
ENSG00000225190.10,PLEKHM1,-12.570293558201108,NA,3.075797027296938e-36,0.0006771936581027762,0.0977270063558803,1.81859446768302e-10,NA,5,10,10,7.627772354574047e-37,0.03139884440137123
ENSG00000140564.11,FURIN,12.437095642089844,NA,1.6437261430242892e-35,0.00040225802605751374,0.03048460584945512,0.0005004114934962757,NA,1,1,1,1.6437261430242892e-35,0.028501654023963187
ENSG00000277972.1,CISD3,10.21802067089124,NA,1.6466882309239905e-24,0.0006359603419365765,0.09722625975613942,2.2796451479341144e-10,NA,8,35,35,2.224629112924185e-38,0.06073790349078952
ENSG00000182511.11,FES,-10.11806827519296,NA,4.593926481716957e-24,0.10446941784075169,0.3816608222155393,1.1020929036330893e-46,NA,47,49,49,6.249017465298618e-53,0.17298726843664936
ENSG00000238083.7,LRRC37A2,-10.018577178639033,NA,1.2630812334504257e-23,0.07186528594036204,0.4661447833455157,8.126750501571791e-61,NA,41,85,85,5.541650969997795e-139,0.5307698498928662
ENSG00000186868.15,MAPT,9.98514130507308,NA,1.7704863960563095e-23,0.0002062105074140447,0.03075621380825265,0.0004594968478467367,NA,2,7,7,6.586374912016678e-115,0.020026150461533224
ENSG00000102189.16,EEA1,-9.194393927262233,NA,3.7711444821058726e-20,0.007679151924227428,0.14507823794032093,8.674728378086662e-16,NA,18,18,18,3.3850911873184056e-32,0.031823745268676235
ENSG00000139428.11,MMAB,-8.733773385432986,NA,2.4631436608493502e-18,0.0021672918726656836,0.023210702615841145,0.002334698201415663,NA,18,21,21,1.5264064518734205e-27,0.04528703008515602
ENSG00000275759.1,RP11-131L12.3,-8.5903461543919,NA,8.670769867183481e-18,0.03980192241379171,0.12059952217323583,7.147319908930363e-13,NA,54,56,56,2.449972748881034e-31,0.10909690060835013
ENSG00000213047.12,DENND1B,8.139580368666142,NA,3.966502335437107e-16,0.00440216623733347,0.050841088264521474,4.9878608518844046e-06,NA,15,16,16,1.3166468485006334e-18,0.056819736528572785
ENSG00000067900.7,ROCK1,-8.002283096313477,NA,1.2213318956763127e-15,0.00018801001321936154,0.039359471321191636,6.514927674393343e-05,NA,1,2,2,1.2213318956763127e-15,0.0837405463891938
ENSG00000205078.5,SYCE1L,7.811986241963268,NA,5.6293706983125595e-15,0.06242042039523421,0.18968113254099775,9.546234407036563e-21,NA,21,21,21,1.8653233579517234e-54,0.2485229372082627
ENSG00000185920.15,PTCH1,7.513316182578647,NA,5.764806782347977e-14,0.011254104362956693,0.09265502731202127,3.423734477219835e-10,NA,27,27,27,2.288077243268777e-16,0.08683046227330103
ENSG00000253250.2,C8orf88,-7.351860743790927,NA,1.9546639703481362e-13,0.0027523063111500583,0.08123595548295877,6.097215818943738e-09,NA,10,10,10,1.0631447096728131e-18,0.020346112808251743
ENSG00000163346.16,PBXIP1,-7.330133297201298,NA,2.2992392633890626e-13,0.0010898045614450612,0.032961141661952686,0.00026475948707581213,NA,22,24,24,6.863804067471359e-26,0.02344057702817336
ENSG00000169609.13,C15orf40,7.222294284440184,NA,5.111769958551754e-13,0.033786607651968975,0.26691446172393124,8.719047650135835e-30,NA,16,17,17,1.3838083249855909e-15,0.07379777208019342
ENSG00000167671.11,UBXN6,6.952510316222301,NA,3.588425846973101e-12,0.005952771257054174,0.11871666717225733,1.282658281739748e-12,NA,19,20,20,2.4374499506155954e-14,0.03371029291868241
ENSG00000275409.1,RP11-131L12.4,-6.86672841898913,NA,6.56909568316354e-12,0.007797733730898202,0.011407831309755805,0.03159559405333832,NA,36,38,38,8.819632068730939e-25,0.058890802331325626
ENSG00000132423.11,COQ3,6.848224711285346,NA,7.47720518858314e-12,0.0009234076217138932,0.04097709025853453,5.318920720769348e-05,NA,13,15,15,4.56860319500744e-11,0.023945275769502755
ENSG00000125485.17,DDX31,-6.81767564426311,NA,9.252524827272536e-12,0.011093387601098507,0.2276263772328444,1.099210128053613e-24,NA,14,14,14,1.0259764321043857e-14,0.02421076110949754
ENSG00000146701.11,MDH2,-6.7770434920766345,NA,1.2265997227299821e-11,0.007055545559684595,0.16675661974188188,7.427458451103578e-18,NA,24,28,28,5.760199912345809e-22,0.024179614057627745
ENSG00000169925.16,BRD3,-6.755881635153309,NA,1.4196928732563951e-11,0.03132531801168005,0.2158288419534167,2.3238261507684663e-23,NA,55,58,58,1.8761907603791592e-22,0.08822580260235327
ENSG00000178927.17,C17orf62,-6.7007419722797525,NA,2.0736391633819007e-11,0.005428245558911729,0.13230571353769816,3.826372657167488e-14,NA,11,11,11,3.5234287451187714e-12,0.0432403303953784
ENSG00000100979.14,PLTP,-6.697829542519956,NA,2.1153780426468866e-11,0.0017692369472396851,0.015800358533735258,0.012454170526390293,NA,22,23,23,4.41805235726694e-21,0.02470254270507971
ENSG00000072657.8,TRHDE,-6.642562250870445,NA,3.0827639268483355e-11,0.04790280346468677,0.14972972571113066,7.168497186788884e-16,NA,53,57,57,3.525415198239056e-14,0.16172534787204346
ENSG00000115556.13,PLCD4,6.597729340977044,NA,4.1750255507646154e-11,0.05375071231289177,0.3143395168372404,9.942250953223195e-37,NA,90,95,95,8.318783485885025e-17,0.05915148983673765
ENSG00000187824.8,TMEM220,-6.591817166155517,NA,4.34475457234406e-11,0.14542246663821537,0.5125355388684735,4.037805536662998e-70,NA,69,71,71,2.24609662106754e-14,0.13264169490869798
ENSG00000068796.16,KIF2A,-6.5098379107064,NA,7.523193885575485e-11,0.0010844573763580528,0.06663433383571618,1.7237219652702536e-07,NA,11,11,11,7.396580504714796e-41,0.02131635101472936
ENSG00000120694.19,HSPH1,6.5015005411889595,NA,7.952275041702701e-11,0.0019838739402633795,0.10100448527445036,1.041049561765832e-10,NA,17,17,17,1.8633689608763633e-14,0.017147684327660638
