gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000275759.1,RP11-131L12.3,-8.987641656058369,NA,2.525920652659738e-19,0.02299655665734256,0.10395676216495492,0.0009551429593457716,NA,37,40,40,6.566253157933742e-26,0.0859803438363985
ENSG00000189077.10,TMEM120A,8.636830874663366,NA,5.77938448473566e-18,0.004761794176159715,0.08747339360614115,0.0016175776086265372,NA,4,6,6,3.974457896645395e-20,0.06250387825652727
ENSG00000247982.6,LINC00926,8.565652847290039,NA,1.074652061427392e-17,0.006025475695857265,0.1024051571150101,0.0004777626301822952,NA,1,1,1,1.074652061427392e-17,0.1977281112448609
ENSG00000169609.13,C15orf40,7.332960609736204,NA,2.2512312142660022e-13,0.02524962903050977,0.2130670147801224,4.041892677446175e-07,NA,44,46,46,1.5023611207847253e-16,0.03195512517966713
ENSG00000144401.14,METTL21A,7.277009910263129,NA,3.413001953717981e-13,0.03311148946417518,0.1807183742386332,3.170160754934146e-06,NA,55,55,55,1.4753250420771833e-14,0.049099883775187946
ENSG00000228696.8,ARL17B,-7.226288728671256,NA,4.963718566693336e-13,0.06399671857511799,0.18272822855613247,3.236766109914925e-06,NA,23,51,51,4.068072837878221e-108,0.26548044023752143
ENSG00000137764.19,MAP2K5,-6.742556127983945,NA,1.5562409206090586e-11,0.033844282462609634,0.10599730953989453,0.0005103234420716255,NA,64,67,67,1.0131633607810182e-49,0.12962227059807724
ENSG00000161618.9,ALDH16A1,6.583226063917594,NA,4.603483673981563e-11,0.0483390476825272,0.4492391680738328,6.115270286220589e-17,NA,33,34,34,2.318178651151659e-17,0.08803753929566402
ENSG00000140718.20,FTO,6.472321033477783,NA,9.650879798769706e-11,0.006422358878561407,0.0569628490277525,0.010071320861985065,NA,1,1,1,9.650879798769706e-11,0.2490740670808804
ENSG00000173992.8,CCS,-6.413543352352036,NA,1.4217565975956542e-10,0.05220887850638854,0.2507526439478551,5.697892485330351e-09,NA,12,13,13,3.6634242372130647e-13,0.06484316182466425
ENSG00000138031.14,ADCY3,-6.123753552703191,NA,9.13962269667481e-10,0.018488831375776085,0.12990094100687102,7.081451969274021e-05,NA,11,12,12,1.6121771077207077e-19,0.104940043418624
ENSG00000109063.14,MYH3,-6.094790351598853,NA,1.0958096761808922e-09,0.007650179419366705,0.06349882877351186,0.008886809282256877,NA,17,17,17,7.328461164519503e-11,0.014844208727551296
ENSG00000159314.11,ARHGAP27,5.936551912539179,NA,2.91078778652685e-09,0.008508045861123845,0.2863723278780986,6.88825471040585e-10,NA,10,25,25,7.627772354574047e-37,0.19069125377303547
ENSG00000068001.13,HYAL2,-5.8893874692190655,NA,3.8762964744392105e-09,0.009334114554534638,0.07760874353374883,0.002993433518837669,NA,69,70,70,8.950486786404221e-13,0.19733911504216767
ENSG00000105778.18,AVL9,-5.740591790434989,NA,9.434626510541499e-09,0.016277443477159825,0.1080075834334952,0.0005044965906341025,NA,43,45,45,3.878028358697503e-26,0.06004817566525328
ENSG00000254999.3,BRK1,5.733673632589769,NA,9.827835708220312e-09,0.007498325611216758,0.09027834991987084,0.001910570735928021,NA,18,19,19,2.4983274268122307e-09,0.03980657486739438
