gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000120088.14,CRHR1,-12.407525125576685,NA,2.3789289780671423e-35,0.002115199339223843,0.017924167740954542,0.03272891281500523,NA,10,16,16,3.6384857348468097e-127,0.03912808832449615
ENSG00000272911.1,RP11-74E22.6,10.79131545252096,NA,3.7833492658507816e-27,0.03427396900205449,0.1272984711888338,3.469168025065351e-09,NA,13,18,18,1.5305198914573014e-36,0.10825731015734576
ENSG00000188779.10,SKOR1,-10.05132880392408,NA,9.063689744622423e-24,0.009487879439090874,0.04799726296065463,0.0002621467792611162,NA,32,33,33,1.0131633607810182e-49,0.1135356404476125
ENSG00000170476.15,MZB1,8.395279972040251,NA,4.647854055694941e-17,0.0037848488011451914,0.05206035633609084,0.00018832465415261876,NA,2,2,2,3.9777684748358813e-17,0.10962035620332664
ENSG00000238083.7,LRRC37A2,-8.332813605023933,NA,7.894339829638142e-17,0.021246445391857348,0.5743169246669108,3.5008335324595322e-56,NA,20,46,46,5.541650969997795e-139,0.13665252272552345
ENSG00000137764.19,MAP2K5,-8.206231467422045,NA,2.2823920426215757e-16,0.012255468400214258,0.17582104283341116,8.814537627954782e-13,NA,56,59,59,2.7790223756218233e-41,0.0634650303070194
ENSG00000139364.10,TMEM132B,-7.9259838308643085,NA,2.2634704600648822e-15,0.1957895834454966,0.4751833886104445,1.6372865208882935e-41,NA,11,12,12,2.126782919024451e-25,0.1556088143303079
ENSG00000182511.11,FES,-7.706774480097876,NA,1.290375322858647e-14,0.005027170198423485,0.04215581918814082,0.0007752149822502195,NA,22,23,23,6.249017465298618e-53,0.07981298718275058
ENSG00000161618.9,ALDH16A1,7.511889033019344,NA,5.828018192330334e-14,0.029446392035303776,0.227843378923222,5.4047741866828977e-17,NA,15,15,15,2.318178651151659e-17,0.04883599770950617
ENSG00000261478.1,RP11-429B14.4,-7.476597482762893,NA,7.627157099124818e-14,0.019798716957941317,0.14238667064716226,3.3009515380059954e-10,NA,10,11,11,5.268797179546504e-14,0.1031475606974878
ENSG00000205078.5,SYCE1L,7.446456211170185,NA,9.58808406268636e-14,0.10886262922628374,0.3958610591877961,1.6105945272015582e-32,NA,26,27,27,2.4740964038832273e-31,0.21082511938843213
ENSG00000108379.9,WNT3,-7.339592614905314,NA,2.1424496811871278e-13,0.0007561651781479843,0.13077035878639914,1.184501739630547e-09,NA,4,9,9,5.551800076251763e-26,0.06538358856122381
ENSG00000275759.1,RP11-131L12.3,-7.283101560995675,NA,3.2623143869487147e-13,0.0769965524400868,0.3406787329553109,2.4660647210364988e-26,NA,33,34,34,9.233319321927311e-29,0.10516634857765213
