gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000188779.10,SKOR1,-9.839892300097016,NA,7.579192863892491e-23,0.0048288402386076805,0.0733161137436775,3.2945487760504843e-06,NA,19,19,19,1.0131633607810182e-49,0.02943851402967561
ENSG00000137764.19,MAP2K5,-8.714617771519885,NA,2.9174128745253115e-18,0.007868691594843534,0.0333468611134588,0.0017740661460823254,NA,47,48,48,2.7790223756218233e-41,0.07831736953764126
ENSG00000238083.7,LRRC37A2,-8.556302297769097,NA,1.165454413072847e-17,0.04702356948354337,0.5170621995788158,4.363424051275058e-52,NA,36,78,78,4.2126025790738485e-120,0.19378992641064652
ENSG00000100024.14,UPB1,8.435171991888202,NA,3.3071609226332926e-17,0.007222547119925225,0.07763410709871503,1.3951791405042471e-06,NA,33,34,34,4.4925589099952324e-21,0.01772808833588366
ENSG00000205078.5,SYCE1L,8.373009385321902,NA,5.616513041102521e-17,0.09950843460469973,0.3084557240472933,5.021173555604937e-26,NA,81,88,88,1.8653233579517234e-54,0.09665716496124324
ENSG00000227373.5,RP11-160H22.5,8.285641049108879,NA,1.1747459345225135e-16,0.01231778276723159,0.04883813737517129,0.00015842429905921766,NA,45,45,45,3.389092885336974e-34,0.025676165728406208
ENSG00000139428.11,MMAB,-8.172922082213852,NA,3.010083972562343e-16,0.004730546685830461,0.08597284796967161,4.073925286951232e-07,NA,12,12,12,3.037936520009534e-42,0.060446582963492826
ENSG00000141449.14,GREB1L,8.100610318403216,NA,5.468414967206133e-16,0.0009608024947994232,0.019697771949041012,0.01845510596541171,NA,25,25,25,1.2213318956763127e-15,0.15235459838468293
ENSG00000275759.1,RP11-131L12.3,-7.7615769043099805,NA,8.387983088466883e-15,0.052468023181223525,0.22374143896815699,3.1520560911359798e-18,NA,37,38,38,6.835724601095445e-31,0.08094380941044295
ENSG00000169925.16,BRD3,-7.727810470624043,NA,1.0941207630228328e-14,0.002091525607698306,0.1213473542213331,1.024442081261348e-09,NA,8,8,8,1.8761907603791592e-22,0.058121250421598006
ENSG00000125485.17,DDX31,-7.633272815107336,NA,2.2886784669204027e-14,0.10060320454169086,0.4252819349408919,6.35074167281604e-40,NA,7,7,7,1.0259764321043857e-14,0.11955460610883857
ENSG00000272911.1,RP11-74E22.6,7.300740189246827,NA,2.8618890434951613e-13,0.04263688338014843,0.15586558971711595,2.1052233145393283e-12,NA,13,14,14,1.5305198914573014e-36,0.1183949420484722
ENSG00000139364.10,TMEM132B,-7.019419731858812,NA,2.2279156238710244e-12,0.09395790861703879,0.4217333578638651,7.768040627723909e-40,NA,17,19,19,2.3693455778219224e-15,0.110396554320183
ENSG00000138031.14,ADCY3,6.962110819089765,NA,3.3521164102811244e-12,0.0060605245657583615,0.12144234668822053,9.103856315520242e-10,NA,27,28,28,1.241542692219305e-19,0.026320053616322076
ENSG00000146701.11,MDH2,-6.956235671098601,NA,3.4948504589815586e-12,0.001030167507246021,0.10361941477192672,1.8592111524977506e-08,NA,11,11,11,4.432131667465975e-20,0.010390886109473913
ENSG00000156587.15,UBE2L6,-6.834868737912933,NA,8.208014916409932e-12,0.0011133404620180577,0.017522235333368344,0.026561139366842575,NA,7,7,7,2.1852987903865726e-14,0.015479696454512953
ENSG00000275409.1,RP11-131L12.4,-6.7762726062571685,NA,1.2331590209232413e-11,0.02418642048064975,0.07789869632119029,1.13841369418954e-06,NA,49,50,50,2.449972748881034e-31,0.08237443743992301
ENSG00000253762.1,RP11-579E24.2,-6.672682978032453,NA,2.5116858623970013e-11,0.0019793633711936995,0.024300122342470903,0.005924519118413382,NA,12,12,12,1.1034863566987893e-11,0.015777419212211125
ENSG00000144401.14,METTL21A,6.608952368677706,NA,3.8704921588243635e-11,0.005844849466732325,0.04054449279088753,0.000520711545870567,NA,33,33,33,1.4753250420771833e-14,0.07473498502803079
ENSG00000084710.13,EFR3B,6.5738295015837345,NA,4.903738105376824e-11,0.0027009059045063526,0.029360826148829143,0.003703016349317496,NA,21,21,21,8.989104744193757e-25,0.049356642968505934
ENSG00000135913.10,USP37,-6.562272200867248,NA,5.299396233012394e-11,0.007052317379067687,0.06401156431446937,1.5127507246819913e-05,NA,15,15,15,6.858841742657843e-16,0.02362245082995338
ENSG00000161618.9,ALDH16A1,6.402368379536438,NA,1.5298499838104615e-10,0.02382834241120945,0.23281623140059515,1.4373609077960855e-18,NA,29,29,29,2.318178651151659e-17,0.060010899689141
ENSG00000245060.6,LINC00847,-6.374587610777624,NA,1.834559197161665e-10,0.0030106652868388574,0.05135251280185691,9.024092127536172e-05,NA,6,7,7,1.81392319804687e-26,0.09923555285823
ENSG00000182511.11,FES,-6.359630631924664,NA,2.0223947447496156e-10,0.002643621911047276,0.08648450971842662,3.093414673940393e-07,NA,9,10,10,3.3070807862843696e-15,0.040841918703992786
ENSG00000264016.2,CTC-297N7.9,6.289716608336182,NA,3.180460394115048e-10,0.007160535233151735,0.019405160528687567,0.017566008019084152,NA,12,13,13,6.320142762240861e-19,0.09608120009488444
ENSG00000067221.13,STOML1,-6.27250384224596,NA,3.55287684143447e-10,0.021018991311052563,0.21022902817242786,3.5856982035470936e-17,NA,15,15,15,2.8486251462655643e-11,0.08878891820636141
ENSG00000198945.7,L3MBTL3,-6.042539091672693,NA,1.517075759072587e-09,0.05761594863375291,0.3235984014205686,3.3619601267910682e-28,NA,38,40,40,1.0337502118487957e-16,0.2326694288225491
ENSG00000178927.17,C17orf62,-6.003756755682333,NA,1.9280348381707576e-09,0.0012790370091673923,0.050707840496687084,0.00011004940525259299,NA,15,16,16,3.5234287451187714e-12,0.02945104999131115
ENSG00000142657.20,PGD,-5.970793034949003,NA,2.3610310059741424e-09,0.001594869607049308,0.027976756301477473,0.004450866725993,NA,17,17,17,8.37534351326494e-11,0.02405753644269057
ENSG00000135929.8,CYP27A1,-5.881152494712564,NA,4.074195793804494e-09,0.01140381729272225,0.13609308963852365,6.445732803878802e-11,NA,37,39,39,8.071616697162809e-13,0.05053964814983352
ENSG00000187122.16,SLIT1,-5.873868993610871,NA,4.257398646603393e-09,0.007142680002934568,0.06340003251873964,1.5217845226149811e-05,NA,28,30,30,1.563010577879299e-22,0.039070827235068516
ENSG00000108379.9,WNT3,-5.838110848417978,NA,5.279602862170289e-09,0.0015151653695982669,0.13987318253583572,3.0072616180446953e-11,NA,6,15,15,2.4688648706165386e-24,0.05491701274501912
ENSG00000248746.5,ACTN3,-5.648139400071836,NA,1.6219363804964587e-08,0.05192358158842483,0.2113417875977357,7.594703091216483e-17,NA,18,19,19,9.542677800929238e-17,0.08562641225290643
ENSG00000273841.4,TAF9,5.577771947575038,NA,2.4361874554473147e-08,0.003137385701985998,0.05419453405298935,6.024459163819516e-05,NA,24,28,28,2.2123211802463935e-11,0.045017362441938366
ENSG00000277200.1,RP11-74E22.8,5.488618443586154,NA,4.050895975352155e-08,0.04608436663965887,0.3401445583697424,2.5984469674669996e-29,NA,11,11,11,2.296918205080951e-11,0.2340893941000703
ENSG00000170209.4,ANKK1,-5.303567470936544,NA,1.1356120359325136e-07,0.026576009983356085,0.1498315064273035,9.208197670203424e-12,NA,21,21,21,1.3781767413494651e-24,0.13333860655525556
ENSG00000187824.8,TMEM220,-5.291242835037973,NA,1.2148792872075647e-07,0.04916033016124878,0.2865106572390325,1.650259973548389e-23,NA,63,67,67,6.320142762240861e-19,0.10167308079872632
ENSG00000274512.5,TBC1D3L,5.158801120566199,NA,2.4853613727603273e-07,0.0014085542508357261,0.3799164120339699,4.910078370010725e-33,NA,2,33,33,6.509656266786324e-09,0.04953541032907397
ENSG00000119231.10,SENP5,-5.143218477080783,NA,2.7007123896647357e-07,0.008834970758408476,0.10794431648564297,1.1636943102252562e-08,NA,10,10,10,4.0460935025106056e-07,0.0654546405812283
ENSG00000253734.1,LINC01289,-5.071600673345875,NA,3.944834840409976e-07,0.006007582808204543,0.04735122080752046,0.00016259322826774658,NA,38,40,40,1.1034863566987893e-11,0.034591424278399605
ENSG00000177302.14,TOP3A,4.9950973223911745,NA,5.880610419931853e-07,0.02342063275880494,0.169872153756355,1.516350254180515e-13,NA,26,27,27,6.548104574141489e-20,0.06482504155283206
ENSG00000197696.9,NMB,4.9169501661776795,NA,8.790291681981622e-07,0.02352932029845563,0.15095879378997476,5.741756520018162e-12,NA,16,16,16,1.0307021981532258e-10,0.0940118807935935
ENSG00000167377.17,ZNF23,4.910183898324831,NA,9.099102118033514e-07,0.02155575225871418,0.16472867825590293,5.279138697759982e-13,NA,18,19,19,2.2940823498856162e-14,0.09244148816992497
ENSG00000080709.14,KCNN2,4.853349529914161,NA,1.213934564281422e-06,0.0020394097781511102,0.02568439367880127,0.006450928671554545,NA,5,6,6,7.78087406250151e-11,0.06994843284858075
ENSG00000163239.12,TDRD10,-4.840938102818503,NA,1.292276229351567e-06,0.007425203768617175,0.12540987763670272,6.295447941412446e-10,NA,13,13,13,1.8442671011624082e-09,0.03543710753433866
ENSG00000185324.21,CDK10,4.77072315430326,NA,1.8356569308977854e-06,0.022958621937553957,0.27523266003138863,5.787690077150318e-24,NA,42,44,44,4.4257321891557364e-15,0.1047535886537441
ENSG00000156603.15,MED19,-4.726091491024626,NA,2.288825556384691e-06,0.031198995575397008,0.1191540599051016,1.0065993277429477e-09,NA,174,177,177,6.623095019950485e-57,0.14620792309258904
ENSG00000188786.9,MTF1,-4.707442836599415,NA,2.508435904182048e-06,0.0008865502319571996,0.05221543662319618,0.00010568838173453182,NA,4,4,4,1.286643959424261e-05,0.0136815409816864
ENSG00000197361.7,FBXL22,-4.685563349975626,NA,2.7919092311128147e-06,0.0005306159125949795,0.05404366661289986,6.832429506337773e-05,NA,23,23,23,8.669015105120469e-11,0.015158714716223296
ENSG00000145476.15,CYP4V2,4.675691331419093,NA,2.9296498442154503e-06,0.047436640178235234,0.2664653775061204,1.4520321852007457e-21,NA,30,33,33,6.564135001005266e-07,0.17408915181389234
ENSG00000237172.3,B3GNT9,4.672260723641308,NA,2.979024680869449e-06,0.0033072157561304457,0.10313494023020672,2.48382453090833e-08,NA,5,6,6,7.485450096422524e-11,0.041407770663658486
ENSG00000141959.16,PFKL,4.6635697764821185,NA,3.1077074432402646e-06,0.0012053268355359836,0.02608876533729329,0.006445569668370075,NA,9,9,9,1.4804317465679555e-08,0.02848555160440495
ENSG00000063978.15,RNF4,-4.619547695172762,NA,3.845774721143696e-06,0.011060167756935593,0.06522731781862162,1.0341662469641908e-05,NA,58,62,62,4.851745448494577e-11,0.0967186148513936
ENSG00000171608.15,PIK3CD,-4.604673380122045,NA,4.13113718302701e-06,0.0013486123528067403,0.07303089217269687,3.823875220777932e-06,NA,8,9,9,2.75694055812695e-07,0.033933624179267416
ENSG00000185674.9,LYG2,-4.571582891792163,NA,4.8405373495131854e-06,0.015145528315257638,0.020107850476149373,0.015838697029529104,NA,29,29,29,5.848800314320665e-11,0.10740857559276604
ENSG00000128944.13,KNSTRN,4.5560066888786945,NA,5.213527678323053e-06,0.10620470927696479,0.4838767021456728,6.686546294425881e-47,NA,33,33,33,2.1880788154571036e-06,0.13126407747541546
ENSG00000238078.1,LINC01352,4.517255344950917,NA,6.264634422345932e-06,0.10950981830431722,0.33721387870409003,6.176213523543725e-29,NA,55,58,58,5.26457817562236e-13,0.23428132158764226
ENSG00000164543.5,STK17A,-4.504654034018519,NA,6.648116146730319e-06,0.0014295850269306102,0.02719328245407811,0.00543358456973514,NA,7,8,8,4.85716976913692e-06,0.01436667410257029
ENSG00000122687.17,MRM2,4.489645841278223,NA,7.1341688572338525e-06,0.007181236998396647,0.11444977983313402,1.5367381347127302e-09,NA,7,7,7,9.484893620019952e-10,0.04599288422455098
ENSG00000125734.15,GPR108,4.444223960491754,NA,8.820968096345598e-06,0.02133421080467486,0.27497928821889195,8.083137585721143e-23,NA,49,57,57,1.537109043993421e-05,0.11091696154222368
ENSG00000151883.17,PARP8,-4.422050612060454,NA,9.776854639930736e-06,0.009973229254655654,0.05885004361803799,3.684817566723623e-05,NA,26,27,27,2.08071553273643e-08,0.06821916671191622
ENSG00000006047.12,YBX2,4.409386447787904,NA,1.036638961313256e-05,0.01306531394276991,0.21976152089526585,1.0651123990968647e-17,NA,15,17,17,3.055183077393057e-06,0.17011867738915484
ENSG00000231690.2,LINC00574,-4.403681233471374,NA,1.0642929339998266e-05,0.035940361520573595,0.05292228175825056,7.186909588352383e-05,NA,31,31,31,5.276793909551633e-07,0.2254235272282999
ENSG00000111237.18,VPS29,-4.401446806756407,NA,1.0753143209416517e-05,0.010184939414679645,0.10944791188290366,8.36309415322033e-09,NA,26,26,26,2.545254091756082e-07,0.06010373623047691
ENSG00000149548.14,CCDC15,4.390468347306144,NA,1.131067796260595e-05,0.016682765020697134,0.08321093697132383,5.24890308598197e-07,NA,39,44,44,1.3181727769600038e-10,0.15641897791180062
