gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-17.087028692992785,NA,1.8538213225080453e-65,0.04522615402073801,0.5879204216474114,1.0517986662545118e-61,NA,21,39,39,1.186179735849227e-133,0.08352867476724002
ENSG00000225190.10,PLEKHM1,-12.508052931975422,NA,6.745749092803918e-36,2.9137917642429107e-05,0.029155206758629662,0.005214024922327093,NA,5,16,16,7.627772354574047e-37,0.0027608703024700424
ENSG00000149295.13,DRD2,-12.450424688232854,NA,1.3910300485591118e-35,0.012651938093584843,0.09241454797177667,2.5089604398005253e-07,NA,13,14,14,1.0834248644055574e-43,0.02793729593406127
ENSG00000137764.19,MAP2K5,-12.109887171322278,NA,9.362285583025187e-34,0.013466322206122537,0.16829832098584366,9.531680613326183e-13,NA,16,17,17,2.7790223756218233e-41,0.08002807860764298
ENSG00000176681.14,LRRC37A,-12.100123278997941,NA,1.0545269415441192e-33,0.08334830512057019,0.370039908272864,9.557187599241242e-31,NA,18,35,35,4.2126025790738485e-120,0.1831887564566324
ENSG00000272911.1,RP11-74E22.6,11.036576143913464,NA,2.545487475981586e-28,0.05864157430127499,0.1821204118525704,4.9980357438033203e-14,NA,8,8,8,1.5305198914573014e-36,0.18256817870711767
ENSG00000108379.9,WNT3,-9.85086132179339,NA,6.795905614036613e-23,0.010558906825294385,0.173219818891358,7.569763409416051e-13,NA,11,15,15,4.2126025790738485e-120,0.061717316097809324
ENSG00000275759.1,RP11-131L12.3,-9.17049775275248,NA,4.7083987398683055e-20,0.11010406993477895,0.3739882784275978,1.1975338544456542e-30,NA,42,43,43,2.449972748881034e-31,0.11286238862714885
ENSG00000115556.13,PLCD4,8.731890140647138,NA,2.5045143393608356e-18,0.0030846403069984497,0.0749426430320805,5.652021768013248e-06,NA,11,11,11,2.721513668672872e-19,0.027948799218211858
ENSG00000188779.10,SKOR1,-8.696750802364091,NA,3.415223207536211e-18,0.01104846010631892,0.09680590127255266,1.6706006561742186e-07,NA,30,30,30,2.7790223756218233e-41,0.04960927670889192
ENSG00000263874.2,LINC00672,8.602322049031718,NA,7.811922034289749e-18,0.0831247591105138,0.3267066027605341,1.2226881291494683e-25,NA,29,48,48,2.224629112924185e-38,0.4762765747087931
ENSG00000152061.23,RABGAP1L,8.34659025066546,NA,7.026195512288503e-17,0.044128084841195035,0.3321272114721614,2.1963322829277965e-26,NA,126,127,127,3.875573492791242e-36,0.07151416636016485
ENSG00000205078.5,SYCE1L,7.721843629667981,NA,1.1465900581551016e-14,0.11269775879343055,0.3970291735283509,4.119102765905913e-33,NA,15,15,15,1.8653233579517234e-54,0.15023473926687705
ENSG00000196670.13,ZFP62,-7.707117067292793,NA,1.286917412079901e-14,0.005338699366415964,0.05349664295261912,0.00012872679453986935,NA,26,29,29,1.6383214203554685e-28,0.10179989357202546
ENSG00000198945.7,L3MBTL3,-7.601963509877211,NA,2.916709861008598e-14,0.0036390133116739553,0.0953374953463144,1.7137462078462209e-07,NA,3,3,3,1.2814779192593433e-14,0.08346238670425361
ENSG00000275409.1,RP11-131L12.4,-7.426982960559328,NA,1.1110266623691253e-13,0.01626073237943753,0.1056248414943472,4.230349922153947e-08,NA,28,28,28,2.449972748881034e-31,0.03972383887484728
ENSG00000111707.11,SUDS3,7.322929135640674,NA,2.426159367949961e-13,0.012526348559517795,0.0981222473961661,1.364513803669318e-07,NA,40,40,40,2.449972748881034e-31,0.049299496682978367
ENSG00000169925.16,BRD3,-6.984337761901571,NA,2.862027605287843e-12,0.002696949287154423,0.05786119337763779,7.939906140139585e-05,NA,25,29,29,1.8761907603791592e-22,0.057875809054366185
ENSG00000161618.9,ALDH16A1,6.973281758933382,NA,3.0963161402510566e-12,0.06674138325207149,0.3845122750094987,2.938459712687867e-32,NA,24,25,25,2.318178651151659e-17,0.09863822345870414
ENSG00000248746.5,ACTN3,-6.917548954690395,NA,4.595246144273103e-12,0.08004657408144113,0.2204153580887564,9.583594108905271e-17,NA,29,29,29,9.542677800929238e-17,0.05958057463661615
ENSG00000152465.17,NMT2,-6.800045900655477,NA,1.045858233817489e-11,0.027311759475126807,0.207621632920134,1.4105522782804069e-15,NA,18,21,21,1.6685255230943779e-21,0.15778141319077574
ENSG00000125485.17,DDX31,-6.573687768217614,NA,4.908410565476e-11,0.11626270562467385,0.4165357629327901,1.7080523969825455e-35,NA,41,43,43,1.0259764321043857e-14,0.0879684923653563
ENSG00000139364.10,TMEM132B,-6.553709470455319,NA,5.6125111316898954e-11,0.1099313910313087,0.3988773046907022,3.224444223672629e-33,NA,9,10,10,2.3693455778219224e-15,0.1337493146697309
ENSG00000162373.12,BEND5,6.50476205849034,NA,7.781645098452663e-11,0.004395154865234738,0.020967637160871726,0.016881355214502968,NA,18,18,18,1.0335644060847418e-22,0.07733202012769554
ENSG00000120088.14,CRHR1,-6.446696950809517,NA,1.1431403791913055e-10,0.005783461275076987,0.04861979141976447,0.00027133660675625316,NA,18,28,28,4.2126025790738485e-120,0.2419070642442084
ENSG00000104964.14,AES,6.437398855156033,NA,1.2153825878849662e-10,0.0007943353880204485,0.0173638585914512,0.03128371690986385,NA,2,3,3,9.659810225248894e-11,0.040967895245170347
ENSG00000076043.9,REXO2,6.4261071571161725,NA,1.3091313467399007e-10,0.009788505294136888,0.050313154886341575,0.00021417110236953232,NA,44,48,48,1.514421773333567e-81,0.1654789286895938
ENSG00000140718.20,FTO,6.198228221187338,NA,5.710230213805517e-10,0.0012662227362788758,0.023674722734478727,0.012313521397267168,NA,12,13,13,9.650879798769706e-11,0.07246765197029496
ENSG00000086189.9,DIMT1,-6.1352026115787135,NA,8.505072714638047e-10,0.007633295662001911,0.0432726618342318,0.0006243055849040173,NA,54,59,59,5.776949264840097e-38,0.0836071223576373
ENSG00000100024.14,UPB1,5.985706172017479,NA,2.1545301148855354e-09,0.028292463011524178,0.09959629489520024,3.7330980408834e-08,NA,35,40,40,2.2616781311535103e-17,0.1170398472131875
