gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000186868.15,MAPT,-16.525247898929187,NA,2.4144509857347325e-61,0.002360697986185281,0.4410591120681972,2.2432744069021836e-57,NA,10,39,39,5.541650969997795e-139,0.028747493124625007
ENSG00000073969.18,NSF,14.439753914305665,NA,2.9087881427585825e-47,0.002111057290268167,0.07994263974808659,5.400397768431939e-09,NA,9,16,16,4.2126025790738485e-120,0.049635049940540216
ENSG00000272911.1,RP11-74E22.6,12.405777113618594,NA,2.431422485192064e-35,0.008162258236370526,0.05549729600350943,1.7372148955889458e-06,NA,5,5,5,1.5305198914573014e-36,0.06434080191969098
ENSG00000156603.15,MED19,-12.394097914155093,NA,2.8129333036714034e-35,0.03417413354852684,0.15463489661037874,4.8544538369030286e-17,NA,34,37,37,7.103303355455983e-84,0.08951412708155593
ENSG00000274512.5,TBC1D3L,12.243466100470279,NA,1.8208712072525575e-34,0.00018459197465801392,0.4579836753305611,9.675821617925083e-61,NA,4,29,29,1.3713664258225008e-36,0.012832189296110241
ENSG00000159314.11,ARHGAP27,11.325251234818396,NA,9.839635415642701e-30,0.0014343977534199755,0.13214361071966166,1.7036062601339487e-14,NA,8,19,19,4.2126025790738485e-120,0.031913993072991816
ENSG00000120071.13,KANSL1,-10.57529360481507,NA,3.8796042451526096e-26,0.032488922116845315,0.32377420324960143,3.78185177649093e-38,NA,29,44,44,3.6384857348468097e-127,0.07029328146354026
ENSG00000140564.11,FURIN,9.72876506405758,NA,2.273360306994577e-22,0.028941591482393763,0.26242146297270713,3.2280739431066674e-30,NA,32,36,36,4.507117739894403e-48,0.23088121544424084
ENSG00000169925.16,BRD3,-9.70565090457508,NA,2.852497488715532e-22,0.007624105505209146,0.12529253706745022,1.7252712407736452e-13,NA,7,7,7,1.8761907603791592e-22,0.04287405962851935
ENSG00000163346.16,PBXIP1,-8.761159843712523,NA,1.9325154009763456e-18,0.003858068752000476,0.06753684612396575,7.541336628008017e-08,NA,19,20,20,9.933095757240995e-30,0.06487710472717974
