gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-15.6415388826929,NA,3.794463130293228e-55,0.013875726707152952,0.6071610281635623,3.231312688309568e-89,NA,24,67,67,5.541650969997795e-139,0.12388382612945675
ENSG00000137764.19,MAP2K5,-12.787247272778648,NA,1.9319646093020607e-37,0.036958656797729146,0.2897099655471447,3.7711146463902e-31,NA,28,29,29,1.7814122815033282e-49,0.1314158601618377
ENSG00000225190.10,PLEKHM1,-11.281916102305779,NA,1.611961612367741e-29,0.0004050939640716265,0.09509607071469164,8.372154817950697e-10,NA,5,15,15,7.627772354574047e-37,0.01107233724924436
ENSG00000149295.13,DRD2,-11.174624916303266,NA,5.427919468962317e-29,0.023798041478699156,0.0863405725661299,5.229403263305938e-09,NA,31,36,36,4.532257986428729e-55,0.060775879850687275
ENSG00000108379.9,WNT3,-10.410503387451172,NA,2.220443988698412e-25,0.0005291824623141205,0.15040771619163154,1.5960355392502394e-15,NA,1,8,8,2.220443988698412e-25,0.036253035567271816
ENSG00000272911.1,RP11-74E22.6,10.103701016225912,NA,5.3195847132898045e-24,0.08761648888951365,0.17424126414574498,1.2523364878586997e-17,NA,48,52,52,1.1571781287187759e-38,0.239199948522952
ENSG00000188779.10,SKOR1,-9.486909858005523,NA,2.3798449536529957e-21,0.013226011890689143,0.13019080432391505,1.3379298058840105e-13,NA,24,24,24,1.0131633607810182e-49,0.0260532053435502
ENSG00000152061.23,RABGAP1L,9.41974268345621,NA,4.52194827562513e-21,0.08402049924979939,0.4955091187576397,4.527689328928485e-64,NA,87,88,88,3.875573492791242e-36,0.04395301683081556
ENSG00000196670.13,ZFP62,-8.717425958238993,NA,2.8459780592605062e-18,0.010953668202158835,0.08507237745618676,5.905837696304178e-09,NA,21,24,24,1.6383214203554685e-28,0.17923419932051068
ENSG00000135912.10,TTLL4,8.713306846529257,NA,2.9513635623268733e-18,0.0005334664953502068,0.015004828773855871,0.017940120723422097,NA,3,3,3,2.721513668672872e-19,0.017902896177674824
ENSG00000263874.2,LINC00672,8.515338767750386,NA,1.6610400170218717e-17,0.07144858117010351,0.2910947588207765,3.354772899614176e-31,NA,17,30,30,2.224629112924185e-38,0.25671957698084674
ENSG00000162373.12,BEND5,8.026064550596217,NA,1.0064927685005387e-15,0.0056777197875862735,0.042373121234540366,5.396830401408311e-05,NA,16,17,17,1.0335644060847418e-22,0.1371220652642832
ENSG00000275409.1,RP11-131L12.4,-7.893091790598816,NA,2.94790631404644e-15,0.046089143746724,0.1714230111249858,8.491877006051306e-18,NA,19,19,19,5.146596221176917e-28,0.07139461477589608
ENSG00000100024.14,UPB1,7.859887267087819,NA,3.8447933058681376e-15,0.019498147774093057,0.14243647734591414,1.3182671757773254e-14,NA,8,8,8,2.2616781311535103e-17,0.042105177423854216
ENSG00000161618.9,ALDH16A1,7.807707598546332,NA,5.823750181202138e-15,0.07018203274485896,0.3908865297375961,1.4415600843385848e-45,NA,16,16,16,2.318178651151659e-17,0.050932340136417016
ENSG00000232300.1,FAM215B,-7.549686248805984,NA,4.363080365160171e-14,0.016777169415088132,0.13969574873019786,1.8318325589426846e-14,NA,10,24,24,5.541650969997795e-139,0.08860047819882735
ENSG00000213047.12,DENND1B,7.436247151494152,NA,1.0358595248923096e-13,0.002634422242514732,0.013804933168164828,0.02334028674653489,NA,14,14,14,2.5707702848747426e-18,0.05433498543363807
ENSG00000166503.8,RP11-382A20.3,7.392898477897842,NA,1.4366216661759687e-13,0.0015233269682079656,0.05562399790736816,3.400991057968562e-06,NA,21,22,22,6.8724897591823e-29,0.047251203962350115
ENSG00000139364.10,TMEM132B,-7.390782618146772,NA,1.4596709050859434e-13,0.14323777318474834,0.500903174234543,3.566869196720482e-66,NA,8,10,10,2.3693455778219224e-15,0.1573385996743776
ENSG00000125485.17,DDX31,-7.324479980550716,NA,2.3982685985083797e-13,0.10654868690170363,0.44238736332485934,1.482668663491378e-54,NA,18,18,18,1.0259764321043857e-14,0.10576897512535922
ENSG00000275759.1,RP11-131L12.3,-7.314071479270755,NA,2.5916716676995597e-13,0.14886790875234165,0.461319157208778,9.10592003866362e-57,NA,69,70,70,2.449972748881034e-31,0.06671303901724075
ENSG00000131446.16,MGAT1,7.161456942819756,NA,7.982408741380848e-13,0.001814753195572946,0.033541593897350834,0.0003717204202423436,NA,29,34,34,1.6383214203554685e-28,0.02601269182567282
ENSG00000068796.16,KIF2A,-7.115530680069792,NA,1.1148304290081265e-12,0.002818942815604235,0.08544303921297923,6.817256554943373e-09,NA,24,25,25,7.027753684800624e-42,0.0187020468943484
ENSG00000185829.17,ARL17A,-7.106510655136846,NA,1.1901347427249504e-12,0.040053281035286256,0.2942907952111662,2.170232261237208e-31,NA,23,42,42,4.843072440285918e-135,0.22162484163236948
ENSG00000086189.9,DIMT1,-7.09666031255507,NA,1.2780767550641476e-12,0.005656384917737464,0.09975106249598673,1.5167194638849342e-10,NA,39,41,41,4.796066931818638e-40,0.02835671060653315
ENSG00000248746.5,ACTN3,-6.983912630612482,NA,2.870706294478178e-12,0.10522859119884366,0.25993168710830594,2.5068947632451983e-27,NA,31,33,33,1.2771055151225522e-14,0.15444354302301158
ENSG00000163050.16,COQ8A,6.892009036366951,NA,5.500987832858412e-12,0.0006620248353296166,0.03212326634370498,0.0004725582076109032,NA,25,25,25,3.206417275346053e-14,0.015015631365298
ENSG00000261478.1,RP11-429B14.4,-6.846104348486197,NA,7.588813387555502e-12,0.012982888341498326,0.11635829876794365,5.0361545611506446e-12,NA,28,30,30,5.268797179546504e-14,0.06920437935392139
ENSG00000134256.12,CD101,6.8454907203070245,NA,7.621416000480734e-12,0.01773953977985896,0.09253418529256734,1.4385710420109904e-09,NA,21,23,23,4.951882200935738e-14,0.05160183048182337
ENSG00000176681.14,LRRC37A,-6.838921082878839,NA,7.979182307356753e-12,0.12214177161439789,0.5416166837169587,2.0639337033204207e-74,NA,35,67,67,5.631195239956176e-125,0.3896125170220184
ENSG00000198945.7,L3MBTL3,-6.823522469486596,NA,8.883483855992024e-12,0.006917683598702862,0.10139519250484294,1.8613021437066655e-10,NA,10,10,10,1.2814779192593433e-14,0.0734723233088794
ENSG00000140564.11,FURIN,6.7313325116919485,NA,1.681162778117597e-11,0.00040004606195307704,0.021765262251810483,0.003474728845305946,NA,8,8,8,8.839645193283644e-14,0.011487721316793771
ENSG00000181274.6,FRAT2,6.715338788094024,NA,1.8762976540287426e-11,0.002708299257754343,0.020106952837795032,0.005239841353828108,NA,11,11,11,1.563010577879299e-22,0.020496105826038426
ENSG00000111707.11,SUDS3,6.6918408234174205,NA,2.2038051564634195e-11,0.014212864338153,0.08186182318003217,1.439645255362873e-08,NA,44,47,47,9.233319321927311e-29,0.08806741535445017
ENSG00000273841.4,TAF9,6.510795418964827,NA,7.475389672273263e-11,0.003989550978468849,0.08001314289406225,1.6267109402817444e-08,NA,13,15,15,2.2123211802463935e-11,0.03266413671811667
ENSG00000166913.12,YWHAB,6.486700692178779,NA,8.77363871442455e-11,0.0004088093872712981,0.04144175165949314,6.082816852328751e-05,NA,8,8,8,1.349425060651217e-16,0.00813759852564932
ENSG00000095059.15,DHPS,6.475238125257013,NA,9.466253217045088e-11,0.002267050925933281,0.03662483095732642,0.00018115374592710394,NA,16,17,17,1.6127072807228982e-14,0.059408515855895135
ENSG00000152465.17,NMT2,-6.428419735085572,NA,1.289373044626464e-10,0.05452352121927001,0.21953767684183367,1.8714961708297759e-22,NA,47,58,58,1.6685255230943779e-21,0.13772946781896078
ENSG00000143603.18,KCNN3,-6.242709885986442,NA,4.300541207983847e-10,0.0007938956135117016,0.024432186913688817,0.002374636931656257,NA,7,7,7,1.6245834962378618e-16,0.044409018331432425
ENSG00000277200.1,RP11-74E22.8,6.239124184075152,NA,4.400275685940162e-10,0.07404882217057632,0.2692287215597937,2.6834896958276084e-28,NA,11,11,11,1.5305198914573014e-36,0.3205746841761089
ENSG00000151503.12,NCAPD3,-6.1244930357229,NA,9.097279261786193e-10,0.0015754996643680122,0.01624638390814251,0.013101143888164614,NA,18,18,18,4.179774344768435e-14,0.019538837987684646
ENSG00000259218.5,LINC00928,-6.048762352868858,NA,1.4596277930002576e-09,0.0028054457646067826,0.045811426480009035,2.9070225505081274e-05,NA,6,7,7,4.984224187162317e-12,0.03675065825067442
ENSG00000071626.16,DAZAP1,6.041330270137416,NA,1.5284874146152104e-09,0.0012760382683264396,0.01594802984192775,0.013885740998321449,NA,11,13,13,1.1606478131629818e-11,0.04288027911085797
ENSG00000205078.5,SYCE1L,6.036466037748718,NA,1.575258861849893e-09,0.08193846189619121,0.3119791110160757,2.3560427986120337e-34,NA,9,9,9,1.8653233579517234e-54,0.1786692562258647
ENSG00000164296.6,TIGD6,5.979498449778502,NA,2.238256920224253e-09,0.006735163499339769,0.08101317029981073,1.636740800179778e-08,NA,13,13,13,1.9872692278878222e-11,0.05305140364871355
ENSG00000254999.3,BRK1,5.932503894510541,NA,2.9834931032629167e-09,0.0013817500427111106,0.022968844012020196,0.00312224104851857,NA,41,44,44,4.008104478344192e-12,0.013551703655774608
ENSG00000163354.14,DCST2,-5.858613905749861,NA,4.667464249364432e-09,0.005637250677946973,0.04343352420157657,4.2518948793465915e-05,NA,23,23,23,1.0282323423846038e-17,0.04998374653857262
ENSG00000124920.13,MYRF,-5.827263893331516,NA,5.634348058572965e-09,0.003073066888870455,0.026075756013321974,0.0015434880073306465,NA,8,10,10,1.1020898755094859e-11,0.038191312923778066
ENSG00000235106.9,LINC00094,5.771252287450442,NA,7.868456442746232e-09,0.02171263733472812,0.18830222648976386,2.4997783711701383e-19,NA,24,28,28,1.8761907603791592e-22,0.10945730602853193
ENSG00000158321.15,AUTS2,-5.755507174272579,NA,8.63820531461475e-09,0.0009401594474054757,0.012126345049900436,0.0335333235418562,NA,2,2,2,9.730125020334103e-09,0.0474337307913109
ENSG00000124257.6,NEURL2,-5.7437463969856495,NA,9.260444886209818e-09,0.023001299289967664,0.08100181851413438,1.4057811234547237e-08,NA,62,68,68,4.41805235726694e-21,0.14605174455155145
ENSG00000178927.17,C17orf62,-5.739263005975775,NA,9.50894487965626e-09,0.0033507564897830074,0.08034546859682233,2.003770477433801e-08,NA,9,9,9,6.624617628074662e-11,0.08363292748905288
ENSG00000135441.7,BLOC1S1,5.7157462346128565,NA,1.0922363334981711e-08,0.0035907520414547164,0.05863375875131083,1.868748156698171e-06,NA,13,14,14,1.4739118450127804e-05,0.07214993122607315
ENSG00000139746.15,RBM26,5.627011672810823,NA,1.8335832423315868e-08,0.00035587475598798115,0.013027634592957924,0.02733842946937738,NA,4,4,4,3.89439632106093e-13,0.015891592858911518
ENSG00000213347.10,MXD3,-5.559019134652379,NA,2.712949570096321e-08,0.03590695305141128,0.3626411509728982,1.1358835621611459e-41,NA,58,65,65,2.690784543320802e-16,0.09746468930121308
ENSG00000260895.1,RP11-554A11.7,-5.502871696551814,NA,3.736543528927851e-08,0.03818136483558425,0.1389583018247402,1.9831220933402144e-14,NA,25,31,31,8.826873978378116e-15,0.1037337401710246
ENSG00000142657.20,PGD,-5.48531944714986,NA,4.127229086087296e-08,0.011777425242817545,0.14179805185702726,1.2001730513957321e-14,NA,11,11,11,8.37534351326494e-11,0.028459550863096383
ENSG00000103599.19,IQCH,-5.3367379322129835,NA,9.463366462653905e-08,0.01263073115440941,0.03660901150703221,0.00016751109807197243,NA,15,15,15,2.359680360001173e-19,0.09006364390388724
ENSG00000205581.10,HMGN1,-5.289687919709498,NA,1.225252389684502e-07,0.0016056743697470009,0.04732044483263119,1.7566479722984838e-05,NA,9,9,9,1.2830658654258986e-08,0.03032613063222466
