gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000156603.15,MED19,-14.132491022664938,NA,2.3951945372407136e-45,0.034013769633327404,0.2091979981438152,1.3373392663224376e-17,NA,44,45,45,6.623095019950485e-57,0.1420806005707979
ENSG00000137764.19,MAP2K5,-11.640737001622194,NA,2.557956086752554e-31,0.027007385657823103,0.2473074968276228,6.674579134972931e-22,NA,22,22,22,8.641896146899121e-46,0.05144682813803829
ENSG00000238083.7,LRRC37A2,-11.230775045314044,NA,2.8794160650332504e-29,0.024154380144369412,0.5099770465462452,9.063362392828469e-55,NA,34,61,61,5.541650969997795e-139,0.0949151301351142
ENSG00000086200.16,IPO11,-10.945272570878164,NA,7.0006842536746325e-28,0.0017113435483032307,0.026088724739910196,0.004430011236025578,NA,25,26,26,7.027753684800624e-42,0.027681433343755942
ENSG00000108379.9,WNT3,-10.280263344120947,NA,8.649095349459037e-25,0.005022407788808164,0.0700253436488327,2.5443030117105488e-06,NA,7,12,12,5.551800076251763e-26,0.039440537365171696
ENSG00000272911.1,RP11-74E22.6,9.720765263975704,NA,2.459261998610449e-22,0.013420492566251108,0.09344367718702863,2.491205848178789e-08,NA,4,4,4,1.6320338561944085e-34,0.07617303604918456
ENSG00000196670.13,ZFP62,-9.009114791462954,NA,2.0772636688111062e-19,0.020869185346087976,0.18948651777755604,1.834423094083281e-16,NA,24,29,29,1.6383214203554685e-28,0.10324193417451534
ENSG00000163354.14,DCST2,-8.184169006166602,NA,2.7418905532523527e-16,0.002898536275425653,0.02144212048519866,0.010440168334435531,NA,12,13,13,6.946278276839863e-19,0.024923420117948014
ENSG00000185920.15,PTCH1,8.055496279887695,NA,7.915697695754953e-16,0.0007708851048074376,0.024358272334284337,0.00567853221755843,NA,13,13,13,2.288077243268777e-16,0.015757885975640668
ENSG00000227373.5,RP11-160H22.5,7.995680301114238,NA,1.2886035132614758e-15,0.023774931204140315,0.07077256838083346,1.837628832339782e-06,NA,34,34,34,1.7509440943406954e-30,0.08602860789133268
ENSG00000100024.14,UPB1,7.765873102978837,NA,8.108470239447036e-15,0.0031424755055632567,0.04748704643402761,0.00011022125798535278,NA,10,10,10,2.2616781311535103e-17,0.03923433339450722
ENSG00000160685.13,ZBTB7B,7.5604620280135855,NA,4.016401258397365e-14,0.0010210611259133904,0.028077080645548428,0.003314699621022239,NA,4,6,6,3.895583399784406e-14,0.03755599903159685
ENSG00000205078.5,SYCE1L,7.491536606750316,NA,6.807189175833441e-14,0.09925950988525761,0.3207600308214669,5.230417307260571e-29,NA,38,41,41,1.8653233579517234e-54,0.24720921417119066
ENSG00000156508.17,EEF1A1,7.374286056400093,NA,1.6522807843659225e-13,0.0006309669304508615,0.01420935748783709,0.037782393850767065,NA,4,4,4,2.1831268441149159e-13,0.023455310657366696
ENSG00000275759.1,RP11-131L12.3,-7.178355493577329,NA,7.055491005688336e-13,0.12701002238591924,0.3678255141791029,2.842658498605748e-34,NA,64,67,67,2.449972748881034e-31,0.09270750123617427
ENSG00000273841.4,TAF9,7.15412290338226,NA,8.420959513823002e-13,0.0024070293324515153,0.06294177032098723,9.257304746324189e-06,NA,6,8,8,1.25616395390421e-15,0.0623505832463591
ENSG00000187824.8,TMEM220,7.0784045372051585,NA,1.4582352298717924e-12,0.011314695268862064,0.11064420033200664,1.944766904878358e-09,NA,42,42,42,2.24609662106754e-14,0.014111408596407743
ENSG00000005249.12,PRKAR2B,6.9732250978792125,NA,3.0975640000233463e-12,0.004536099041536774,0.026931954552010383,0.004004352975490217,NA,21,24,24,2.3197732035533387e-14,0.060824543284018234
ENSG00000185829.17,ARL17A,-6.943601210797578,NA,3.822285343943763e-12,0.07153753553019286,0.3438624106646875,4.5151854616819054e-32,NA,40,62,62,1.186179735849227e-133,0.18962692235950626
ENSG00000086189.9,DIMT1,6.881652538662991,NA,5.916217680454667e-12,0.0007597776028142579,0.028520506924566338,0.002723482201120121,NA,14,14,14,3.352843452458453e-16,0.010081236152128277
ENSG00000263874.2,LINC00672,6.737380312145131,NA,1.6126768179004895e-11,0.05942790065685295,0.2550146327951118,1.7449626445787853e-22,NA,23,26,26,2.8712266991963463e-37,0.2236168326149643
ENSG00000144580.13,CNOT9,-6.473614122334809,NA,9.568608138110499e-11,0.000486114184422138,0.015867220382871798,0.02679019657147476,NA,4,4,4,5.3352459272865994e-12,0.015611545289816446
ENSG00000164366.3,CCDC127,6.41482907863602,NA,1.4098094363329312e-10,0.007885931744825672,0.0833425046060191,2.808580010592086e-07,NA,24,25,25,2.0925182170072226e-12,0.12945925667658545
ENSG00000151090.17,THRB,-6.380464129525275,NA,1.7655207823406848e-10,0.016059569419479468,0.14686366468928527,2.48578956171086e-12,NA,15,17,17,3.031341679273083e-17,0.13304690972306246
ENSG00000118564.14,FBXL5,-6.284421648776687,NA,3.2907644626797167e-10,0.0012965590886771063,0.05049454636949982,7.051638244187503e-05,NA,4,4,4,2.3697096386265305e-14,0.03145315913221383
ENSG00000135913.10,USP37,-6.235159613015832,NA,4.5131768222289105e-10,0.011710295097226302,0.02815563179829895,0.003340086050039995,NA,55,59,59,6.19128927372378e-17,0.11100461967112728
ENSG00000248746.5,ACTN3,-6.085464528382806,NA,1.1615403955265833e-09,0.05612936144703404,0.11978136152209813,2.113844739458404e-10,NA,26,27,27,4.474151778736811e-16,0.2651925119898997
ENSG00000254221.2,PCDHGB1,-6.016736862171688,NA,1.7796802014036352e-09,0.003822265031101132,0.016386994812218253,0.02558171511397469,NA,12,12,12,8.547447341858226e-13,0.1555883429883584
ENSG00000133028.10,SCO1,-5.972808695757395,NA,2.332033070099398e-09,0.002327119939496158,0.0916419594196472,5.402144681750443e-08,NA,17,17,17,7.328461164519503e-11,0.019765187933218797
ENSG00000170222.11,ADPRM,-5.927087586835528,NA,3.083545280457304e-09,0.009628538798406049,0.0642222323077795,5.3052876108145725e-06,NA,37,38,38,2.24609662106754e-14,0.041330134341053766
ENSG00000101017.13,CD40,-5.918993453815019,NA,3.2391785647479913e-09,0.00617767107944279,0.042608984572336514,0.00023631482006784726,NA,19,19,19,7.161887689027182e-20,0.0340461287423666
ENSG00000254999.3,BRK1,5.829376112657526,NA,5.5634982125783225e-09,0.0009430305915380881,0.027609975690415327,0.0035666627511052687,NA,11,11,11,2.4983274268122307e-09,0.01168740757466517
