gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000156599.10,ZDHHC5,-13.99818737911966,NA,1.5989706952620163e-44,0.0022855482847703836,0.07550879973478336,5.916102057810596e-07,NA,34,34,34,6.623095019950485e-57,0.02346604277147097
ENSG00000137764.19,MAP2K5,-12.858776448480189,NA,7.678242760750392e-38,0.010227698820622442,0.1513086765953068,2.443363738594786e-13,NA,13,13,13,1.0131633607810182e-49,0.05137842653862508
ENSG00000139428.11,MMAB,-12.333569554086527,NA,5.974043219521487e-35,0.009754576903088202,0.1040708430030812,2.622390722084475e-09,NA,17,17,17,3.037936520009534e-42,0.04515181723627413
ENSG00000156603.15,MED19,-12.057911684282761,NA,1.7619394190481147e-33,0.01125916240163068,0.07406302524922212,7.537729358722689e-07,NA,28,28,28,7.103303355455983e-84,0.03975655521021781
ENSG00000188779.10,SKOR1,-10.200978246668335,NA,1.962853805840514e-24,0.020915287026239026,0.08935308237201096,3.8473234942081365e-08,NA,26,27,27,1.0131633607810182e-49,0.04537463888539437
ENSG00000196670.13,ZFP62,-10.068719208085462,NA,7.596080061490015e-24,0.016165320560375174,0.16817975147386388,1.0513935449104815e-14,NA,14,15,15,1.6383214203554685e-28,0.05782986775704399
ENSG00000213390.10,ARHGAP19,9.425313132303845,NA,4.288241171184911e-21,0.0021049828457127074,0.03485602520306034,0.0007920220064660446,NA,7,7,7,9.454662626869546e-25,0.015816136698992556
ENSG00000160685.13,ZBTB7B,8.984001907778161,NA,2.6109322264584846e-19,0.0008614853827697496,0.012337192310225549,0.04690475227714855,NA,12,12,12,4.138140435254944e-24,0.013339014857117776
ENSG00000205078.5,SYCE1L,8.256499001606239,NA,1.5000748291443153e-16,0.045101784695214656,0.23495287879613366,8.144691903146814e-21,NA,10,10,10,1.8653233579517234e-54,0.10463840227315924
ENSG00000238083.7,LRRC37A2,-8.11518251289128,NA,4.850552468286568e-16,0.03152347002616669,0.5444229814532004,8.553096294428997e-63,NA,50,85,85,5.541650969997795e-139,0.12746019329799269
ENSG00000248746.5,ACTN3,-7.708094120025636,NA,1.2771055151225429e-14,0.0024868632032481993,0.013966473678765795,0.035103189795663174,NA,1,1,1,1.2771055151225522e-14,0.07251996165199565
ENSG00000272911.1,RP11-74E22.6,7.63901019091299,NA,2.188979834982176e-14,0.054579037025444414,0.10380203469113496,2.588006779962093e-09,NA,41,47,47,1.6510116128121948e-34,0.1362887016537277
ENSG00000277200.1,RP11-74E22.8,7.569272883134488,NA,3.753190123637236e-14,0.08627029406817571,0.3441666703930733,1.3365252556754988e-32,NA,11,11,11,1.5305198914573014e-36,0.33340979526260833
ENSG00000275409.1,RP11-131L12.4,-7.428593502385823,NA,1.0975848205504113e-13,0.005531903567166065,0.016054962747454497,0.02369185217233339,NA,17,17,17,2.449972748881034e-31,0.03908079303356062
ENSG00000163931.15,TKT,-7.256999405081002,NA,3.9577144542421246e-13,0.0015122449162663582,0.017750380220868542,0.01768325164010716,NA,13,14,14,8.343507071711948e-32,0.0363067036298242
ENSG00000187122.16,SLIT1,-7.236893814627501,NA,4.590772894764625e-13,0.04865468179429554,0.1754119764685269,9.012240889863367e-16,NA,28,29,29,2.8273059355659263e-25,0.05394228935408794
