gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000108379.9,WNT3,-13.800780408278287,NA,2.5210849822302418e-43,0.0003848672291913619,0.06961444759138652,0.04830373652219958,NA,2,8,8,6.586374912016678e-115,0.02213349993932188
ENSG00000272911.1,RP11-74E22.6,11.535396493435085,NA,8.748316249856044e-31,0.0075452077930264014,0.10890959778929796,0.010955078443940244,NA,3,3,3,1.6320338561944085e-34,0.04311666020554012
ENSG00000165879.8,FRAT1,-9.34407054423378,NA,9.270005928203704e-21,0.0057392421149823954,0.10158211465970693,0.015608263140111338,NA,4,4,4,1.5794415037109557e-37,0.08239049017877051
ENSG00000275759.1,RP11-131L12.3,-9.1405473743556,NA,6.213701497840029e-20,0.045524742766393775,0.2907604005278138,1.4938032038341733e-05,NA,13,13,13,7.570577314312737e-21,0.2416659021196921
ENSG00000120088.14,CRHR1,-8.629173090168981,NA,6.179711227974297e-18,0.017653913722389,0.1654724034603015,0.0018468081355768203,NA,14,25,25,4.2126025790738485e-120,0.08344044541107062
ENSG00000109063.14,MYH3,-6.67165825076389,NA,2.5292901540850552e-11,0.010231118419252526,0.13899609422894468,0.003638366823622949,NA,59,59,59,2.24609662106754e-14,0.025826931135018855
ENSG00000101017.13,CD40,-6.482569017772325,NA,9.017381135757908e-11,0.015971641891349662,0.2256903566330271,9.108081935618898e-05,NA,15,15,15,1.1138001747561829e-14,0.11186602062002006
ENSG00000176681.14,LRRC37A,-6.243099332889723,NA,4.289842712818419e-10,0.1567293617399307,0.4294108039902475,2.719344900839494e-09,NA,41,56,56,1.4580607919133822e-21,0.4559562376144219
ENSG00000169230.9,PRELID1,5.6026035092192155,NA,2.1115586138140518e-08,0.027590670933869733,0.3142265333906382,3.544325979324813e-06,NA,9,9,9,2.690784543320802e-16,0.16935979339276494
ENSG00000137309.19,HMGA1,5.493881874100731,NA,3.9319354291454716e-08,0.0017207508933442066,0.07365642632112429,0.04375494122669815,NA,12,83,83,5.9999338734279e-10,0.021358235792687356
ENSG00000139620.12,KANSL2,-5.466126535279961,NA,4.599760439489539e-08,0.0551768032307874,0.33652575526642936,6.891398454845131e-07,NA,16,22,22,7.0080958718293854e-09,0.08667937266527527
ENSG00000177666.16,PNPLA2,5.457727006184949,NA,4.8226837398608964e-08,0.0004108051894750001,0.0914008280411482,0.02476499797091193,NA,2,9,9,3.3675894094159398e-09,0.10658200775832824
ENSG00000161618.9,ALDH16A1,5.202319117755982,NA,1.968168873202529e-07,0.08445296793294696,0.22790456806424436,6.675358115599281e-05,NA,47,51,51,2.318178651151659e-17,0.1851383602243531
ENSG00000185829.17,ARL17A,-5.196806911572024,NA,2.0274075366236426e-07,0.029170467179070056,0.2520752733447996,3.2588757493978743e-05,NA,20,32,32,7.581111023353803e-26,0.16520445969334535
ENSG00000187824.8,TMEM220,-4.900015726396129,NA,9.58289844010593e-07,0.048693493632013696,0.38670135680879664,1.3695981321708447e-08,NA,54,55,55,2.24609662106754e-14,0.07576909911757598
ENSG00000108786.10,HSD17B1,-4.844695978992552,NA,1.268056975725389e-06,0.01520447440300747,0.1997123203911022,0.0005732319471713214,NA,6,6,6,3.516407696963591e-08,0.053497441554114386
ENSG00000070366.13,SMG6,-4.796291025221749,NA,1.6163040809048583e-06,0.012821487494072296,0.07577889489210514,0.023011429201912046,NA,17,20,20,3.8311975969623966e-13,0.13868260507089109
ENSG00000186812.12,ZNF397,4.783096942141628,NA,1.726148236935796e-06,0.0018803244765484587,0.06328673178591622,0.032228158898326746,NA,2,2,2,7.135648541642817e-07,0.08518727083884245
ENSG00000138378.17,STAT4,4.7391076625643285,NA,2.14661433592619e-06,0.005168724374714121,0.15942401879304385,0.00210107250681165,NA,5,5,5,9.513709956369474e-07,0.09188300780533797
ENSG00000165915.13,SLC39A13,-4.736286762222061,NA,2.1766953731916072e-06,0.0054910132217431355,0.15764236010919275,0.0026750496080716712,NA,12,12,12,8.31397049844933e-07,0.0245667570154884
ENSG00000198945.7,L3MBTL3,-4.718725181866474,NA,2.3732716939048327e-06,0.06764826735366261,0.3661143763407206,3.1637500455838017e-07,NA,16,17,17,1.2814779192593433e-14,0.1401824583134446
ENSG00000128944.13,KNSTRN,4.7120886854523505,NA,2.4519062363928127e-06,0.07509666408844143,0.3281974306587889,4.5983701800281067e-07,NA,8,8,8,2.0310414674382666e-06,0.11241879209747324
ENSG00000172995.16,ARPP21,-4.529605944743405,NA,5.909379678153963e-06,0.04957705294075056,0.22564186948888315,0.00015846699806023676,NA,8,8,8,1.2139226032801323e-13,0.07361359393331032
ENSG00000185324.21,CDK10,4.5261485619893,NA,6.006836027715205e-06,0.028634106759159894,0.1763998167728037,0.0012823243874521676,NA,24,25,25,4.4257321891557364e-15,0.12252023753123185
ENSG00000132639.12,SNAP25,4.407680215489011,NA,1.0448365568666114e-05,0.0019112005711533376,0.15297748478641318,0.002199986403507048,NA,5,8,8,4.5737221570194173e-10,0.032179023830887145
ENSG00000197696.9,NMB,4.336012949773843,NA,1.4509039984218555e-05,0.014479205513540382,0.15538066897477382,0.002846339109961841,NA,12,12,12,1.0307021981532258e-10,0.054198899757810726
ENSG00000189184.11,PCDH18,4.253089156765434,NA,2.1084158212586305e-05,0.0047895728046507356,0.11309554198307273,0.01046980274624573,NA,5,5,5,9.164504263881464e-10,0.03483873292102263
