gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000227373.5,RP11-160H22.5,10.675984607488687,NA,1.318522087808344e-26,0.018258701267644374,0.07867353779403953,0.000128712829970383,NA,85,85,85,3.875573492791242e-36,0.07315678868730639
ENSG00000275759.1,RP11-131L12.3,-10.112207577692587,NA,4.8772691089577825e-24,0.03214324552131167,0.16859666466177078,1.3847720465311635e-08,NA,13,13,13,2.449972748881034e-31,0.083395649802582
ENSG00000272911.1,RP11-74E22.6,9.3038527598932,NA,1.3544661994156059e-20,0.05724942721696771,0.08493830044541828,9.808466612273196e-05,NA,21,22,22,1.6320338561944085e-34,0.2335871319187821
ENSG00000275409.1,RP11-131L12.4,-8.90233019249359,NA,5.468630026534665e-19,0.0043174033734231934,0.031064323190535238,0.022099347368433227,NA,8,8,8,5.146596221176917e-28,0.08630696895513061
ENSG00000170209.4,ANKK1,-8.173160649301813,NA,3.0041353303664924e-16,0.017565251835275686,0.12353962178952364,1.5287230124366744e-06,NA,25,25,25,1.6553864285070314e-50,0.05409458242288999
ENSG00000156172.5,C8orf37,7.638926304013566,NA,2.1904062954811252e-14,0.020336139557904222,0.14658137753805608,9.077669884125824e-08,NA,5,5,5,7.110176942387901e-16,0.5643968458858515
ENSG00000115556.13,PLCD4,-7.622572245348039,NA,2.4866985953198115e-14,0.05876908980375627,0.17701645412279074,3.906574105133038e-09,NA,57,57,57,8.318783485885025e-17,0.07823873245094587
ENSG00000198945.7,L3MBTL3,-7.6080291079060105,NA,2.783071709225896e-14,0.08535701582959218,0.3711368732094221,7.181200225440332e-20,NA,25,26,26,1.0529451698637579e-16,0.27208356416742663
ENSG00000142949.16,PTPRF,-7.568130262011692,NA,3.786342225444446e-14,0.005765038372434842,0.0923418029415062,3.5187529179795836e-05,NA,22,22,22,2.9026177245949663e-22,0.04216844312239797
ENSG00000135929.8,CYP27A1,7.399769597977972,NA,1.3642098831949284e-13,0.002333186855560915,0.03924940149500386,0.009901975069766346,NA,47,47,47,7.392626181584575e-15,0.007826760960524828
ENSG00000187824.8,TMEM220,-7.060994221612003,NA,1.6531547047953718e-12,0.06686578063001891,0.4000806887232022,3.9906849423673687e-22,NA,44,44,44,6.320142762240861e-19,0.07111329515356785
ENSG00000185920.15,PTCH1,6.966856442680732,NA,3.241010814665045e-12,0.0028167672098822548,0.02400756237225291,0.03899782262321677,NA,5,5,5,3.815257259016541e-15,0.02488927570295028
ENSG00000125485.17,DDX31,-6.923150477649007,NA,4.417081251103023e-12,0.10317039129267866,0.4566000821664852,1.9268962866094527e-27,NA,17,17,17,1.0259764321043857e-14,0.07857750190252642
ENSG00000156603.15,MED19,-6.598353448185502,NA,4.157491633732031e-11,0.021143596440069502,0.14968736935251106,8.530490933396398e-08,NA,45,46,46,8.791662130935678e-59,0.057991214172599725
ENSG00000238078.1,LINC01352,6.083697437204062,NA,1.1744213663958844e-09,0.026556590532498717,0.0891217751607495,4.484316810857527e-05,NA,11,11,11,5.26457817562236e-13,0.12936207187470178
ENSG00000204084.12,INPP5B,6.043497335980123,NA,1.5080886721419238e-09,0.01010401290574895,0.10650016727654132,7.999883072851758e-06,NA,10,12,12,1.2161332415579046e-14,0.042092546681076565
ENSG00000135913.10,USP37,-6.02766259527955,NA,1.6634786791887782e-09,0.009396989945809023,0.09420646354445322,3.6517360814799015e-05,NA,41,42,42,1.601253867867979e-16,0.02511372067130577
ENSG00000185829.17,ARL17A,-5.86608018869507,NA,4.462180572524187e-09,0.05458359520825562,0.29538625995601475,3.509447584640025e-15,NA,11,26,26,2.50668052335975e-26,0.1831406719631742
ENSG00000206560.11,ANKRD28,5.8539120001088465,NA,4.801427451339108e-09,0.0006723560082337848,0.04316428471243622,0.00715261543850832,NA,14,15,15,3.018902468108388e-16,0.01626527710278398
ENSG00000124915.10,DKFZP434K028,5.788757758849463,NA,7.090887200762964e-09,0.18859339138246778,0.3898573805136277,4.8398278341704226e-21,NA,23,27,27,3.4641673795938577e-12,0.22311147360285244
ENSG00000176681.14,LRRC37A,-5.67422842781173,NA,1.3931513271067127e-08,0.19559176833345487,0.4551330021421896,1.2925120625946856e-26,NA,33,43,43,7.627772354574047e-37,0.4553959823120189
ENSG00000140832.9,MARVELD3,5.503512328579861,NA,3.7229848252033496e-08,0.008949256292805258,0.1152004226703306,4.644335820810562e-06,NA,10,11,11,2.7049946676992947e-12,0.04952903155466255
ENSG00000187122.16,SLIT1,-5.494217152202924,NA,3.924473570243277e-08,0.011672103599009664,0.023551122022346712,0.045651448548385536,NA,23,25,25,9.04472368237692e-26,0.1319759574378831
ENSG00000169230.9,PRELID1,5.465609996283842,NA,4.613176161054139e-08,0.025860213990978407,0.2613107838469209,3.468447631406999e-13,NA,6,6,6,2.690784543320802e-16,0.1298490231625364
ENSG00000139620.12,KANSL2,-5.432562034881587,NA,5.5550632164115467e-08,0.08248751663026971,0.3492724989051678,6.810043017776547e-19,NA,15,18,18,7.0080958718293854e-09,0.047192892355113536
ENSG00000197696.9,NMB,5.380853276848935,NA,7.413360014784089e-08,0.011540518902135113,0.08162641977849465,0.00015594292572255613,NA,15,15,15,1.2256419609542648e-10,0.06360297589704106
ENSG00000171533.11,MAP6,-5.369962728233587,NA,7.87529167379152e-08,0.00940535470605015,0.07957231976565875,0.00018090354563667384,NA,7,7,7,2.564197396271758e-08,0.05494666277639475
ENSG00000227676.3,LINC01068,5.141064685148763,NA,2.731859739797079e-07,0.05113416647507271,0.21731723526355146,9.737596068547832e-11,NA,30,30,30,7.227708087007197e-10,0.09704937771770282
ENSG00000048471.13,SNX29,-5.08580035469283,NA,3.6607898476600935e-07,0.007427502457567366,0.03188021263011965,0.020643284532536374,NA,13,14,14,1.2447778032373712e-22,0.2895102272429713
ENSG00000166788.9,SAAL1,-5.053565414261105,NA,4.3363770083157315e-07,0.0037915098897034634,0.040184999061698604,0.008934056383289429,NA,15,17,17,9.490701093520047e-09,0.0343651978744134
ENSG00000050130.17,JKAMP,4.952932700331105,NA,7.310326331242287e-07,0.013353456397148262,0.096626858888072,3.3623144947509066e-05,NA,48,49,49,3.298536360600882e-15,0.05484472839177764
ENSG00000185324.21,CDK10,4.926372415009966,NA,8.377026671082061e-07,0.01389009119005691,0.20881244210446784,6.315073158303226e-11,NA,11,12,12,4.4257321891557364e-15,0.1347839961678891
ENSG00000124920.13,MYRF,-4.904682119544231,NA,9.357876222346798e-07,0.21691896763142932,0.5622010803687099,1.430834844214088e-36,NA,22,23,23,1.5503588810119418e-07,0.24332418584263285
ENSG00000183735.9,TBK1,-4.898646347991371,NA,9.649915064062164e-07,0.0012106863379171295,0.036438303063670574,0.01248712381150062,NA,14,14,14,1.0195851654143489e-09,0.016360014076187666
ENSG00000144401.14,METTL21A,4.886378689535495,NA,1.0270756152714984e-06,0.024954687910766434,0.08480631478448966,0.0001256895114172029,NA,72,74,74,6.318690471142392e-14,0.14542862501915
ENSG00000149548.14,CCDC15,4.87790225681483,NA,1.0722003013027768e-06,0.03556895526208323,0.06768555301910523,0.00048529489230137986,NA,66,69,69,1.3181727769600038e-10,0.11846602438352152
ENSG00000152359.14,POC5,4.821208989564918,NA,1.4269076794970468e-06,0.004082914484124891,0.05223010456038882,0.002626966641532713,NA,10,10,10,6.32471974591933e-08,0.050831350188201126
ENSG00000165887.11,ANKRD2,4.817269799656577,NA,1.45535842882854e-06,0.022705153472296947,0.024298250536772672,0.03950354165636615,NA,19,20,20,1.5794415037109557e-37,0.14970918369852626
ENSG00000099899.14,TRMT2A,4.719401331044677,NA,2.3653974351666147e-06,0.006268426717279032,0.027317934854992804,0.02988126691688346,NA,37,42,42,1.6121587854582335e-09,0.0679133519407919
ENSG00000100359.20,SGSM3,-4.702403888241479,NA,2.571162594788707e-06,0.0020610168393956066,0.026348284667956325,0.034041282594037284,NA,6,6,6,2.087652404438304e-08,0.0424426146205169
ENSG00000174007.7,CEP19,-4.687146625197644,NA,2.770404875812232e-06,0.06254335554888896,0.1405288198945277,4.979033114519973e-07,NA,59,63,63,4.230424842409664e-26,0.15212313449138987
ENSG00000090487.10,SPG21,-4.6384924206406986,NA,3.5095980362972932e-06,0.0341849567368117,0.204269228608752,2.575640423431801e-10,NA,12,12,12,1.849752776672828e-08,0.05539457575481429
