gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000156599.10,ZDHHC5,15.761770897366482,NA,5.701275949144787e-56,0.001184289579139874,0.050896971694676406,1.81316337542919e-06,NA,9,9,9,8.791662130935678e-59,0.01829702306502164
ENSG00000137764.19,MAP2K5,-13.164406069101444,NA,1.4063921928428217e-39,0.019971255069762623,0.19102943660088093,5.018174805105453e-22,NA,42,42,42,1.0131633607810182e-49,0.047719973187853364
ENSG00000272911.1,RP11-74E22.6,12.164351922997739,NA,4.812495382016195e-34,0.05781085874455785,0.15538189009601194,4.8906473942851e-18,NA,23,28,28,1.6320338561944085e-34,0.2001040934066039
ENSG00000188779.10,SKOR1,-11.30879599041141,NA,1.1870724079235928e-29,0.01616340142855343,0.134968504861087,1.936729786035278e-15,NA,23,26,26,7.269138542037174e-41,0.09999911499973826
ENSG00000156603.15,MED19,-10.866003290723324,NA,1.6737324991751852e-27,0.015495872838185031,0.1421223633883529,7.756228502186236e-17,NA,46,47,47,7.103303355455983e-84,0.1501079173463152
ENSG00000272886.5,DCP1A,-10.795675806702405,NA,3.607982955233413e-27,0.0015932418435044711,0.022338775510873717,0.0019271473175999192,NA,7,7,7,8.343507071711948e-32,0.02022671423672233
ENSG00000205078.5,SYCE1L,10.585483819138789,NA,3.479783515533126e-26,0.17062108273274215,0.4345391526467838,1.712581154645915e-60,NA,35,35,35,1.8653233579517234e-54,0.2667643015199186
ENSG00000273559.4,CWC25,10.555848470087366,NA,4.773075901837585e-26,0.00035300034059645925,0.057364394089210013,5.388262925161593e-07,NA,9,22,22,2.7797058579190794e-38,0.029258173719083787
ENSG00000139218.17,SCAF11,10.309924789179936,NA,6.355103588431003e-25,0.005138450127870141,0.06399738892345999,1.0021903387748935e-07,NA,17,17,17,6.434946605706212e-36,0.07323895552441084
ENSG00000120071.13,KANSL1,-10.150276510351418,NA,3.3042588181768497e-24,0.07818832297228244,0.3110114437191789,4.293979833064418e-38,NA,32,50,50,3.6384857348468097e-127,0.29006280946519186
ENSG00000169925.16,BRD3,-9.788117797773427,NA,1.2663112797824264e-22,0.0006450971785784084,0.02738641283551561,0.0005668241243060178,NA,5,5,5,1.8761907603791592e-22,0.039063620477889575
ENSG00000275759.1,RP11-131L12.3,-9.731728972448154,NA,2.2080747871556787e-22,0.06958807849601942,0.2604832295264201,4.557394448158017e-31,NA,37,37,37,2.449972748881034e-31,0.05494733471420002
ENSG00000213390.10,ARHGAP19,9.34149613194307,NA,9.498232859951923e-21,0.006568026479702764,0.054948748374121816,8.782216813239887e-07,NA,17,17,17,9.454662626869546e-25,0.07860467863936947
ENSG00000155229.20,MMS19,-8.670225746800797,NA,4.312644971799682e-18,0.003591316871351652,0.05513015007829916,8.629619164587059e-07,NA,16,16,16,4.124439440399699e-27,0.03665480967913931
ENSG00000225190.10,PLEKHM1,-8.484062194113001,NA,2.1746542860684218e-17,0.00584655580975548,0.08560016607691638,3.674124333980744e-10,NA,27,41,41,7.627772354574047e-37,0.042718184597683714
ENSG00000238083.7,LRRC37A2,-8.413708716145988,NA,3.972464631429807e-17,0.016481046258467566,0.5702780129094969,2.0896194892658705e-90,NA,45,85,85,5.541650969997795e-139,0.08419108564063382
ENSG00000170209.4,ANKK1,-8.36846374176415,NA,5.837425983743668e-17,0.02663247842322021,0.1822921434009702,3.4357083339081825e-21,NA,48,51,51,1.6553864285070314e-50,0.06938614132916221
ENSG00000226409.2,RP11-735G4.1,8.225138664245605,NA,1.9496516811797933e-16,0.0012298619043970642,0.014969985115745084,0.011023376365180144,NA,1,1,1,1.9496516811797933e-16,0.04951730774266922
