gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000272911.1,RP11-74E22.6,12.337713164952696,NA,5.674476019317018e-35,0.03141680300302809,0.13853344329338407,2.709037990969027e-05,NA,10,10,10,1.1571781287187759e-38,0.06860945219446116
ENSG00000272555.1,RP11-459I19.1,-8.519691425032569,NA,1.5997898530131977e-17,0.015419687606681446,0.06308446927830448,0.0073589715261827785,NA,18,19,19,2.721513668672872e-19,0.09736368131556668
ENSG00000137764.19,MAP2K5,-6.593031662911414,NA,4.3093462372357206e-11,0.01376527420456657,0.09601844721869668,0.001260079159711901,NA,21,22,22,8.641896146899121e-46,0.07921414242808908
ENSG00000189079.15,ARID2,6.381538519091151,NA,1.7531761024555244e-10,0.026458479117574377,0.09457514876766034,0.0014729907165074536,NA,44,45,45,9.366918561000396e-25,0.1512967570043378
ENSG00000227403.1,LINC01806,-6.3396955741981245,NA,2.3021960283357828e-10,0.2566087233974697,0.6052577831410985,6.624584974738261e-25,NA,36,38,38,1.236253267299865e-13,0.15825583061610962
ENSG00000176681.14,LRRC37A,-6.298297770365574,NA,3.009320016819372e-10,0.10837415529939556,0.3491142280514688,1.2369211473119944e-12,NA,10,20,20,1.4580607919133822e-21,0.2287912415201442
ENSG00000134802.17,SLC43A3,-6.1524867002303845,NA,7.627737012771274e-10,0.005733742022945402,0.0592803030451898,0.011414445372078294,NA,34,36,36,1.0231530072260733e-60,0.08245189148005426
ENSG00000187824.8,TMEM220,-6.071408440846929,NA,1.2679324524231077e-09,0.01404279806019713,0.14043187869628335,7.90062043731131e-05,NA,8,8,8,2.2765529934506447e-10,0.07781657445155801
ENSG00000019102.11,VSIG2,-6.031201623860358,NA,1.6274498499725367e-09,0.04696530492034641,0.0857301496679173,0.0022451649366082445,NA,24,26,26,3.947795238138095e-27,0.1725113245383294
ENSG00000125485.17,DDX31,-5.989988466240062,NA,2.098559195649585e-09,0.04011522172581811,0.2438615210382936,2.3300197722181168e-08,NA,12,12,12,1.0259764321043857e-14,0.12526587223899546
ENSG00000198945.7,L3MBTL3,-5.9596374459934385,NA,2.527981611837824e-09,0.06288428421352081,0.36862499385113257,1.5861557639085815e-12,NA,21,21,21,1.2814779192593433e-14,0.17762874677257387
ENSG00000185324.21,CDK10,5.882213716129489,NA,4.048151504873358e-09,0.032391370911939825,0.25835934221085266,1.0655459493812296e-08,NA,14,15,15,4.4257321891557364e-15,0.0653721084926213
ENSG00000204084.12,INPP5B,5.709165305750505,NA,1.1353158189539997e-08,0.1877418784420231,0.3689607211850109,2.928016157006689e-13,NA,52,61,61,1.2161332415579046e-14,0.20755326954984096
ENSG00000185028.3,LRRC14B,-5.68750931778189,NA,1.2890557186260762e-08,0.01401338699472277,0.07233755808423017,0.004480005822785703,NA,8,8,8,2.1853392527731785e-14,0.17060106454448
ENSG00000090487.10,SPG21,-5.3721866487008025,NA,7.778752865085937e-08,0.10000016589624833,0.4290448409948352,9.709052611405524e-16,NA,9,9,9,8.896271535802716e-10,0.12366097566823532
ENSG00000197044.10,ZNF441,-5.36454530198238,NA,8.115339074158432e-08,0.0031370425412158573,0.041158887660476776,0.04205518059261658,NA,15,15,15,1.0418400455637524e-09,0.06443116995139181
