gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000120088.14,CRHR1,-19.70685437172564,NA,1.8831519778341e-86,0.0010959456760046634,0.04472119818681553,2.7710372023001763e-07,NA,9,20,20,3.323412047845522e-127,0.034431843306774734
ENSG00000114480.12,GBE1,13.542753277290776,NA,8.744874999497196e-42,0.001309052135017576,0.024599027058501984,0.00015465592575312644,NA,6,6,6,1.5643699780943843e-51,0.03342053469142992
ENSG00000156599.10,ZDHHC5,-12.909481376564479,NA,3.979723998074579e-38,0.002968683788839788,0.06629605714936743,2.1770206594336928e-10,NA,25,26,26,6.623095019950485e-57,0.01737967936992652
ENSG00000120071.13,KANSL1,-12.801284892231177,NA,1.612607141399241e-37,0.028317314033161504,0.2830894283455178,1.6408917036741816e-45,NA,34,54,54,1.560088201730421e-115,0.13610212165121535
ENSG00000225190.10,PLEKHM1,-12.209111598265613,NA,2.779070815411109e-34,0.003670329063123324,0.1893441733517141,3.658265242004382e-29,NA,6,26,26,7.627772354574047e-37,0.033939266297409995
ENSG00000108379.9,WNT3,-11.154035893726792,NA,6.843054975388562e-29,0.00022026035844988114,0.04013729774657487,9.993369275750228e-07,NA,8,12,12,2.50668052335975e-26,0.033400023763697904
ENSG00000185829.17,ARL17A,-9.422726979809097,NA,4.3952182195920674e-21,0.04489338352911318,0.2994286556697155,4.3805660537235074e-49,NA,36,61,61,4.2126025790738485e-120,0.2055247231679318
ENSG00000181163.13,NPM1,8.88929137186436,NA,6.149986221730277e-19,0.0008096992947199369,0.02143356384817569,0.00042095082764087306,NA,16,16,16,5.245094118807413e-22,0.009273867440317746
ENSG00000146701.11,MDH2,-8.815004304536513,NA,1.1968046342101316e-18,0.001421524922291887,0.0632150675636151,8.220025518970054e-10,NA,9,9,9,4.3435133792229444e-20,0.015025829248188868
ENSG00000153310.19,FAM49B,-8.649458259106908,NA,5.1744478209125805e-18,0.0003781012613459597,0.01658188663004341,0.0018416827573340207,NA,8,8,8,5.576135423585904e-23,0.024002987183884297
ENSG00000162373.12,BEND5,8.574124574403822,NA,9.984331210975243e-18,0.0072799208754045315,0.05856959568591101,2.761318624912108e-09,NA,13,16,16,6.234852558456547e-23,0.10017365509537972
ENSG00000196670.13,ZFP62,-8.532383032086036,NA,1.4336347260026513e-17,0.050016020864869254,0.235198311348225,1.2226100702789895e-36,NA,33,35,35,1.6383214203554685e-28,0.13956789021674984
ENSG00000275409.1,RP11-131L12.4,-8.38406472416183,NA,5.1130655200029836e-17,0.009910926993088962,0.057244132108849224,5.459911117262272e-09,NA,8,8,8,2.7768531208711787e-22,0.058952929691732735
ENSG00000051128.18,HOMER3,8.350135517887212,NA,6.818468803185759e-17,5.54240003120775e-06,0.665916442736663,7.214268703678297e-165,NA,4,5,5,5.991988838928951e-17,0.0043573384174446506
ENSG00000187122.16,SLIT1,-8.053307292109016,NA,8.058623845004165e-16,0.018138378841688528,0.09270132016556633,4.193498275884394e-14,NA,34,34,34,6.30074715539477e-23,0.05538468192466448
ENSG00000104872.10,PIH1D1,7.9743293308097325,NA,1.5321050007828339e-15,0.0031882126025491305,0.06292539483236162,9.222696434796481e-10,NA,11,11,11,1.4563494917881992e-16,0.03179472884786457
ENSG00000245060.6,LINC00847,-7.937834775598006,NA,2.0574115035500695e-15,0.004977862209958156,0.06568301496019734,3.810465355336e-10,NA,5,7,7,1.81392319804687e-26,0.20222948793809994
ENSG00000205678.7,TECRL,-7.880118992485103,NA,3.2706945692091183e-15,0.003434595068254821,0.045967367081583985,1.86180446766492e-07,NA,26,26,26,1.1336876825689055e-13,0.05945916237946192
ENSG00000135913.10,USP37,-7.555664600464105,NA,4.16726440112418e-14,0.006120634789276547,0.06574338817791588,3.4127592818529534e-10,NA,23,24,24,1.6490897254567346e-16,0.03302710453614862
ENSG00000248746.5,ACTN3,-7.381904242334077,NA,1.5604141103483361e-13,0.15164894303833396,0.5948512379774132,8.91713892275261e-132,NA,12,13,13,4.474151778736811e-16,0.1890227258230332
ENSG00000077063.10,CTTNBP2,7.32824096240601,NA,2.3319316471469894e-13,0.0026447446399345616,0.010985581841905295,0.01197534960254771,NA,18,18,18,8.96406487331444e-25,0.031021631535427037
ENSG00000169609.13,C15orf40,7.142288677514551,NA,9.178956939860654e-13,0.05454543311691649,0.19984024603403747,8.767728113422967e-31,NA,20,20,20,3.2900858096033025e-19,0.12065945448420155
ENSG00000213390.10,ARHGAP19,7.138192746215629,NA,9.456596908826308e-13,0.014014152844287387,0.053614332723826014,1.7428877249801518e-08,NA,56,59,59,2.8273059355659263e-25,0.13517233797149228
ENSG00000149548.14,CCDC15,6.951524594349462,NA,3.613593946222309e-12,0.022885400494699976,0.10541650104200093,8.492943373663589e-16,NA,45,47,47,6.016242643377746e-12,0.09321401354554794
ENSG00000170209.4,ANKK1,-6.866859331831269,NA,6.563072732828404e-12,0.07776583735085679,0.22052341525589145,1.0326093113502171e-34,NA,41,45,45,1.6553864285070314e-50,0.2100126517017888
ENSG00000161618.9,ALDH16A1,6.777006389133476,NA,1.2269146392056163e-11,0.08786803632789641,0.3602373098388598,9.22983358716154e-62,NA,48,49,49,2.318178651151659e-17,0.09243599950239847
ENSG00000188779.10,SKOR1,-6.744638192202269,NA,1.5340881806460746e-11,0.00769674417050158,0.04620598986266011,1.8903076171165982e-07,NA,22,23,23,2.7790223756218233e-41,0.03913734482836093
ENSG00000163354.14,DCST2,-6.64875372774264,NA,2.955850876676665e-11,0.0044029571011005315,0.031247707008509627,1.914554202104749e-05,NA,7,7,7,1.5864608393244265e-17,0.07804748422572144
ENSG00000170222.11,ADPRM,-6.636819572715175,NA,3.205235855541892e-11,0.09792771153404577,0.4274419705376888,4.858905398278244e-78,NA,51,51,51,2.809935244515779e-13,0.044829476306866664
ENSG00000187824.8,TMEM220,6.57878792281404,NA,4.7429870063763095e-11,0.03157538139477859,0.14440641256132594,1.2369809140457635e-21,NA,60,61,61,2.24609662106754e-14,0.0715960055428456
ENSG00000277200.1,RP11-74E22.8,6.555095175670055,NA,5.560640004898729e-11,0.037447265305311686,0.12393163259306295,1.2468395925685254e-18,NA,6,6,6,1.8093411284739782e-22,0.26526879349348803
ENSG00000174963.17,ZIC4,6.528752094433901,NA,6.631991415549372e-11,0.0037454297303516062,0.02178804061905662,0.00037966936810456605,NA,17,17,17,2.0697806518908187e-20,0.09703674326150924
ENSG00000144580.13,CNOT9,-6.469776355781097,NA,9.814807272160131e-11,0.002151666706230193,0.013540786017193643,0.005249534822889961,NA,17,20,20,8.44802301035378e-16,0.02627054606325824
ENSG00000152465.17,NMT2,-6.427139963082677,NA,1.3002709148058702e-10,0.02757777551106116,0.13824856922820186,7.291965437565307e-21,NA,41,44,44,1.6685255230943779e-21,0.14032075708781286
ENSG00000120333.4,MRPS14,6.362005921797689,NA,1.9913576293313906e-10,0.009493791289645101,0.0756665803115429,1.0936365709916936e-11,NA,32,32,32,8.049353364957922e-15,0.02675253383187796
ENSG00000138757.14,G3BP2,-6.296935138784895,NA,3.035882342382548e-10,0.0032647695273738076,0.0686897273308178,1.5210010513122225e-10,NA,14,14,14,2.2409894442736057e-13,0.031861482226487416
ENSG00000170571.11,EMB,-6.265452553910893,NA,3.717441810443438e-10,0.0014260064928662895,0.03478868855181765,6.691211023913316e-06,NA,5,5,5,8.500169736375801e-16,0.033521480432806804
ENSG00000138768.14,USO1,-6.155040307290062,NA,7.505840325850116e-10,0.00036030485086965814,0.014790665548780162,0.003450918323523857,NA,12,14,14,2.2409894442736057e-13,0.0066081348356784395
ENSG00000135312.6,HTR1B,-6.152848838815246,NA,7.610333516375589e-10,0.0009853574051485099,0.0107574928674786,0.012855971691239148,NA,6,6,6,1.494335314304273e-10,0.012605297761508313
ENSG00000102189.16,EEA1,-6.130565025626075,NA,8.756751693573359e-10,0.003144716705018542,0.05825183139501745,3.6969967826456128e-09,NA,11,11,11,1.1412413301684357e-24,0.03334484650867112
ENSG00000129933.20,MAU2,6.122869439362875,NA,9.190500101688391e-10,0.016241055314907268,0.1903637663367243,3.1094503449741684e-29,NA,50,54,54,9.199122140606511e-18,0.07818989404975632
ENSG00000156603.15,MED19,-6.096800111490786,NA,1.0821269239910027e-09,0.04002016485489214,0.18302550880246715,1.0803489700919723e-27,NA,62,63,63,7.103303355455983e-84,0.12810683546464616
ENSG00000275759.1,RP11-131L12.3,-6.0295694465849685,NA,1.6439706209019835e-09,0.1295579618640498,0.4523209829343277,2.7158373086148857e-86,NA,52,52,52,6.835724601095445e-31,0.07247056513757576
ENSG00000100024.14,UPB1,5.977321734948073,NA,2.268359308351653e-09,0.02441699762437591,0.07392310348393996,2.8196015408600094e-11,NA,43,49,49,2.2616781311535103e-17,0.2144118138032109
ENSG00000050130.17,JKAMP,5.972241211051203,NA,2.3401618131930403e-09,0.028459498161148008,0.20074329350446088,6.322538425593056e-31,NA,46,46,46,1.4572785391272353e-12,0.03624511031200988
ENSG00000139428.11,MMAB,-5.878226826904364,NA,4.1468443828517765e-09,0.009396802838729975,0.1199389522170322,4.0173558083740926e-18,NA,7,7,7,1.5264064518734205e-27,0.04968810193461832
