gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000068796.16,KIF2A,-14.048503523893054,NA,7.867907037899849e-45,0.005279352371916504,0.060694343153283564,2.39840121230208e-07,NA,18,18,18,9.386528770675798e-58,0.0682515078817214
ENSG00000137764.19,MAP2K5,-13.955160562048269,NA,2.9264194240332214e-44,0.035217449674515976,0.2491298168755663,1.329518726857266e-29,NA,14,14,14,1.0131633607810182e-49,0.059122269508953725
ENSG00000213593.9,TMX2,-12.781345481202152,NA,2.084322432963517e-37,0.00018831041891302863,0.010537364561353629,0.03345503550321658,NA,8,8,8,1.028549784826258e-56,0.01145128349809979
ENSG00000232300.1,FAM215B,-12.506113081261361,NA,6.912473920691925e-36,0.027538728275379547,0.1341257018018128,2.318439113095472e-15,NA,15,21,21,3.6384857348468097e-127,0.08677068638695842
ENSG00000188779.10,SKOR1,-11.976571526445397,NA,4.7141916983889326e-33,0.00959940470538163,0.10184887346145856,1.0594383436296568e-11,NA,17,17,17,8.641896146899121e-46,0.04576263441792355
ENSG00000156599.10,ZDHHC5,11.48232331141008,NA,1.6187145559285056e-30,0.0028078159774296424,0.06110416206245459,2.0468169509557714e-07,NA,46,47,47,1.0231530072260733e-60,0.018215150076871342
ENSG00000272886.5,DCP1A,-10.020255842882388,NA,1.2418107101514056e-23,0.0015004748685568691,0.043866774288501616,1.0408019587528616e-05,NA,6,6,6,8.343507071711948e-32,0.0388598687111103
ENSG00000245060.6,LINC00847,-9.932484478726666,NA,3.0066895143142603e-23,0.004686713430843554,0.08296373074479083,1.0488524536904755e-09,NA,3,4,4,1.81392319804687e-26,0.08348408635728033
ENSG00000238083.7,LRRC37A2,-9.820916440824485,NA,9.150782348021487e-23,0.04364589486607871,0.6291019373350797,1.5536442976513248e-108,NA,43,96,96,5.541650969997795e-139,0.1553977530150073
ENSG00000176681.14,LRRC37A,-9.759471232422277,NA,1.6802899923524865e-22,0.09699191514533134,0.4437760981480329,1.4332719130479139e-61,NA,57,100,100,5.541650969997795e-139,0.3158626080287295
ENSG00000272911.1,RP11-74E22.6,9.319626973385667,NA,1.1675003794474932e-20,0.09270753935149587,0.1651747240353127,6.801783708592965e-19,NA,30,40,40,1.6510116128121948e-34,0.22704798699271675
ENSG00000275759.1,RP11-131L12.3,-8.662941441908766,NA,4.5974459410382516e-18,0.09945223584817847,0.2659939749396423,6.687309837922247e-32,NA,63,69,69,2.449972748881034e-31,0.04571728142655507
ENSG00000196670.13,ZFP62,-8.651788619639134,NA,5.0698484985430186e-18,0.03230097480503546,0.2623617437300824,5.628027476398363e-32,NA,46,48,48,1.6383214203554685e-28,0.1209354106450967
ENSG00000263874.2,LINC00672,8.518643075412477,NA,1.6143351880262164e-17,0.010512386882572253,0.08986294264618598,1.955380542127721e-10,NA,16,23,23,2.224629112924185e-38,0.1022832230132509
ENSG00000104228.12,TRIM35,8.42279284487662,NA,3.67614131628378e-17,0.000676885959144696,0.017639554120688482,0.006034534733438081,NA,5,6,6,3.751828598552094e-18,0.03251580700766842
ENSG00000138031.14,ADCY3,-8.412536097855817,NA,4.012392878178774e-17,0.015235702154162955,0.17793147149564756,1.8975629056948223e-20,NA,29,31,31,5.662964671658465e-28,0.05897960533001406
ENSG00000119899.12,SLC17A5,8.388269784949054,NA,4.933490251160456e-17,0.0048789289366595,0.047235458927432035,3.940154178163923e-06,NA,23,24,24,5.798411785764522e-20,0.03439111094518568
ENSG00000152465.17,NMT2,-8.061206074794443,NA,7.554535106686741e-16,0.01936278930818209,0.1487316827635804,1.9666875767070166e-17,NA,8,9,9,1.6685255230943779e-21,0.14206093174281798
ENSG00000102189.16,EEA1,-7.773322628979966,NA,7.64536829184649e-15,0.003357363177834938,0.06558362326595159,6.283799432422607e-08,NA,54,54,54,1.3184469001960613e-32,0.04131346185848562
ENSG00000149548.14,CCDC15,7.699032148818647,NA,1.3710067710670823e-14,0.029302621917506072,0.22063466541449006,4.2777587148684176e-26,NA,36,37,37,1.3181727769600038e-10,0.1492388135697247
