gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000073969.18,NSF,20.48698902424194,NA,2.8125853712082087e-93,0.0024627961745642734,0.12409758391204105,3.613604221211568e-05,NA,21,41,41,5.541650969997795e-139,0.039601298972196525
ENSG00000137764.19,MAP2K5,-13.294241790526128,NA,2.4999450211659816e-40,0.013918628101033045,0.2369509138981792,1.6125520348597458e-09,NA,12,12,12,1.0131633607810182e-49,0.04429634189693775
ENSG00000275409.1,RP11-131L12.4,-9.500046565343556,NA,2.0979646575911526e-21,0.02419456000487334,0.10560581512084764,3.9351752924801285e-05,NA,38,40,40,6.835724601095445e-31,0.09072102351154616
ENSG00000176681.14,LRRC37A,-9.402702879295225,NA,5.317908897397158e-21,0.013235853457915947,0.20089060094150615,5.5826918213282083e-08,NA,8,23,23,4.2126025790738485e-120,0.09819242998794156
ENSG00000275759.1,RP11-131L12.3,-8.89757190654779,NA,5.708170491974934e-19,0.04061187042228517,0.2655731113633479,1.5881877760914396e-10,NA,44,44,44,2.449972748881034e-31,0.07358663753328906
ENSG00000188779.10,SKOR1,-8.751205043050998,NA,2.1108643775642936e-18,0.05241598245668207,0.25867240188812424,2.403350102717285e-10,NA,65,67,67,1.0131633607810182e-49,0.10653088127050916
ENSG00000148950.9,IMMP1L,8.013127555569028,NA,1.1182755050695039e-15,0.007234816417012097,0.15878444579600773,1.5307611028381981e-06,NA,22,23,23,7.845918035681665e-18,0.06207956612619722
ENSG00000273841.4,TAF9,7.732325819109716,NA,1.0559925134174979e-14,0.0019094844200802147,0.10753949646036026,0.0001366496398033849,NA,9,10,10,5.4250596811823475e-24,0.012022365329621549
ENSG00000187122.16,SLIT1,-7.671740499951765,NA,1.6967796819475343e-14,0.11267167040896336,0.30403270126630066,2.2671874932917134e-12,NA,33,35,35,2.8273059355659263e-25,0.17252333608079146
ENSG00000077063.10,CTTNBP2,7.460648996684777,NA,8.609733203786648e-14,0.023833543248699532,0.22075703006982392,6.749600552946025e-09,NA,16,16,16,5.41636894800919e-19,0.029547803380746095
ENSG00000125485.17,DDX31,-7.23497800646257,NA,4.656045864552309e-13,0.11626500005888762,0.5223738368433055,1.4670117748592519e-24,NA,16,17,17,1.0259764321043857e-14,0.0904112193514156
ENSG00000103599.19,IQCH,-6.946138035866032,NA,3.754214518645887e-12,0.021603430504357743,0.08287029694068483,0.0009982343439359938,NA,29,31,31,1.7814122815033282e-49,0.08424999092235999
