gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000272911.1,RP11-74E22.6,9.981404768018509,NA,1.8384527089134604e-23,0.04371301455751175,0.1547271992753673,1.3694417275829795e-10,NA,13,13,13,1.1571781287187759e-38,0.12302681043683801
ENSG00000198933.9,TBKBP1,9.892797584624924,NA,4.473484431083368e-23,0.0037622909057433915,0.039352905114717986,0.002299734581955678,NA,16,17,17,3.6384857348468097e-127,0.04204262800143775
ENSG00000143603.18,KCNN3,-9.014975858118081,NA,1.969138300563547e-19,0.023288218984948237,0.10095245464158832,3.7751159363877603e-07,NA,14,15,15,9.933095757240995e-30,0.07156252150791532
ENSG00000149150.8,SLC43A1,8.345151655406939,NA,7.112255732698619e-17,0.004041499158972107,0.03823897373693631,0.002484125227882377,NA,28,28,28,1.0231530072260733e-60,0.039996927227580005
ENSG00000136720.6,HS6ST1,8.152764974537284,NA,3.556964692147779e-16,0.0052467824442296316,0.0469171090918988,0.000695130485491224,NA,8,8,8,2.3845879241685476e-23,0.03908353489332806
ENSG00000273559.4,CWC25,8.003298483144313,NA,1.2112984187707073e-15,0.0008071557597965184,0.09933945733969493,3.771509660258028e-07,NA,3,16,16,1.110905014999451e-09,0.0264103751993284
ENSG00000114480.12,GBE1,-7.8611126939877485,NA,3.807360475124675e-15,0.0020613884593239542,0.01861136976454737,0.03491897036607074,NA,11,11,11,8.259611041295858e-48,0.03756339653921198
ENSG00000188779.10,SKOR1,-7.833439836476661,NA,4.747000505121193e-15,0.010842060221499398,0.09753168772302824,9.98114152166321e-07,NA,13,13,13,2.7790223756218233e-41,0.05113120679692525
ENSG00000275759.1,RP11-131L12.3,-7.7398316375272795,NA,9.954854841208137e-15,0.09227913487203876,0.25478843360666953,2.144640062834152e-17,NA,70,71,71,2.449972748881034e-31,0.07787534896190032
ENSG00000135913.10,USP37,-7.689795367907636,NA,1.473705397958353e-14,0.01580549387569468,0.09177013992486396,1.970512252963143e-06,NA,37,37,37,2.721513668672872e-19,0.02844538437824262
ENSG00000277200.1,RP11-74E22.8,7.469977601677969,NA,8.020847242965144e-14,0.009305269714168219,0.05722028285290338,0.00013370009300234343,NA,16,18,18,1.6320338561944085e-34,0.06937959754897638
ENSG00000152465.17,NMT2,-7.410641773618087,NA,1.2568967321832403e-13,0.016124241078917273,0.15557435798029054,1.615123146238773e-10,NA,10,10,10,1.6685255230943779e-21,0.16151106719222827
ENSG00000187824.8,TMEM220,-7.407614270053413,NA,1.285916718938386e-13,0.14008608421518728,0.42654839400893496,2.7468428145715754e-32,NA,43,43,43,6.320142762240861e-19,0.03564116045744504
ENSG00000068796.16,KIF2A,7.354107490796907,NA,1.9220701830034678e-13,0.0045660106370509716,0.04417216375558545,0.0011047180645296906,NA,21,21,21,3.6551914526235044e-28,0.06593445500394922
ENSG00000149548.14,CCDC15,7.3149758478657585,NA,2.574276887561211e-13,0.04513623162342457,0.25527980237806,2.3141814909214434e-17,NA,37,37,37,1.3181727769600038e-10,0.20759595284649465
ENSG00000238083.7,LRRC37A2,-7.220360554366344,NA,5.184991436653507e-13,0.027249917693591995,0.4487081538367139,3.9454402698848397e-35,NA,23,58,58,5.541650969997795e-139,0.12099692389251199
ENSG00000275409.1,RP11-131L12.4,-7.162900496892553,NA,7.898768446952427e-13,0.020516875097757254,0.08187679645532195,7.534984724922079e-06,NA,17,17,17,2.7768531208711787e-22,0.0834074232963584
ENSG00000198945.7,L3MBTL3,-6.990192422770168,NA,2.745094806511892e-12,0.1693783695794667,0.43875414370833976,1.240016971655014e-33,NA,7,7,7,1.2814779192593433e-14,0.3579848862579029
ENSG00000165895.17,ARHGAP42,6.904040595421615,NA,5.054384566848967e-12,0.02159425146825715,0.17641974887661618,1.2291657519239375e-11,NA,19,19,19,2.198953531873469e-12,0.11745804919274387
ENSG00000125485.17,DDX31,-6.877395763731766,NA,6.095659365816215e-12,0.06349483240821831,0.33967405395533834,2.5037365191506316e-24,NA,19,21,21,1.0259764321043857e-14,0.06913675973973532
ENSG00000048405.9,ZNF800,-6.739159570443429,NA,1.5930537419574195e-11,0.0015791306757600761,0.016995451220791505,0.04399473429513048,NA,34,35,35,3.960013688762933e-13,0.0025808495813528327
ENSG00000205078.5,SYCE1L,6.301104953422772,NA,2.9553118558100274e-10,0.008844309084780778,0.03582240692196939,0.0028455744694069218,NA,11,12,12,3.3062984733364195e-12,0.0582969859971237
ENSG00000178927.17,C17orf62,-6.215983695586656,NA,5.100410004083078e-10,0.007243879066017132,0.1228957424479512,2.7471775255282754e-08,NA,16,17,17,2.8612296109997918e-11,0.08792118435863039
ENSG00000204084.12,INPP5B,6.2078454002574865,NA,5.371595444353773e-10,0.11233400864067902,0.3741616024036147,1.8049261676103607e-28,NA,9,9,9,1.2161332415579046e-14,0.16421093402001158
ENSG00000119899.12,SLC17A5,6.103822015501474,NA,1.0356160676474974e-09,0.044100676541961883,0.290863941342492,3.4208545582184686e-20,NA,67,73,73,5.798411785764522e-20,0.15923818962269098
ENSG00000119787.13,ATL2,-5.942635376173129,NA,2.8047585128613963e-09,0.006934438977210702,0.06315602366848322,9.140213659351004e-05,NA,19,20,20,6.236278019000827e-11,0.02878033793321635
ENSG00000168779.19,SHOX2,5.908774804525324,NA,3.446614793594638e-09,0.023429457211577492,0.08385089610947788,3.1030126951106142e-06,NA,36,36,36,3.356182285958083e-14,0.05727571580406955
ENSG00000178538.9,CA8,5.789187969279831,NA,7.0727513532075045e-09,0.004604868594400123,0.02574285456709137,0.012449694257100866,NA,5,5,5,2.8960996785390825e-08,0.1579775821849902
ENSG00000176681.14,LRRC37A,-5.735301580188327,NA,9.73389873772925e-09,0.11417728055456428,0.30923582874856315,4.871019512526551e-22,NA,11,21,21,1.4580607919133822e-21,0.4479829919272866
ENSG00000129993.14,CBFA2T3,5.673359301480019,NA,1.4002411132396465e-08,0.040689312175361134,0.27330046073985514,1.2944589356434444e-18,NA,15,15,15,1.7049322571836267e-10,0.08777499506241937
