gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000272911.1,RP11-74E22.6,12.808449269544315,NA,1.4704381737619883e-37,0.04646320187417396,0.21534859529994896,2.289152556405573e-13,NA,3,3,3,1.1571781287187759e-38,0.16499225025168818
ENSG00000238083.7,LRRC37A2,-10.804736997536653,NA,3.268924293278968e-27,0.10602840857966653,0.6545899785738218,3.5754089673289835e-58,NA,32,55,55,1.186179735849227e-133,0.13484971841869522
ENSG00000108379.9,WNT3,-10.759831792028528,NA,5.326730551348579e-27,0.01966591002001499,0.278631359582532,2.6598168708538408e-17,NA,12,21,21,2.50668052335975e-26,0.039659968763650064
ENSG00000182511.11,FES,-10.7519939464315,NA,5.7994172893612474e-27,0.0025463897551965247,0.09925988756319318,2.4161934915750727e-06,NA,20,20,20,6.249017465298618e-53,0.03981895321762948
ENSG00000275759.1,RP11-131L12.3,-10.642705689483831,NA,1.8857249082475683e-26,0.04595608830001127,0.21501477448422668,3.910607998761552e-13,NA,35,35,35,6.835724601095445e-31,0.04865547774789298
ENSG00000137764.19,MAP2K5,-10.153419002294722,NA,3.199537517998801e-24,0.028210806651229728,0.10781603643052558,9.342084337338724e-07,NA,49,53,53,8.641896146899121e-46,0.1853211166355901
ENSG00000232300.1,FAM215B,-9.5200399996201,NA,1.73112415844946e-21,0.05923659353998989,0.16151190103374272,3.484702761640961e-10,NA,40,45,45,2.50668052335975e-26,0.2840503199640261
ENSG00000143603.18,KCNN3,9.517808207087363,NA,1.7686999966871483e-21,0.023111576132581295,0.13715924784248887,1.2673741379549308e-08,NA,10,11,11,1.4980634699285543e-29,0.05562640106745193
ENSG00000103876.11,FAH,-8.085892015931291,NA,6.171084580518594e-16,0.02892089163175697,0.2566391603398967,7.474440911204165e-16,NA,36,36,36,1.1508386804915285e-22,0.04519147342511083
ENSG00000176681.14,LRRC37A,-7.986853706369952,NA,1.3842619811444498e-15,0.31608068730880384,0.6313616008837507,3.381714622246143e-54,NA,41,63,63,1.186179735849227e-133,0.6102649690990465
ENSG00000143801.16,PSEN2,-7.5798338241515335,NA,3.45997837240912e-14,0.0029188649821517325,0.018205360951216186,0.04539093255666491,NA,10,10,10,1.1285691480129888e-15,0.01118727625773023
ENSG00000114480.12,GBE1,-7.4421584840645725,NA,9.905328378333487e-14,0.0018607759861043987,0.02779784324560997,0.01545935027713025,NA,21,21,21,5.190200269969126e-19,0.04722488360205213
