gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000189227.5,C15orf61,13.22821033199965,NA,6.030627412986821e-40,0.0035412730653127137,0.04383181805083912,0.0055713164228705404,NA,16,16,16,1.0131633607810182e-49,0.012513181721836335
ENSG00000164751.14,PEX2,-11.224879264831543,NA,3.0780657871697266e-29,3.890403122512541e-07,0.031063117819045256,0.02115873248383159,NA,1,2,2,3.0780657871697266e-29,0.000991761372486984
ENSG00000238083.7,LRRC37A2,-11.153101477639481,NA,6.915317103075359e-29,0.04672307597524118,0.5356484596951475,2.310793796475162e-33,NA,25,46,46,3.6384857348468097e-127,0.25310146486318585
ENSG00000137764.19,MAP2K5,-10.4715048167271,NA,1.1677175995976037e-25,0.02763938071088293,0.16374797751488435,1.1987767646673314e-08,NA,35,41,41,2.7790223756218233e-41,0.08342517826131532
ENSG00000176681.14,LRRC37A,-8.941293325398949,NA,3.846419143927457e-19,0.11886966812762992,0.4149829366890597,9.254466383407633e-24,NA,16,24,24,2.4688648706165386e-24,0.17960408805024855
ENSG00000188779.10,SKOR1,-8.838755231241393,NA,9.679090894445347e-19,0.016614954564751958,0.1142349796537529,3.930626431908504e-06,NA,22,22,22,2.7790223756218233e-41,0.07326275033155526
ENSG00000275759.1,RP11-131L12.3,-8.210298642369978,NA,2.2063902504892375e-16,0.10120225656775253,0.2754686789482761,2.7898050823663657e-14,NA,63,65,65,6.835724601095445e-31,0.06917912996846484
ENSG00000068796.16,KIF2A,-8.102945802763648,NA,5.364413993807242e-16,0.0030813143953198467,0.03485639090642478,0.015088623616447172,NA,27,27,27,4.796066931818638e-40,0.04034503332190311
ENSG00000198945.7,L3MBTL3,-7.6676720557977935,NA,1.7514599705153036e-14,0.12928281657514343,0.3559860414415353,7.603418472761461e-19,NA,38,39,39,1.905541546467624e-18,0.3833232263513175
ENSG00000277200.1,RP11-74E22.8,7.465058324592558,NA,8.326272315913514e-14,0.023947890638023266,0.214745085918743,1.0317885097001359e-10,NA,13,15,15,1.5305198914573014e-36,0.16975377384730314
ENSG00000139364.10,TMEM132B,-7.283580567883537,NA,3.2507463423428044e-13,0.08210707028111178,0.3753153181746065,2.590138300785905e-21,NA,12,12,12,9.470973093707962e-42,0.12617160152451426
ENSG00000185829.17,ARL17A,-6.857766103121217,NA,6.994565469584194e-12,0.05420000299423697,0.27041481234477643,1.0501671943579045e-13,NA,33,48,48,6.586374912016678e-115,0.1243400373453841
ENSG00000125485.17,DDX31,-6.519652511454168,NA,7.047045489718208e-11,0.06122300414857587,0.2866777882050831,7.836266965859254e-15,NA,21,21,21,1.0259764321043857e-14,0.2733382719215511
ENSG00000120333.4,MRPS14,-6.469012229046495,NA,9.864561367979798e-11,0.013638415671149902,0.0285734816487548,0.02613462599341008,NA,34,36,36,1.3318016719877228e-17,0.0446766429216258
ENSG00000275409.1,RP11-131L12.4,-6.229955786675417,NA,4.665668302411083e-10,0.021403730795853962,0.12405473964920903,1.789443324569331e-06,NA,15,16,16,2.7768531208711787e-22,0.041392371410007636
ENSG00000272911.1,RP11-74E22.6,6.1775770477609395,NA,6.509281188916419e-10,0.017832193507210353,0.08674492707129182,7.822345796130514e-05,NA,7,7,7,1.6320338561944085e-34,0.09932800268245012
ENSG00000205078.5,SYCE1L,6.157574334770208,NA,7.386757476847691e-10,0.04681874169943551,0.29332030590836755,2.530608042804514e-15,NA,11,11,11,4.486516309142694e-16,0.16124743272748995
ENSG00000135297.15,MTO1,5.823065080537526,NA,5.777804270204808e-09,0.005704345711639049,0.04306263175145368,0.0055415211578253715,NA,20,21,21,1.5504463855304923e-13,0.04234646225056743
ENSG00000139351.14,SYCP3,5.782332599395992,NA,7.367186660957598e-09,0.0047808309788403055,0.03270328725282004,0.017582838443003488,NA,6,6,6,4.658690338452189e-12,0.18204081009001266
ENSG00000139620.12,KANSL2,-5.710730852486298,NA,1.1249203066837529e-08,0.018677051953081964,0.3029424970746375,5.29863729954262e-16,NA,8,12,12,7.0080958718293854e-09,0.030301101916412183
ENSG00000183735.9,TBK1,-5.701943909536312,NA,1.1844880756607956e-08,0.00169914964258242,0.05883292360024956,0.0012339525594852,NA,6,6,6,6.570030773261876e-10,0.06035347497391781
ENSG00000161618.9,ALDH16A1,5.644967293426873,NA,1.6521265366067848e-08,0.014148527843929478,0.1589648987823851,1.7538397363327476e-08,NA,14,14,14,2.318178651151659e-17,0.06142254695568295
ENSG00000187824.8,TMEM220,-5.58238782999411,NA,2.372386164796541e-08,0.011607344781890966,0.12081803277119925,2.02754382206217e-06,NA,26,28,28,7.328461164519503e-11,0.02495508505778164
ENSG00000186115.12,CYP4F2,-5.57953229692298,NA,2.4116616508418454e-08,0.023339396017474624,0.12919400367578274,9.067886582585012e-07,NA,21,21,21,8.379125227942127e-13,0.060972055273076975
ENSG00000103111.14,MON1B,5.473027627154359,NA,4.424111087518428e-08,0.010806324937051899,0.0623743904289106,0.0008787344872763133,NA,32,32,32,2.610646355462062e-38,0.0724534919867048
ENSG00000138378.17,STAT4,5.293430779496629,NA,1.20042692689732e-07,0.008377713366508381,0.0687633617766309,0.0004651916196836871,NA,10,10,10,2.2921170170811865e-08,0.08578559942501282
ENSG00000170430.9,MGMT,-5.239912525670439,NA,1.606527311403669e-07,0.13285660967502816,0.4631470019243741,6.21189479467949e-27,NA,42,47,47,2.0173557717059487e-11,0.15439215367900722
ENSG00000185324.21,CDK10,5.194631207014854,NA,2.0512606249958175e-07,0.04721422066523724,0.4933315581688794,9.408618348365003e-30,NA,28,31,31,1.8745936765059316e-17,0.21055071898002126
ENSG00000264016.2,CTC-297N7.9,5.039981294301022,NA,4.655773498398943e-07,0.04079218350622557,0.1806706806818658,4.228456433449511e-09,NA,49,59,59,6.320142762240861e-19,0.2111775382193427
ENSG00000126790.11,L3HYPDH,-5.0089368384640744,NA,5.473152961964717e-07,0.0832388224482524,0.306800547400474,2.9165236867953903e-16,NA,52,53,53,1.4572785391272353e-12,0.14065186220934467
ENSG00000186446.11,ZNF501,-4.951969730073424,NA,7.346603403923104e-07,0.009641593773457996,0.04822749771962608,0.0038888709430176228,NA,15,16,16,9.181090036372304e-17,0.0891264688635887
ENSG00000204084.12,INPP5B,4.936061706424604,NA,7.971589485970234e-07,0.021548808594903462,0.2624792001499097,7.683773465646688e-15,NA,21,21,21,1.2161332415579046e-14,0.06634710163747427
ENSG00000223547.9,ZNF844,-4.916392430330581,NA,8.815360040902544e-07,0.004289839011673265,0.04433576035767515,0.0058072558235522575,NA,25,30,30,2.3452733944331532e-07,0.16099596452390086
ENSG00000136448.11,NMT1,-4.835711487619089,NA,1.3267023356064934e-06,0.02853931953448924,0.234443641971464,7.70950701410732e-12,NA,21,30,30,1.1841024817307924e-10,0.04729525385699585
ENSG00000161999.11,JMJD8,4.829866400448521,NA,1.3662468921251442e-06,0.007851348558888048,0.11932792556339042,3.2293879538331414e-06,NA,13,14,14,2.045739042629858e-09,0.11374643225019054
ENSG00000182858.13,ALG12,4.822188906218331,NA,1.419913754148316e-06,0.01211780755703545,0.07339164332064281,0.0002937068233541935,NA,25,26,26,4.488571623961051e-10,0.017634097875486133
ENSG00000156172.5,C8orf37,4.817001107251742,NA,1.4573188008332467e-06,0.04602344153466775,0.059849845407860036,0.001060921944062333,NA,37,40,40,7.110176942387901e-16,0.75546614851725
ENSG00000117569.18,PTBP2,4.728423620790213,NA,2.2626971273774817e-06,0.003618659130083352,0.045818437593446726,0.00461890792524173,NA,39,40,40,7.329648036544464e-17,0.06647789437875752
ENSG00000145743.15,FBXL17,4.703339117543948,NA,2.559407858449522e-06,0.004775652508560598,0.10099951977444736,1.0812129719610043e-05,NA,7,8,8,7.934189125303799e-07,0.06832045450671359
ENSG00000128944.13,KNSTRN,4.662030362064523,NA,3.1310498352301103e-06,0.06789035706251156,0.34776315633699795,1.3965250877351614e-18,NA,10,10,10,2.3209281416536227e-06,0.08194510869506466
ENSG00000008838.19,MED24,-4.623661183275371,NA,3.7702552047446684e-06,0.06888050139681112,0.23160378588524494,9.484356610508496e-12,NA,42,44,44,6.380507626991751e-05,0.16307886874881694
ENSG00000177082.12,WDR73,4.599987974407307,NA,4.225153311264785e-06,0.04009729330816073,0.21538057708737812,6.33361626568663e-12,NA,11,11,11,7.007561096189553e-07,0.04393949252684783
ENSG00000128928.8,IVD,-4.597769946904877,NA,4.270371426081191e-06,0.00535021824503655,0.15086021804178354,6.719673445183282e-08,NA,7,7,7,2.1880788154571036e-06,0.04383500923813178
ENSG00000274419.6,TBC1D3D,-4.48165031166973,NA,7.406803717207812e-06,0.0008368016521101962,0.2780742520414965,2.6588217964810678e-14,NA,7,41,41,3.825153398764614e-07,0.06021160513499379
ENSG00000172992.11,DCAKD,4.47279447132806,NA,7.720397491447862e-06,0.038185222308821605,0.26431190897807505,1.0696157986732744e-13,NA,14,15,15,2.085697046498451e-09,0.10579932440583513
ENSG00000197696.9,NMB,4.464128062682777,NA,8.039547101810699e-06,0.026056488043508873,0.09012764788267902,4.722113976865949e-05,NA,22,23,23,3.249318715156557e-08,0.05838427850497897
ENSG00000086666.18,ZFAND6,-4.4523166743280935,NA,8.494875886508471e-06,0.0028592480316763673,0.03475479815713013,0.013067428234180457,NA,17,17,17,7.668698933071117e-21,0.0569583590899073
ENSG00000177627.9,C12orf54,-4.448383913961496,NA,8.651878745731441e-06,0.0064231012076842115,0.05817679352187726,0.001449513228436624,NA,4,4,4,1.7358062638134044e-06,0.07193512203430692
ENSG00000196683.10,TOMM7,-4.423116784646031,NA,9.728711819791027e-06,0.024460738304594845,0.2352248848275036,2.776552749413988e-12,NA,16,16,16,3.041870216963753e-08,0.0508407837558617
ENSG00000178342.4,KCNG2,4.342711037891292,NA,1.4073518812892626e-05,0.010651433721695866,0.02719051382600639,0.030887206642188823,NA,15,15,15,6.0937073336016375e-12,0.19752413188607174
ENSG00000138138.13,ATAD1,4.2604719691153115,NA,2.039956668593932e-05,1.7565871132848405e-05,0.046636627373833145,0.003752624714934071,NA,4,5,5,8.849987823276364e-06,0.0018635686112525173
ENSG00000254986.7,DPP3,-4.225248490144149,NA,2.3867726183301687e-05,0.0023354771799833298,0.06764878970024678,0.0004949295058079953,NA,15,15,15,4.9338605628779787e-08,0.019042596229064027
ENSG00000197054.11,ZNF763,-4.170593532019074,NA,3.038073288530444e-05,0.0030163082731650987,0.08246181482319645,0.00012800773930825524,NA,19,19,19,1.0299531723409691e-05,0.013738073398640315
ENSG00000267107.6,PCAT19,-4.167904693822019,NA,3.0741240926085345e-05,0.008005865024486612,0.13193497633724127,4.5809205858829535e-07,NA,10,11,11,3.261504670136927e-06,0.17491281922052007
ENSG00000125462.16,C1orf61,4.123296911483221,NA,3.7348776480502036e-05,0.009775644669704058,0.040162488800526634,0.0073369073191917565,NA,8,9,9,8.690023968947564e-06,0.1515852499921748
ENSG00000125734.15,GPR108,4.108121099415387,NA,3.98890948415958e-05,0.015981659972185813,0.14093648373416798,2.3317947734317885e-07,NA,34,36,36,1.537109043993421e-05,0.06570393288721695
ENSG00000129673.9,AANAT,-4.069698941680229,NA,4.7073928060903587e-05,0.007920206211634277,0.07986275014745929,0.00011991049234868628,NA,3,4,4,3.483818308347534e-05,0.047561070683055234
ENSG00000137070.17,IL11RA,4.066544856258309,NA,4.771530435708635e-05,0.007653683011735311,0.08835152245316523,3.6801459128201795e-05,NA,15,15,15,2.3867736083217166e-08,0.10558339397101736
ENSG00000141294.9,LRRC46,-4.055732899968043,NA,4.997734530223602e-05,0.025560604624591303,0.24026480301051195,2.5611793701281096e-12,NA,15,16,16,1.6380461316935497e-05,0.04295511740870859
ENSG00000232300.1,FAM215B,-4.052072037811844,NA,5.0766027849563396e-05,0.05905404307166641,0.0916986065596708,5.566498038384075e-05,NA,19,25,25,2.50668052335975e-26,0.12328592097980767
ENSG00000080823.22,MOK,-4.0517984153767355,NA,5.082544741854394e-05,0.004780029232459823,0.07000914288285442,0.00048654951369405595,NA,6,6,6,1.0442285480919342e-11,0.10035583870303284
ENSG00000143434.15,SEMA6C,-4.027582443512883,NA,5.6353309953368365e-05,0.00992890983248035,0.05783876929270235,0.0015887435116748358,NA,18,19,19,6.337216669115689e-09,0.05777995724977561
ENSG00000272989.1,LINC02012,4.0056843269288915,NA,6.183818891468789e-05,0.009394231935243406,0.06775127058981108,0.00047814543688128215,NA,5,5,5,1.1323595232820118e-05,0.13444983277785547
ENSG00000235106.9,LINC00094,3.999205949818221,NA,6.355535735990984e-05,0.03937735552582433,0.19473818404773496,6.235138640097133e-10,NA,84,93,93,1.8761907603791592e-22,0.3049709724092463
ENSG00000196821.9,C6orf106,3.9080095291137695,NA,9.305963680281955e-05,4.147616179909487e-05,0.0430145165210027,0.006685127095148611,NA,1,20,20,9.305963680281955e-05,0.009321458712755441
ENSG00000184164.14,CRELD2,3.8795778731893655,NA,0.00010463789821420432,0.007950353652582115,0.13595820618106172,6.520258045142517e-07,NA,26,28,28,4.488571623961051e-10,0.022909422653542302
ENSG00000059378.12,PARP12,-3.865642655098646,NA,0.000110797064094508,0.004505899862281237,0.09160005474023056,4.194780050332128e-05,NA,9,11,11,7.057746016218405e-06,0.0376960240894997
ENSG00000134256.12,CD101,3.8558156764624503,NA,0.0001153443773076809,0.02062422315197955,0.1405272819345992,2.906029723338574e-07,NA,4,7,7,3.7950349412703904e-05,0.3325364792062914
ENSG00000143951.15,WDPCP,-3.8444307798090964,NA,0.00012083258517611243,0.011256845393981012,0.03685107764000972,0.011826349718447923,NA,24,24,24,1.1458463806256877e-16,0.04204991865980564
