gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000277791.4,PSMB3,13.09529495239258,NA,3.503108215458946e-39,1.6322853764802223e-06,0.029035139732351008,0.00036263717188293596,NA,1,10,10,3.503108215459045e-39,0.0018828425451351
ENSG00000156603.15,MED19,-13.006230614474788,NA,1.1276881914408938e-38,0.028300206580300698,0.15691874907464207,7.39219874248965e-18,NA,40,42,42,7.103303355455983e-84,0.0980537960550846
ENSG00000159314.11,ARHGAP27,-12.455375116721003,NA,1.3073533647219633e-35,0.005860504297439519,0.3352046351576593,2.9798720874419994e-41,NA,6,28,28,7.627772354574047e-37,0.0411972649035757
ENSG00000272911.1,RP11-74E22.6,11.00261476265757,NA,3.7120934115673648e-28,0.0433351242380352,0.1067314378840699,2.9872821727560773e-12,NA,21,24,24,1.6320338561944085e-34,0.1803716694327544
ENSG00000163346.16,PBXIP1,-9.922732902938048,NA,3.3155142848441896e-23,0.004499031284401503,0.08495098376921771,6.419646821255908e-10,NA,11,11,11,5.883120723872823e-27,0.016868294105469844
ENSG00000275409.1,RP11-131L12.4,-8.987847886355276,NA,2.521186580608316e-19,0.016555598496573877,0.11064712273249493,1.8998155227470776e-12,NA,22,22,22,2.449972748881034e-31,0.03381572018178736
ENSG00000019102.11,VSIG2,-8.141798962955713,NA,3.8944751807369476e-16,0.003472846472809845,0.058497222012461735,4.435952811546216e-07,NA,10,11,11,7.619917133191841e-22,0.043631411853629565
ENSG00000167491.17,GATAD2A,-8.097841383574222,NA,5.59429430186686e-16,0.0007200683542566182,0.0384729906202988,4.470673932734366e-05,NA,11,14,14,1.666770119909956e-25,0.014173016033121552
ENSG00000275759.1,RP11-131L12.3,-8.057863112695586,NA,7.763969022446726e-16,0.06192012412685255,0.22149300958250812,1.0880077568880218e-25,NA,35,37,37,6.566253157933742e-26,0.052519554241095716
ENSG00000135913.10,USP37,-8.032030546722309,NA,9.587249131918445e-16,0.013736600312751854,0.13413112259247564,4.619116252057258e-15,NA,44,44,44,8.318783485885025e-17,0.08559038590463854
ENSG00000077063.10,CTTNBP2,7.7972177150161155,NA,6.32870003582816e-15,0.004583165686733675,0.02164124933183613,0.0024778477913621807,NA,13,13,13,3.373728982096863e-24,0.08204653512927866
ENSG00000213390.10,ARHGAP19,7.585667910820093,NA,3.3077864394921335e-14,0.018607770295109936,0.09941476244621113,2.306268887212535e-11,NA,46,51,51,4.659536890974756e-29,0.09164765744128132
ENSG00000149548.14,CCDC15,7.56127768554521,NA,3.9912913052586885e-14,0.05201602738818233,0.2851032085424879,7.574548586411384e-35,NA,86,90,90,1.3181727769600038e-10,0.22397496378247173
ENSG00000198945.7,L3MBTL3,-7.461562003947902,NA,8.550270888140164e-14,0.07460562625927993,0.2793213803571608,5.244309774685093e-33,NA,27,27,27,2.2396898008916397e-16,0.2527566070478925
ENSG00000229912.1,AC128709.4,7.298123123024067,NA,2.918095545990254e-13,0.061036414508724726,0.1572457924767373,3.7245756802101345e-18,NA,19,20,20,5.943499021877194e-26,0.10832364785494096
ENSG00000169925.16,BRD3,-7.147807782159119,NA,8.817466020434175e-13,0.002341698797576802,0.05812820163466681,3.940500197233619e-07,NA,18,20,20,1.8761907603791592e-22,0.016433976962544283
ENSG00000170946.14,DNAJC24,7.089066414483961,NA,1.3501972262685712e-12,0.00797342844980535,0.04752413600144445,5.368092778710529e-06,NA,86,88,88,3.235234979296739e-17,0.16277309004254725
ENSG00000161618.9,ALDH16A1,7.046474398794637,NA,1.8350786931490785e-12,0.028343390083595214,0.2541474801227813,1.0931250009091636e-29,NA,25,25,25,2.318178651151659e-17,0.07368461313547582
ENSG00000156172.5,C8orf37,6.934625731070365,NA,4.0729802110004286e-12,0.027453991930588423,0.16240599342040296,1.602654403791504e-18,NA,10,11,11,7.110176942387901e-16,0.7256237004631984
ENSG00000101017.13,CD40,-6.798606728431238,NA,1.0563574175243885e-11,0.006854690785254256,0.07329790769546858,9.299374148275129e-09,NA,8,8,8,7.963319055647671e-26,0.03533423653550697
ENSG00000111707.11,SUDS3,6.78270849170292,NA,1.179434708505623e-11,0.00396737564939229,0.06981247965472266,2.9694443957706798e-08,NA,28,28,28,3.883376256559608e-18,0.05106558305116726
ENSG00000086189.9,DIMT1,-6.747344817446087,NA,1.5057514142924684e-11,0.00272978465941963,0.016134232190884282,0.00937464584047867,NA,23,23,23,5.776949264840097e-38,0.02972992756338605
ENSG00000277200.1,RP11-74E22.8,6.537108501053971,NA,6.271954956263233e-11,0.1324164685372297,0.4676033209251508,5.370874729338669e-65,NA,15,16,16,1.5305198914573014e-36,0.4002223435148393
ENSG00000144401.14,METTL21A,6.2994031777648685,NA,2.9879387137187784e-10,0.010502333487206094,0.07410597807571004,9.378906694667751e-09,NA,33,33,33,1.2861030003147572e-12,0.040276572232103534
ENSG00000120071.13,KANSL1,-6.26057476928867,NA,3.8356111356772686e-10,0.036554832308857275,0.31042122132998984,1.6617073049054916e-37,NA,37,56,56,3.323412047845522e-127,0.189502784794126
ENSG00000170222.11,ADPRM,-6.157542384694782,NA,7.388247387815008e-10,0.0014308230937828679,0.04711862908826382,5.4775512047314344e-06,NA,15,15,15,7.328461164519503e-11,0.005937055076631849
ENSG00000166086.12,JAM3,6.051412767992412,NA,1.4358102731273974e-09,0.013775128553478929,0.10351492903809333,8.966160207441649e-12,NA,64,74,74,8.479999663716018e-16,0.08288755185435273
ENSG00000186868.15,MAPT,-6.037419650916617,NA,1.565980924995928e-09,0.009938217540894408,0.06974200274590482,1.7775722461048987e-08,NA,17,25,25,1.5672016483239746e-38,0.09962677984055017
ENSG00000156599.10,ZDHHC5,6.0054037562646485,NA,1.9085635257207474e-09,0.0020387160169389722,0.06966933309172668,3.6007513441661336e-08,NA,27,28,28,8.791662130935678e-59,0.1963940425823888
ENSG00000138031.14,ADCY3,-6.005338992782791,NA,1.909325546412893e-09,0.004064393818851179,0.05035714241403006,3.530319647288469e-06,NA,35,35,35,7.817513041749477e-28,0.026407638648024336
ENSG00000125485.17,DDX31,-6.005297718749801,NA,1.9098113399781606e-09,0.035088435451080674,0.30843823958163763,1.1488018149257835e-38,NA,23,26,26,1.0259764321043857e-14,0.044141445969777066
ENSG00000235106.9,LINC00094,6.002712805182209,NA,1.9404767932487066e-09,0.0035547259416978325,0.011578160661987923,0.024219152790226274,NA,40,47,47,1.8761907603791592e-22,0.059263942862036366
ENSG00000189079.15,ARID2,5.902721236657739,NA,3.5755415159145367e-09,0.0015977247736978532,0.024023493984051958,0.0012749965216891387,NA,8,9,9,7.331102250910558e-18,0.08863344235248215
ENSG00000122687.17,MRM2,5.806406568546501,NA,6.382786326902486e-09,0.008605718822202336,0.1204344884470624,1.5351328920716934e-13,NA,10,11,11,9.484893620019952e-10,0.07698661092405107
ENSG00000005249.12,PRKAR2B,-5.68814843909931,NA,1.2842417093695945e-08,0.0009149797423395294,0.010706475304001472,0.03352922686706004,NA,3,3,3,1.931293434550271e-13,0.04968579223804652
ENSG00000155849.15,ELMO1,5.656763456910307,NA,1.5425412267200156e-08,0.001057917343680046,0.02381983171312845,0.0015268545252044232,NA,8,8,8,2.5573307703873615e-09,0.04959726705673057
ENSG00000227676.3,LINC01068,5.655947255988663,NA,1.5498906185501266e-08,0.10829900405700671,0.2941944077526486,1.0364041132170887e-36,NA,26,26,26,5.080258723372945e-10,0.0786450024158573
ENSG00000235268.2,KDM4E,5.6395099198570255,NA,1.7053482814959372e-08,0.0075381282082463315,0.015603827995976613,0.010619895336995056,NA,23,23,23,4.419768282841487e-15,0.06976717766471828
ENSG00000126091.19,ST3GAL3,-5.6213722177164955,NA,1.894465993946227e-08,0.0009990957075116877,0.028249733149502358,0.0005550010145069034,NA,6,6,6,1.520157114665553e-10,0.06888485865569834
ENSG00000149294.16,NCAM1,-5.614412003096305,NA,1.97231767612241e-08,0.014541643285994384,0.11794157868064815,3.08131928307218e-13,NA,37,40,40,2.209047899024934e-37,0.04864153249201717
ENSG00000274512.5,TBC1D3L,-5.596685886383057,NA,2.1848804255486564e-08,3.0019565766055165e-05,0.3665554392245842,7.90911547412001e-47,NA,1,32,32,2.1848804255486564e-08,0.007946449788979591
ENSG00000272886.5,DCP1A,-5.543019649666727,NA,2.9729948443954157e-08,0.0011170878885143048,0.01559970717515524,0.009772809615209523,NA,4,4,4,8.174736058633759e-17,0.024164914288998186
ENSG00000104866.10,PPP1R37,5.532826433276954,NA,3.151112525606593e-08,0.010179673030787862,0.12136541644484836,1.283918401866286e-13,NA,71,77,77,1.3254052230690886e-11,0.1096915698967528
ENSG00000118557.15,PMFBP1,5.487107261672204,NA,4.0856906687412735e-08,0.014531908931109708,0.04008198036562309,3.364636940864389e-05,NA,31,31,31,2.2940823498856162e-14,0.172830057351665
ENSG00000105576.15,TNPO2,-5.47365491779792,NA,4.408471392666478e-08,0.0019139524367323307,0.04523299654261155,1.0271757359741904e-05,NA,10,10,10,1.0418400455637524e-09,0.04030800175772888
ENSG00000104872.10,PIH1D1,5.439859816036727,NA,5.332251189452772e-08,0.00272448725406742,0.08190358231603309,1.7300727981307745e-09,NA,17,18,18,1.4563494917881992e-16,0.0233096989046151
ENSG00000182568.16,SATB1,5.364861922096883,NA,8.101116726814948e-08,0.008780401326904181,0.04340405163596168,1.3759890945121905e-05,NA,42,46,46,5.917670662022455e-11,0.1308520286779967
ENSG00000007541.16,PIGQ,5.342139848794515,NA,9.185574410672816e-08,0.00029898095727193887,0.012152531653673478,0.024017027057462,NA,3,3,3,1.433488597495627e-09,0.011339122480819731
ENSG00000166913.12,YWHAB,5.306493099910479,NA,1.1175438934187995e-07,0.006397168950562327,0.13190095898165674,2.548810426829133e-15,NA,35,35,35,2.462873661252275e-09,0.022193261571242143
ENSG00000151883.17,PARP8,-5.304235628680046,NA,1.1314608752087411e-07,0.008955925712605168,0.06896785010644649,4.4592388643445274e-08,NA,10,10,10,2.0062679231737288e-10,0.0563182641422439
ENSG00000157330.9,C1orf158,-5.286364373395861,NA,1.247712454257832e-07,0.015442162775537404,0.10605418321262457,3.9212949053058545e-12,NA,32,32,32,1.7832147742202185e-08,0.017475289310469284
ENSG00000173653.7,RCE1,5.27730779652264,NA,1.3109558828939655e-07,0.028911073710436542,0.16912437007161646,2.22282958741735e-19,NA,57,62,62,1.2771055151225522e-14,0.2346638839191463
ENSG00000139620.12,KANSL2,-5.273041227042723,NA,1.3418140572226133e-07,0.014915744440911262,0.2495030365821519,3.025158517674341e-30,NA,24,27,27,7.0080958718293854e-09,0.05479123551771397
ENSG00000041353.9,RAB27B,5.257453677244035,NA,1.4606366967426368e-07,0.00458828344351044,0.07507843600219212,9.602543397989119e-09,NA,37,37,37,5.546393534463287e-13,0.035004655966478365
ENSG00000175787.16,ZNF169,-5.252493022918911,NA,1.5005415034145424e-07,0.000503643315872683,0.02484289261943658,0.001182389364744285,NA,5,5,5,2.370102210148274e-08,0.009272299800547638
ENSG00000248360.7,LINC00504,5.202750016643408,NA,1.963609251217e-07,0.03093023844593821,0.18699438100970492,3.365931388433252e-21,NA,32,32,32,2.967534050649609e-15,0.0953356884218695
ENSG00000254999.3,BRK1,5.161172748384738,NA,2.4540758867415724e-07,0.0021891822688827455,0.05423900667002109,1.4131076701546832e-06,NA,16,16,16,2.4983274268122307e-09,0.01740420484625876
