gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000120071.13,KANSL1,-13.34801429324057,NA,1.2164855107610627e-40,0.03456229156097594,0.3419295382630109,2.0565918744716167e-50,NA,52,68,68,3.6384857348468097e-127,0.13071408076317925
ENSG00000156603.15,MED19,-12.826421381070473,NA,1.1662791499163072e-37,0.04495607661687877,0.2175631751818337,5.440571599212267e-30,NA,78,78,78,7.103303355455983e-84,0.16765148523682674
ENSG00000159314.11,ARHGAP27,-11.68377641549277,NA,1.542853658123687e-31,0.003610335172234601,0.3294898940301056,2.4720708070689396e-48,NA,11,30,30,7.627772354574047e-37,0.038590377500620734
ENSG00000272911.1,RP11-74E22.6,10.911966344300561,NA,1.0104668732001026e-27,0.05746283953018744,0.15469776086763098,7.880231706410864e-21,NA,8,8,8,1.6320338561944085e-34,0.1623381827883241
ENSG00000238083.7,LRRC37A2,-10.010731653419262,NA,1.367375065653985e-23,0.08389538752023033,0.6334109665503038,3.71082331732001e-129,NA,39,67,67,5.541650969997795e-139,0.15096172381024262
ENSG00000086189.9,DIMT1,-9.813300758398773,NA,9.868657183890023e-23,0.00320446051694273,0.03830766804579381,1.0753406644012817e-05,NA,21,21,21,4.796066931818638e-40,0.034623395741628205
ENSG00000228696.8,ARL17B,-9.720393707224423,NA,2.4682527353767646e-22,0.11401864263462777,0.28102513215204056,1.6831783852666528e-39,NA,51,74,74,2.612132866182744e-125,0.3160538509983773
ENSG00000182511.11,FES,-9.648986945144042,NA,4.964371139732816e-22,0.005074744326256736,0.1022085860690922,4.9113965345496904e-14,NA,6,7,7,4.507117739894403e-48,0.049099903697883036
ENSG00000168769.13,TET2,9.351719151301703,NA,8.623449381620102e-21,0.0024173419484500172,0.0797137854741345,1.1168850291562632e-10,NA,8,8,8,1.1245772424089908e-26,0.05539056131344956
ENSG00000188779.10,SKOR1,-9.204574472948723,NA,3.43027642421839e-20,0.015766055716353464,0.14333805043436715,7.240582560573994e-19,NA,30,32,32,1.0131633607810182e-49,0.07963696682952386
ENSG00000167491.17,GATAD2A,-8.93355332477396,NA,4.1254036422021347e-19,0.0007309598963738837,0.036032490982682915,1.8923792037363746e-05,NA,5,5,5,8.608811905010536e-20,0.02117665241330414
ENSG00000235106.9,LINC00094,8.921380363520306,NA,4.605120641992226e-19,0.0008242119664274208,0.030848600766582333,6.677906249079596e-05,NA,6,6,6,1.8761907603791592e-22,0.0251341494527175
ENSG00000275759.1,RP11-131L12.3,-8.734077919968882,NA,2.4565173966327733e-18,0.08385510496457704,0.2067030233402552,5.0963218873375235e-28,NA,63,69,69,6.835724601095445e-31,0.08442826214560037
ENSG00000138031.14,ADCY3,-8.462125289769643,NA,2.6254822660379205e-17,0.0059540989341166466,0.06434222053696531,8.37263551135068e-09,NA,58,59,59,7.817513041749477e-28,0.023375624077293496
ENSG00000169925.16,BRD3,-8.434826177500815,NA,3.3169542149895944e-17,0.0010972789340805646,0.046764887722607784,8.669522975397742e-07,NA,9,12,12,9.126987783631535e-20,0.03163926787291354
ENSG00000248746.5,ACTN3,-8.395993317137469,NA,4.619719195065873e-17,0.008933104270536837,0.03065164710376445,8.224400185483778e-05,NA,8,8,8,9.542677800929238e-17,0.03227806503575587
ENSG00000275409.1,RP11-131L12.4,-8.236633819246107,NA,1.7712354706103136e-16,0.008182233188108267,0.06727100270498705,4.023717615575327e-09,NA,6,6,6,7.570577314312737e-21,0.06701799394944599
