gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-17.021406217500697,NA,5.698545219230936e-65,0.04603432020671473,0.5445352203233277,5.4585770039254065e-27,NA,16,30,30,5.541650969997795e-139,0.14995112295240606
ENSG00000185829.17,ARL17A,-10.677138549262715,NA,1.3022389924233043e-26,0.0282672418692691,0.2192336815437777,6.620409361580673e-09,NA,41,54,54,5.541650969997795e-139,0.1288651961667829
ENSG00000275409.1,RP11-131L12.4,-10.491249567124461,NA,9.476670364426902e-26,0.008034253065043857,0.07772033849312489,0.0012872105168081954,NA,26,27,27,2.449972748881034e-31,0.06869753196593882
ENSG00000205078.5,SYCE1L,10.36310417906375,NA,3.649229092229527e-25,0.04411828393026994,0.3040628647789686,1.28011589333193e-12,NA,9,9,9,1.8653233579517234e-54,0.08594362590243369
ENSG00000176681.14,LRRC37A,-9.746005220955734,NA,1.9187040896899056e-22,0.0859775117613702,0.3774605762722179,7.957764456832108e-16,NA,18,31,31,2.50668052335975e-26,0.205282724375745
ENSG00000272911.1,RP11-74E22.6,9.650322812520715,NA,4.900123261249608e-22,0.05302324741035142,0.1177593860735341,3.5109944392741525e-05,NA,26,29,29,1.1571781287187759e-38,0.0804671724319532
ENSG00000182511.11,FES,-9.358419938464696,NA,8.093797815565979e-21,0.0071167118038713735,0.05309373820796567,0.005732541258809752,NA,31,34,34,6.249017465298618e-53,0.07695750719763507
ENSG00000120071.13,KANSL1,-8.775402922333127,NA,1.7029303576245653e-18,0.0021179230349702358,0.05621685623570298,0.006107202744892889,NA,26,37,37,3.6384857348468097e-127,0.025394580262561518
ENSG00000161618.9,ALDH16A1,8.328839253950395,NA,8.163882640422912e-17,0.00997320948530774,0.1169915722695142,2.458200709013983e-05,NA,13,13,13,2.318178651151659e-17,0.020859628833445144
ENSG00000100024.14,UPB1,8.171886823008478,NA,3.0360328315747473e-16,0.029299724441532282,0.2381040097537853,1.5320180073245762e-09,NA,10,10,10,4.4925589099952324e-21,0.0299291054529321
ENSG00000213347.10,MXD3,-8.076537761955658,NA,6.66315348069855e-16,0.0022889700778166797,0.0454928508534876,0.014822337455491975,NA,2,2,2,2.690784543320802e-16,0.03903876421869787
ENSG00000139364.10,TMEM132B,-7.596069191701966,NA,3.052613515153557e-14,0.03608578689277187,0.21016234227998484,2.043894182567773e-09,NA,16,20,20,2.3693455778219224e-15,0.08784871739211865
