gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000156599.10,ZDHHC5,13.03681328043218,NA,7.554929164894198e-39,0.0019411583556205626,0.06592622752923416,0.0007694435831447021,NA,15,15,15,1.0231530072260733e-60,0.017353388602260482
ENSG00000137764.19,MAP2K5,-12.842710825767877,NA,9.450629772140079e-38,0.04233967434505599,0.2513010423991236,1.7322954286474612e-12,NA,42,49,49,1.0131633607810182e-49,0.1195043775039214
ENSG00000272911.1,RP11-74E22.6,11.26146574497846,NA,2.0334802860275435e-29,0.08507268495971854,0.3004448292666849,1.897538866055346e-15,NA,10,10,10,1.6320338561944085e-34,0.2540755889012632
ENSG00000275759.1,RP11-131L12.3,-9.22524523633289,NA,2.829127630978375e-20,0.09996801990287726,0.2827197057780507,4.552869974010365e-15,NA,43,44,44,6.835724601095445e-31,0.08123931809838321
ENSG00000186868.15,MAPT,-8.890933533824546,NA,6.059761983066453e-19,0.011017941380907077,0.176816288357159,4.015808122687453e-09,NA,12,20,20,2.4688648706165386e-24,0.06575989733875394
ENSG00000146701.11,MDH2,-8.498746200301957,NA,1.916494113430935e-17,0.003473026081289547,0.07712703803625921,0.00016239637477868571,NA,16,21,21,3.974457896645395e-20,0.08112482996587342
ENSG00000185920.15,PTCH1,8.031769416262568,NA,9.607681626568468e-16,0.04804315342659715,0.30165660825408336,1.4532937482345805e-15,NA,14,14,14,8.103756501851236e-20,0.062305977000987375
ENSG00000187122.16,SLIT1,-7.970558665286162,NA,1.5795865866338237e-15,0.06977464315955846,0.2057959828277013,3.6924228540093626e-10,NA,31,32,32,9.04472368237692e-26,0.05288922444542101
ENSG00000196670.13,ZFP62,-7.970044913506238,NA,1.5861671171935378e-15,0.003451641486826461,0.042970553806712206,0.0069556450796946345,NA,29,31,31,1.6383214203554685e-28,0.0704401208477737
ENSG00000198945.7,L3MBTL3,-7.28802466283338,NA,3.145324053995746e-13,0.19987448794802382,0.5993575598859369,3.958808978828329e-41,NA,23,23,23,1.0337502118487957e-16,0.38102710078023205
