gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000073969.18,NSF,-21.523725201106735,NA,9.335245693884472e-103,0.0019265627947905781,0.06451501845840346,3.025097583870852e-05,NA,8,19,19,1.186179735849227e-133,0.037958814646613465
ENSG00000119771.14,KLHL29,-13.091825176146392,NA,3.666891694192065e-39,0.006130062175213271,0.03657321257141345,0.0017665558937939676,NA,20,20,20,2.2634423410218623e-62,0.1035723757595376
ENSG00000164265.8,SCGB3A2,12.871536690579752,NA,6.509404611903142e-38,0.005556584958715912,0.023041589029641936,0.013675368988293015,NA,8,9,9,2.036401691008257e-72,0.05359608465977581
ENSG00000272911.1,RP11-74E22.6,11.507016908393847,NA,1.2161263510509379e-30,0.07722712324965303,0.35074857186734104,5.128381252115263e-29,NA,16,16,16,1.1571781287187759e-38,0.10323755048662116
ENSG00000229912.1,AC128709.4,-10.660879657405578,NA,1.5512322516832474e-26,0.05191479957064733,0.21430913443083388,2.1991288735876738e-16,NA,8,9,9,1.9865141288448727e-38,0.3770241614901398
ENSG00000275409.1,RP11-131L12.4,-10.265478629668252,NA,1.0081976549801796e-24,0.057319167833036075,0.17365434085961312,1.3992657580200662e-13,NA,33,33,33,2.449972748881034e-31,0.17025865403234122
ENSG00000171307.18,ZDHHC16,-10.175148562461699,NA,2.560090313207454e-24,0.09421805730702332,0.3569305010498364,1.7629501214437557e-28,NA,37,38,38,1.5794415037109557e-37,0.12341199476672718
ENSG00000275759.1,RP11-131L12.3,-9.555538390368591,NA,1.2294299685305901e-21,0.08356334584491562,0.2361016659213132,1.2100759710517164e-17,NA,32,34,34,2.449972748881034e-31,0.1784276174131468
ENSG00000228696.8,ARL17B,-9.53258689087618,NA,1.5341183465873634e-21,0.0750622814199936,0.4596173921290722,5.729770425387678e-40,NA,34,45,45,3.6384857348468097e-127,0.2688333378677518
ENSG00000227373.5,RP11-160H22.5,9.360978067151628,NA,7.900194265430868e-21,0.05396533096327785,0.2109625734795109,7.354950868193969e-16,NA,53,53,53,1.810378844142483e-33,0.03478748611927755
ENSG00000086189.9,DIMT1,-8.956499209501846,NA,3.3514984951317345e-19,0.011215819881566762,0.11061919801740724,2.0726363419979876e-08,NA,41,41,41,7.027753684800624e-42,0.16664299038492486
ENSG00000235126.1,AC128709.3,-8.463167383043311,NA,2.602118219468833e-17,0.26568765801287353,0.4472376548190935,7.592031452989235e-39,NA,45,49,49,1.9865141288448727e-38,0.5044729053823441
ENSG00000170959.14,DCDC1,8.025187167422523,NA,1.0137126633850613e-15,0.09346929447204175,0.5113954572868504,1.4144031424885915e-47,NA,34,34,34,4.576608390960708e-17,0.03635929299353177
ENSG00000104872.10,PIH1D1,-8.003965730367504,NA,1.2047493156664946e-15,0.22218439649538957,0.5717894470200076,2.6097386051478887e-57,NA,14,14,14,2.318178651151659e-17,0.0915841594123884
ENSG00000119782.13,FKBP1B,7.815106692333247,NA,5.491649333334972e-15,0.04630374735810353,0.06387835812164518,3.0418326039005604e-05,NA,130,130,130,2.767063993005095e-55,0.3192356364420019
ENSG00000181274.6,FRAT2,7.547454829581048,NA,4.438464043028027e-14,0.01444065250043796,0.15829533847836305,9.791358016214396e-12,NA,25,26,26,6.844446601199042e-30,0.02460341423550949
ENSG00000119899.12,SLC17A5,-7.440364943133779,NA,1.004075245063955e-13,0.010453985470861541,0.0890782875440386,5.508415819598844e-07,NA,5,7,7,1.2589199754281458e-14,0.05951506822063232
ENSG00000144580.13,CNOT9,-7.423728641977061,NA,1.1386833417038674e-13,0.003059420980221218,0.07542715053301717,5.677169257215443e-06,NA,27,28,28,8.318783485885025e-17,0.056289261553812316
ENSG00000120333.4,MRPS14,7.394936082079436,NA,1.4147631092537627e-13,0.002972076519931031,0.03516053781537404,0.001876971458250623,NA,13,13,13,1.8394665268081625e-14,0.037394931053505685
ENSG00000168779.19,SHOX2,-7.354799094977744,NA,1.9121449250584702e-13,0.013326678066073136,0.194934014726356,2.249862058380035e-14,NA,38,38,38,3.356182285958083e-14,0.02251335357427735
ENSG00000205078.5,SYCE1L,7.15735352244127,NA,8.224939692988235e-13,0.09367913608646256,0.5723779617102985,9.384941405978054e-58,NA,55,58,58,1.8653233579517234e-54,0.13590362604778505
ENSG00000187824.8,TMEM220,-7.134352506845509,NA,9.724382528873826e-13,0.12914733316389396,0.457762920903589,3.5418331020306754e-40,NA,42,42,42,6.320142762240861e-19,0.04033508829884832
ENSG00000125037.12,EMC3,-6.966087700586568,NA,3.258760443896369e-12,0.0003973830557095926,0.026676932189421982,0.007239366294395751,NA,29,30,30,1.7822725090296545e-12,0.006269510381999056
ENSG00000131236.16,CAP1,6.945061683654786,NA,3.782949955072561e-12,0.0009687848173154936,0.03615797856672048,0.0017648265906679078,NA,1,1,1,3.782949955072602e-12,0.06612850158562636
ENSG00000178927.17,C17orf62,-6.863143121269958,NA,6.736167610326996e-12,0.0019002016362206903,0.07294699626216798,6.802828673768441e-06,NA,6,6,6,3.5234287451187714e-12,0.030138717235426167
ENSG00000115137.11,DNAJC27,-6.704878385373941,NA,2.0157417418822236e-11,0.0038094584425491036,0.08135162783121645,1.172541678594718e-06,NA,32,32,32,1.0315950166299909e-14,0.016058406838168206
ENSG00000248746.5,ACTN3,-6.654878716609165,NA,2.8353376294981565e-11,0.08250813666611775,0.5700525446576298,3.262922275378822e-59,NA,18,19,19,9.542677800929238e-17,0.19557315662155147
ENSG00000100461.17,RBM23,-6.596825626522195,NA,4.200543170448121e-11,0.0036397130977687906,0.10104620125387252,9.686312046226414e-08,NA,15,16,16,8.523415411494447e-21,0.058913596376251084
ENSG00000232056.1,AC092687.4,6.1804312492480795,NA,6.392673154350552e-10,0.00299876414706897,0.031666234494522896,0.0034073781456316478,NA,8,8,8,4.3192650721921265e-11,0.02346668089831585
ENSG00000077063.10,CTTNBP2,6.117457973504582,NA,9.507982434635211e-10,0.017585054006315798,0.07135194448223944,9.99683263397388e-06,NA,56,56,56,8.96406487331444e-25,0.11944817459122202
ENSG00000163705.12,FANCD2OS,-6.096286955839729,NA,1.0856046453093386e-09,0.0368701459001322,0.4803274935576751,2.6628963793540614e-43,NA,55,61,61,1.4137809271193843e-12,0.046681162893577585
ENSG00000175279.21,CENPS,-6.077347196906318,NA,1.221870191130191e-09,0.0013088164932734644,0.049626373646042485,0.0002710906789460736,NA,6,7,7,2.5222870514085443e-20,0.02197599123242617
ENSG00000122687.17,MRM2,6.053280426835323,NA,1.4192548176084037e-09,0.02615955731031225,0.1898673336754549,1.108998211815736e-14,NA,6,6,6,9.484893620019952e-10,0.08056620135352023
ENSG00000272892.1,RP11-57G10.8,-6.008231218064863,NA,1.875582334795387e-09,0.004199179445548566,0.057392284898675164,8.346318546137675e-05,NA,9,10,10,6.449698051047315e-11,0.0422793110558186
ENSG00000149548.14,CCDC15,-6.004543654195929,NA,1.9187078742219523e-09,0.209642479104686,0.6333436071821484,8.431384725316358e-71,NA,8,9,9,1.3181727769600038e-10,0.5887907127157629
ENSG00000225535.6,LINC01393,-5.910246014909932,NA,3.415971729124602e-09,0.058038026236381574,0.12201385450263627,3.915212752730848e-09,NA,27,28,28,3.023012880650677e-17,0.16554773387577215
ENSG00000237461.1,RP11-554F20.1,5.866474117283112,NA,4.451597188273261e-09,0.005042648487338238,0.0986150440803753,1.5285127850909907e-07,NA,16,16,16,3.3675700530475875e-10,0.020489192770620814
ENSG00000101017.13,CD40,-5.807131992660525,NA,6.355203547251047e-09,0.009424368434234547,0.07025807992182846,8.459907356233536e-06,NA,23,24,24,5.567904222623977e-18,0.0703998323909004
ENSG00000048342.15,CC2D2A,-5.777227511754593,NA,7.594156819295494e-09,0.021314543922581447,0.1438463839504311,6.423253332687598e-11,NA,37,38,38,3.8747444616379495e-10,0.08743962752729073
ENSG00000164588.6,HCN1,5.738218383144917,NA,9.567769439340263e-09,0.006191104373544743,0.03946610241120347,0.0011159530703980297,NA,9,10,10,8.159918293481479e-10,0.03347415865587916
ENSG00000250067.11,YJEFN3,-5.6994254869805525,NA,1.2021185241715282e-08,0.0015555435144038597,0.021887252860536527,0.016619909417001644,NA,10,10,10,2.373134663390456e-24,0.021968929328859684
ENSG00000125485.17,DDX31,-5.683238677219114,NA,1.3216761323370566e-08,0.03372213659827713,0.20155767008081102,4.701983560964628e-15,NA,12,12,12,1.0259764321043857e-14,0.05073355798957048
ENSG00000160233.7,LRRC3,5.644294366743502,NA,1.6586008494305373e-08,0.007157611615806658,0.07939798041524232,3.4864754632412545e-06,NA,15,17,17,6.190905975052705e-10,0.08045934098455967
ENSG00000198945.7,L3MBTL3,-5.57702527528073,NA,2.446663315518935e-08,0.04130546552138842,0.2577636468871761,1.7263965143456067e-20,NA,53,53,53,1.2814779192593433e-14,0.2025585573818373
ENSG00000227676.3,LINC01068,5.53711664109783,NA,3.0749177929214916e-08,0.011718327750051667,0.0666406744127334,1.0950748491780176e-05,NA,45,46,46,3.2604079826366074e-20,0.16896201206339415
ENSG00000280303.2,ERICD,5.5173667160242825,NA,3.441168838066727e-08,0.04336182829196244,0.17015877573702484,6.789950384882255e-13,NA,32,32,32,4.5215844562024633e-26,0.2617195931149024
ENSG00000129993.14,CBFA2T3,-5.493975005141012,NA,3.92986135095441e-08,0.000491211091336066,0.027697957481397608,0.006427789354058685,NA,5,5,5,1.1584477513103506e-10,0.010817849424266477
ENSG00000253633.1,KB-1980E6.3,-5.380775521658427,NA,7.416563110096887e-08,0.06977330332033961,0.17815452380652513,3.00967909106685e-13,NA,37,37,37,2.5422513872901622e-15,0.06373230215157416
ENSG00000186868.15,MAPT,-5.357170749971612,NA,8.453522360306169e-08,0.0008889350087925644,0.6764999371491011,9.926711070524072e-78,NA,7,41,41,4.843072440285918e-135,0.07780307513724484
ENSG00000225190.10,PLEKHM1,5.347257098890823,NA,8.92971303820446e-08,0.009637052283624492,0.16765036775943262,2.193749558080615e-12,NA,20,32,32,2.5144248730510543e-12,0.2790212465221444
ENSG00000189114.6,BLOC1S3,5.324820086133854,NA,1.0105300895085487e-07,0.0038987721104386886,0.05624669350587875,9.20784048289505e-05,NA,15,16,16,3.41289029473971e-09,0.020355223923053327
ENSG00000127337.6,YEATS4,-5.30993133429963,NA,1.0966654482657425e-07,0.1013743413706922,0.6291808507550465,5.535324455778511e-68,NA,16,17,17,1.5266935722069314e-16,0.18528538049861326
ENSG00000159210.9,SNF8,-5.290693762950412,NA,1.2185324975535553e-07,0.01566110146549366,0.16322958545346267,2.320877860645785e-12,NA,11,11,11,5.7815088468347095e-08,0.060050279543656375
ENSG00000277200.1,RP11-74E22.8,5.279014456072801,NA,1.298805592127013e-07,0.06507229924349409,0.3287235644234797,1.0247820376743491e-25,NA,20,21,21,2.023675867642024e-31,0.2582740502302086
ENSG00000258489.3,RP11-398J10.2,-5.274563010792829,NA,1.3307279174666155e-07,0.015582291581355231,0.09049803155716696,4.5239825034319923e-07,NA,23,24,24,3.5176813409403865e-09,0.10357625542165236
ENSG00000250156.3,LINC02060,5.272910697785378,NA,1.3427691074785322e-07,0.012165938949518838,0.05797749651523825,7.224104122185152e-05,NA,53,55,55,2.975214262780295e-12,0.22707239560209025
ENSG00000131462.7,TUBG1,-5.261293417992438,NA,1.4304554588117707e-07,0.0010634591797888974,0.0412168776449928,0.0008023633104546929,NA,24,25,25,1.2344483907863145e-07,0.011476103123754258
ENSG00000079462.7,PAFAH1B3,-5.233677443267616,NA,1.6617033094757e-07,0.0012231858849201841,0.028254818308560168,0.005961338320567173,NA,6,7,7,1.066933902791365e-13,0.028661782213813863
ENSG00000267780.2,RP11-154H12.3,-5.196300897013757,NA,2.0329311293058423e-07,0.001786443421680244,0.0285554168194804,0.00557030469473305,NA,4,6,6,1.0244392000821037e-14,0.03887367089397797
ENSG00000185324.21,CDK10,5.163404550924977,NA,2.4249826089629484e-07,0.0537894015459929,0.4525144566139068,5.867384811875407e-40,NA,18,18,18,4.4257321891557364e-15,0.09432863815772284
ENSG00000105270.14,CLIP3,-5.141210378318162,NA,2.729741883677712e-07,0.0023773155993906435,0.0646839356380976,2.139986920479113e-05,NA,12,19,19,6.430393771749293e-15,0.02263116297199991
ENSG00000136404.15,TM6SF1,-5.111757315853145,NA,3.1917569242771005e-07,0.006618739397235797,0.01601677322970834,0.0362745120971214,NA,15,15,15,6.8724897591823e-29,0.06964671112283473
ENSG00000163050.16,COQ8A,5.052150597371663,NA,4.368630278747374e-07,0.0025431295059807715,0.046146278462809935,0.00031630981416902817,NA,21,21,21,3.206417275346053e-14,0.026102110666033587
ENSG00000148488.15,ST8SIA6,-5.02373126474207,NA,5.06771352776195e-07,0.04292270950612896,0.11139929788608133,7.52105161661997e-09,NA,32,32,32,2.8564069903923122e-06,0.28041300736563785
ENSG00000151502.10,VPS26B,5.010473575391283,NA,5.429625378957496e-07,0.002953883254961346,0.030593542970874937,0.0038768540392959796,NA,60,65,65,2.434589666801774e-08,0.044266118435803366
ENSG00000250263.1,RP11-765K14.1,4.992610455549591,NA,5.956862580956617e-07,0.018317543765486208,0.1433045071075398,5.937147557430583e-11,NA,23,23,23,1.0156922215696076e-08,0.02459009411833284
ENSG00000108557.18,RAI1,4.965723619288195,NA,6.844537349628697e-07,0.0017867102833662265,0.04087621753763857,0.0008545023940314218,NA,22,23,23,2.2829157857268387e-13,0.015834230448339558
ENSG00000090487.10,SPG21,-4.964184168708141,NA,6.899045412621109e-07,0.005245807767266785,0.1707041702584007,1.2737539919541943e-12,NA,32,32,32,8.896271535802716e-10,0.1427005245190804
ENSG00000203909.3,DPPA5,-4.957833720762704,NA,7.128353039666514e-07,0.004972308185493571,0.02034271182400344,0.019583490523470998,NA,21,21,21,3.5365021768936833e-16,0.031561764460864235
ENSG00000108379.9,WNT3,-4.948706354451144,NA,7.470835739802411e-07,0.003118669700632535,0.12875850654711452,9.915022768597144e-10,NA,18,27,27,2.50668052335975e-26,0.08330225856121376
ENSG00000123908.11,AGO2,4.947771324908769,NA,7.506802464336294e-07,0.09501794795759165,0.4855585029374838,9.095148991845314e-44,NA,51,55,55,3.420783299327621e-08,0.3519972285528032
ENSG00000168078.9,PBK,-4.9179917217368985,NA,8.743660921035186e-07,0.0007546257578636376,0.027370727885789328,0.006304387884061307,NA,16,16,16,9.622756283095678e-16,0.02706390985726672
ENSG00000254130.1,LINC01947,4.888084160043198,NA,1.018220037569055e-06,0.023961392487925275,0.059127808917168234,6.81294124530959e-05,NA,31,35,35,1.4702134420773008e-09,0.10841715747523033
ENSG00000176994.10,SMCR8,4.861022985758381,NA,1.1678069148328995e-06,0.004555346584948279,0.07799858359038013,3.101128007950879e-06,NA,22,23,23,6.548104574141489e-20,0.03999795572820713
ENSG00000160741.16,CRTC2,-4.852198344561167,NA,1.2210041731857378e-06,0.0032577137057553888,0.03976979414548314,0.001165124937204352,NA,65,66,66,8.447647713854101e-09,0.040522620113261056
ENSG00000103111.14,MON1B,4.837488365592002,NA,1.3149007888648702e-06,0.08364426855162374,0.30410763872955354,7.99279072345967e-24,NA,18,19,19,7.879785111990382e-11,0.2304681554237028
ENSG00000204084.12,INPP5B,4.837312943637604,NA,1.3160613871650035e-06,0.031251298326595206,0.2911441671942896,2.096403857361267e-22,NA,24,27,27,1.2161332415579046e-14,0.057752931225708314
ENSG00000169131.11,ZNF354A,4.815031377158349,NA,1.4717676258211949e-06,0.21228661560857026,0.5895546957059742,1.0532242275203215e-61,NA,36,39,39,1.6913146276572834e-09,0.1678952800396274
ENSG00000163703.17,CRELD1,4.790810439079103,NA,1.6610900301020346e-06,0.030570772599507284,0.44968014516904303,3.23486837844115e-39,NA,53,56,56,3.480174354559551e-14,0.08022557691686237
ENSG00000260963.1,RP11-297L17.2,4.7722112070161105,NA,1.8221427435723474e-06,0.0029553896774679664,0.04725345068099389,0.00035547427333299745,NA,59,60,60,8.465053023483754e-23,0.06384492123220899
ENSG00000169291.9,SHE,4.760645545707808,NA,1.9297470849625962e-06,0.017231661647248153,0.17192049303567106,3.802673314592011e-13,NA,29,30,30,1.4039285979439552e-09,0.039894422322250815
ENSG00000136982.5,DSCC1,4.753273505301927,NA,2.001492987034888e-06,0.023346763710243752,0.07850509337947853,3.694815559735324e-06,NA,77,78,78,1.2516794335138093e-11,0.13014108072282485
ENSG00000128641.18,MYO1B,-4.745850108820534,NA,2.076324322821079e-06,0.008000542796459228,0.09329240430212712,2.5785798560798977e-07,NA,25,27,27,4.5238911522332084e-10,0.12876961308987492
ENSG00000128944.13,KNSTRN,4.739002883407186,NA,2.147724487285571e-06,0.0041379317894824335,0.10941484332788608,1.5339973258052467e-08,NA,18,19,19,2.8303157787989732e-06,0.037860449022636855
ENSG00000128268.11,MGAT3,4.734192089765249,NA,2.199293660192007e-06,0.14049663490170788,0.5998835199531694,3.6503459537688498e-62,NA,14,16,16,1.1834830105643556e-07,0.1727152853539918
ENSG00000187753.12,C9orf153,-4.732506677214337,NA,2.217640070224878e-06,0.022576583207426275,0.34691940482117545,5.138571777964785e-28,NA,49,54,54,2.369276812384917e-08,0.038868743969688827
ENSG00000267198.1,RP11-798G7.6,-4.725728955936091,NA,2.2929132119264934e-06,0.034597635084335186,0.11294347574473675,1.5296103424560945e-08,NA,8,10,10,1.186179735849227e-133,0.14165919511918684
ENSG00000148925.10,BTBD10,-4.725174434817141,NA,2.2991791119028885e-06,0.0015477487313688882,0.045040559756642916,0.00044636261736074435,NA,51,51,51,1.894131736428144e-12,0.009192882467533152
ENSG00000143801.16,PSEN2,-4.706792153250762,NA,2.5164524678548252e-06,0.0012398661203855735,0.05501129813120998,7.140708135235599e-05,NA,17,17,17,1.752839077343639e-14,0.018564058888784228
