gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000137764.19,MAP2K5,-12.974160920501674,NA,1.7146373921003632e-38,0.02884360044391452,0.2523075133003721,3.699693987988196e-33,NA,17,17,17,8.641896146899121e-46,0.05137106830083602
ENSG00000272911.1,RP11-74E22.6,11.099806308720746,NA,1.257160360936661e-28,0.06729630386701832,0.1888628903867376,4.1006100944909975e-24,NA,19,19,19,1.1571781287187759e-38,0.1503643381510137
ENSG00000196670.13,ZFP62,-10.601348293745806,NA,2.937148162370181e-26,0.013341914721157571,0.2165657231552509,6.938111861574055e-28,NA,18,23,23,1.6383214203554685e-28,0.06063485243140265
ENSG00000227373.5,RP11-160H22.5,10.049545288808874,NA,9.229228927914563e-24,0.09881459338918358,0.19792374609521607,5.867382848040329e-25,NA,29,29,29,1.0985964927505365e-34,0.05849505708768836
ENSG00000179603.17,GRM8,9.55488035224967,NA,1.2372680316038837e-21,0.010835011782920498,0.07497690499087921,1.1557653094392913e-09,NA,57,57,57,4.833753683827569e-62,0.01594683606768952
ENSG00000275759.1,RP11-131L12.3,-9.544511708465786,NA,1.367502795679376e-21,0.15125381903598023,0.3453598872186293,1.401121049620405e-48,NA,77,82,82,2.449972748881034e-31,0.11156902077800483
ENSG00000188779.10,SKOR1,-9.397858992016282,NA,5.568458704270023e-21,0.02616205847642997,0.20080457376184874,8.192180984389046e-26,NA,36,36,36,1.0131633607810182e-49,0.050848307175557036
ENSG00000211450.9,SELENOH,-9.321944302015085,NA,1.1422757130868116e-20,0.0015941324336414785,0.051852513310680685,5.923778377632064e-07,NA,11,11,11,1.0754013959374654e-58,0.025086415500566832
ENSG00000238083.7,LRRC37A2,-8.937585471502276,NA,3.977660164464174e-19,0.04530879862353465,0.6434369556013416,3.258096460856257e-126,NA,47,94,94,5.541650969997795e-139,0.15051071970754906
ENSG00000149548.14,CCDC15,8.918472702593414,NA,4.727626318217262e-19,0.05522686289083638,0.27361469025198315,5.211851350619532e-36,NA,25,29,29,1.3181727769600038e-10,0.2500196458054107
