gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000238083.7,LRRC37A2,-11.701529695456628,NA,1.2517641734758867e-31,0.01791532109491988,0.5284287368591077,7.15943090188377e-19,NA,18,31,31,4.2126025790738485e-120,0.11483807547437673
ENSG00000137764.19,MAP2K5,-11.592317794155495,NA,4.5076687742146515e-31,0.037958744282772586,0.3064980027796359,1.1908989706760012e-09,NA,24,24,24,8.641896146899121e-46,0.0929830909522465
ENSG00000275759.1,RP11-131L12.3,-10.516816228582707,NA,7.227464130831423e-26,0.02991658127887736,0.1925115228007508,6.185567724560031e-06,NA,37,37,37,2.449972748881034e-31,0.12359547469722278
ENSG00000188779.10,SKOR1,-8.678674990077392,NA,4.004061170376008e-18,0.06315186133683745,0.05352583122696988,0.020577023647212738,NA,92,99,99,1.7814122815033282e-49,0.1703250870578117
ENSG00000187122.16,SLIT1,-8.12582498713229,NA,4.443297675101008e-16,0.10052427270677122,0.3132708794915966,4.2016756637381503e-10,NA,25,26,26,9.04472368237692e-26,0.1908323543714176
ENSG00000161618.9,ALDH16A1,7.99369784236086,NA,1.3095047124973011e-15,0.052646691158230924,0.1865450384613168,3.6670437359956323e-06,NA,17,19,19,2.318178651151659e-17,0.041792005465946136
ENSG00000272823.1,RP11-295M18.6,7.650314859511785,NA,2.004878006711908e-14,0.03487139134865743,0.17434185909609282,1.960917609359677e-05,NA,19,19,19,5.26457817562236e-13,0.18000928727816712
ENSG00000121769.7,FABP3,7.397768290547198,NA,1.384922304058026e-13,0.00446964118156651,0.0785878048358866,0.005784982296464715,NA,17,18,18,6.659265233916234e-36,0.03229501613612814
ENSG00000174697.4,LEP,5.784247083171692,NA,7.283781785799267e-09,0.005149282077169197,0.04048132148350725,0.047719976497003484,NA,7,7,7,6.553470304110777e-12,0.04032459933815365
ENSG00000238078.1,LINC01352,5.679360023930266,NA,1.351996383491039e-08,0.010731767204425886,0.07995455758352422,0.003392091242940716,NA,7,7,7,5.26457817562236e-13,0.04370366779897816
ENSG00000151743.10,AMN1,5.580824157220496,NA,2.3938156358281016e-08,0.005083938890218817,0.13213655657374251,0.00017088703191093442,NA,4,4,4,1.7701683667398104e-08,0.02525655944222284
