gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000156603.15,MED19,-12.774374406957161,NA,2.2797329583205634e-37,0.009252769118934735,0.058917959523955475,0.00936116459870341,NA,33,34,34,8.791662130935678e-59,0.07803003161745037
ENSG00000137764.19,MAP2K5,-10.430404218473036,NA,1.8012040392887846e-25,0.007792714773569333,0.11639644168601465,0.00013572411658637217,NA,9,9,9,2.7790223756218233e-41,0.03776819139784016
ENSG00000205078.5,SYCE1L,8.939569627047947,NA,3.906889295551002e-19,0.050964321162242865,0.2910855694742828,4.516003813716803e-11,NA,21,21,21,1.8653233579517234e-54,0.06149643600458024
ENSG00000238083.7,LRRC37A2,-8.456601184677995,NA,2.7528340250941224e-17,0.040011278449312085,0.4730204796815902,2.4017610245105516e-18,NA,24,47,47,5.541650969997795e-139,0.09076256374920263
ENSG00000176681.14,LRRC37A,-8.383632232236625,NA,5.131896558507416e-17,0.09518354802110998,0.3239921338058324,1.0006335162584552e-11,NA,30,43,43,7.627772354574047e-37,0.2702989552989761
ENSG00000275759.1,RP11-131L12.3,-7.88516051408182,NA,3.1413146757192582e-15,0.05998922777055107,0.14647503525682745,2.651287346085284e-05,NA,91,93,93,2.449972748881034e-31,0.13438641226610004
ENSG00000169609.13,C15orf40,7.2222959863635765,NA,5.111705963845634e-13,0.046321695731739214,0.1030771318716342,0.00030565955477831406,NA,30,31,31,1.5023611207847253e-16,0.1577121230397637
ENSG00000149305.6,HTR3B,-6.698221637448756,NA,2.1097112672322415e-11,0.002882588307910627,0.05684224953974016,0.009613189158899927,NA,11,12,12,9.380065489796351e-13,0.06685545368902307
ENSG00000187122.16,SLIT1,-6.429690462374437,NA,1.2786405398664363e-10,0.018071382464666517,0.1796979494447514,1.5396028928278302e-06,NA,15,15,15,1.563010577879299e-22,0.022727184383109618
ENSG00000125485.17,DDX31,-6.1566070781361635,NA,7.431993177188421e-10,0.11493813849979115,0.4720573881415059,8.938824420380981e-19,NA,53,55,55,1.0259764321043857e-14,0.09963909940649587
ENSG00000186115.12,CYP4F2,-6.133494928803929,NA,8.596916023459848e-10,0.013364876867842542,0.06658066090747655,0.0050674270287194454,NA,6,6,6,1.199989176643001e-12,0.07677110319039876
ENSG00000126790.11,L3HYPDH,-5.842096101552799,NA,5.154805299504617e-09,0.05246730857299199,0.2505580788765253,1.2616552830907894e-08,NA,33,33,33,8.444615943171052e-13,0.05836081794045037
ENSG00000178927.17,C17orf62,-5.816306884992445,NA,6.01619725021092e-09,0.013995882493242297,0.051020435842234965,0.015704926092852883,NA,21,21,21,3.5234287451187714e-12,0.11784298990854356
ENSG00000175003.12,SLC22A1,5.632700951873624,NA,1.7740893726148014e-08,0.02156527626329891,0.10811299798646147,0.00017641110548644644,NA,10,10,10,9.353774490654946e-11,0.12783476749415829
ENSG00000204084.12,INPP5B,5.527614075420564,NA,3.2461515097087066e-08,0.00820728607492837,0.17448715798541628,3.648490780217923e-06,NA,15,15,15,1.2161332415579046e-14,0.02798526361413217
ENSG00000273559.4,CWC25,5.270510354139962,NA,1.360449507947093e-07,0.0017075575547826067,0.10676627547163124,0.00043766540634112254,NA,2,10,10,2.1848804255486564e-08,0.06604350312586739
