gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000137764.19,MAP2K5,-11.706342203698215,NA,1.1827275038767931e-31,0.02253117318638586,0.19981652769565936,1.497370961434993e-29,NA,19,23,23,1.0131633607810182e-49,0.04600548174290637
ENSG00000225190.10,PLEKHM1,10.713556664888578,NA,8.791785445112366e-27,0.0005268134822320105,0.01956261444790999,0.0009953027438543394,NA,19,25,25,4.2126025790738485e-120,0.030288916854479868
ENSG00000272911.1,RP11-74E22.6,10.206019689490955,NA,1.8635328293929296e-24,0.05433801287622954,0.2410643176483644,5.9338311062107e-36,NA,10,10,10,1.6320338561944085e-34,0.13565558009946851
ENSG00000163344.5,PMVK,-9.748447938780965,NA,1.873099774289391e-22,0.00047337351018780733,0.017149053522511767,0.0021896053105229267,NA,6,7,7,9.1541047755824e-25,0.02811580667423953
ENSG00000149131.15,SERPING1,9.618961416968887,NA,6.649918657781038e-22,0.007165553166255289,0.014462089601281132,0.004750375911276424,NA,65,66,66,7.103303355455983e-84,0.1177624101704428
ENSG00000227373.5,RP11-160H22.5,8.877505156666725,NA,6.837666923961612e-19,0.02141473336486566,0.06571550262840868,9.638065005364882e-10,NA,24,24,24,3.389092885336974e-34,0.1381357448618851
ENSG00000126091.19,ST3GAL3,-8.8743888557598,NA,7.031846999110097e-19,0.0007010897683649192,0.012148997517633648,0.009651909756692051,NA,4,5,5,2.624406850766712e-23,0.029252186179221963
ENSG00000187122.16,SLIT1,-8.722578741996777,NA,2.719364457117648e-18,0.07149057260338673,0.3048153135491786,4.785034311741754e-48,NA,56,56,56,2.8273059355659263e-25,0.10643533079003743
ENSG00000213593.9,TMX2,8.520912837392636,NA,1.5830064020965987e-17,0.00501103542518778,0.05542104145484796,1.9285909697927483e-08,NA,44,44,44,7.103303355455983e-84,0.08819984599102641
ENSG00000100024.14,UPB1,8.510665596739635,NA,1.7293772695461032e-17,0.019583069645170315,0.11488221101755247,1.8161021856231756e-16,NA,59,63,63,2.872677029740467e-20,0.026349558794458255
