trait	nvec	svec
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1000.0	8.58408991888382e-08
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1258.9254117941673	8.788745553545141e-08
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1584.8931924611136	9.053982097384505e-08
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1995.2623149688811	9.400411009607978e-08
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	2511.886431509583	9.857394118739649e-08
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	3162.2776601683813	1.0467914890455177e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	3981.071705534977	1.1296974982144547e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	5011.8723362727305	1.2446710684343998e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	6309.57344480194	1.4084944304215697e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	7943.282347242831	1.6501925692580244e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	10000.000000000022	2.0229064183752144e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	12589.254117941715	2.629997595704481e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	15848.931924611175	3.6849219924306454e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	19952.623149688825	5.652855385562817e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	25118.864315095878	9.591019363597297e-07
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	31622.776601683923	1.796584295732373e-06
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	39810.71705534985	3.6582756905545464e-06
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	50118.72336272734	7.900883940692437e-06
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	63095.73444801955	1.763107618444337e-05
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	79432.82347242857	3.9750767064106186e-05
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	100000.00000000044	8.903086600184907e-05
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	125892.54117941714	0.00019574716334318508
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	158489.31924611202	0.00041898757372109684
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	199526.23149688912	0.0008678145019075601
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	251188.64315095922	0.0017311618496023585
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	316227.76601683913	0.003313852888823021
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	398107.17055349954	0.006070685837767087
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	501187.2336272754	0.010625445609912276
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	630957.3444801966	0.017760568088851868
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	794328.2347242852	0.02836879367241636
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1000000.0000000059	0.043369307462126014
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1258925.4117941768	0.06360243456438183
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1584893.1924611246	0.08972365730442107
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	1995262.314968891	0.12211651848629117
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	2511886.431509598	0.16083742659538985
/media/kame/Data/_workings/projects/StressNSSIGenetics/1_GlobalRg/results/MiXeR/uni/combined/PTSD.fit.json	3162277.6601684038	0.2055964522063732
