phenotype	cases	controls	filename
SESA	NA	NA	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/SESA.sumstats.txt
ADHD	19099	34194	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/ADHD.sumstats.txt
AN	16992	55525	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/AN.sumstats.txt
ANX	56552	362304	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/ANX.sumstats.txt
ASD	18381	27969	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/ASD.sumstats.txt
BIP	20352	31358	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/BIP.sumstats.txt
MDD	45396	97250	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/MDD.sumstats.txt
OCD	2688	7037	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/OCD.sumstats.txt
PTSD	NA	NA	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/PTSD.sumstats.txt
SCZ	53386	77258	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/SCZ.sumstats.txt
SelfHarm	11538	488810	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/SelfHarm.sumstats.txt
TS	4819	9488	D:/_workings/projects/StressPsyGenetics/2_LocalRg/results/LAVA/TS.sumstats.txt
