PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.4023	rs1891910	-4.64	rs3094315	0.237736	6.23	-0.146	156	12	enet	0.22	4.6e-10	-0.479	0.632
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2867	rs1891910	-4.64	rs1891906	0.192776	-5.78	-0.657	184	9	enet	0.18	1.7e-08	0.601	0.548
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.5943	rs1891910	-4.64	rs6687776	0.17093	-6.24	0.0877	216	11	enet	0.21	7.9e-10	-0.64	0.522
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.3349	rs1891910	-4.64	rs12036216	0.17227	-5.52	-0.281	229	30	enet	0.13	1.4e-06	-0.619	0.536
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1549	rs1891910	-4.64	rs4970432	0.070786	4.35	0.148	253	7	enet	0.033	0.012	0.561	0.575
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2115	rs1891910	-4.64	rs35242196	0.132672	5.05	-0.583	276	7	enet	0.077	0.00025	-0.687	0.492
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.7129	rs1891910	-4.64	rs12089560	0.457442	-8.69	0.792	283	30	enet	0.49	1.6e-24	-0.251	0.802
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.2295	rs1891910	-4.64	rs1240707	0.024951	-4.27	0.808	285	24	enet	0.064	0.00081	1.31	0.189
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.5089	rs1891910	-4.64	rs873927	0.300558	-7.17	-2.11	288	16	enet	0.25	2.2e-11	1.85	0.0647
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.6705	rs1891910	-4.64	rs2031709	0.274041	-6.71	2.15	285	46	enet	0.2	4.1e-09	-2.45	0.0144
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.1497	rs11586188	4.08	rs7517401	0.035076	-3.9	-0.295	279	21	enet	0.03	0.017	0.406	0.685
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.1318	rs3128317	-4.81	rs7531530	0.000319	3.6	0.355	281	8	enet	0.0075	0.14	0.351	0.725
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.4876	rs3128317	-4.81	rs4648786	0.168856	-5.38	0.182	306	42	enet	0.29	2.1e-13	-1.29	0.197
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.4596	rs3128317	-4.81	rs601141	0.01274	3.57	0.686	295	64	enet	0.22	4.9e-10	0.714	0.475
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.208	rs3128317	-4.81	rs11260622	0.011963	3.96	0.0324	289	11	enet	0.052	0.0024	0.666	0.506
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.4601	rs3128317	-4.81	rs12742323	0.298479	-7.42	-0.554	317	23	enet	0.32	4.7e-15	0.329	0.742
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000142609.17.wgt.RDat	ENSG00000142609.17	1	2003836	2003837	0.2937	rs34241773	10.5	rs12758705	0.120185	-5.18	-1.63	358	14	enet	0.12	4.9e-06	1.1	0.273
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000233542.1.wgt.RDat	ENSG00000233542.1	1	2015529	2015530	0.3936	rs34241773	10.5	rs13303344	0.255297	-6.51	0.404	363	17	enet	0.24	5.2e-11	-0.645	0.519
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.2167	rs34241773	10.5	rs3795272	0.10625	-4.59	-0.255	350	3	enet	0.043	0.0051	0.793	0.427
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.458	rs34241773	10.5	rs2055204	0.243011	-6.36	0.331	349	43	enet	0.25	1.9e-11	0.252	0.801
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.5121	rs34241773	10.5	rs2840528	0.166187	5.89	0.398	346	19	enet	0.25	1.7e-11	0.155	0.877
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.2992	rs34241773	10.5	rs1107685	0.21919	6.05	-0.668	356	7	enet	0.17	7e-08	-0.276	0.782
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000157881.13.wgt.RDat	ENSG00000157881.13	1	2526627	2526628	0.2487	rs34241773	10.5	rs2247308	0.054485	-4.69	-0.623	357	8	enet	0.068	0.00059	0.686	0.493
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.5361	rs10915459	4.37	rs4073324	0.271781	-6.6	-3.49	570	10	enet	0.23	8e-11	1.73	0.0839
Brain_Frontal_Cortex_BA9	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Frontal_Cortex_BA9/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.3316	rs11588889	-6.71	rs12120967	0.128899	-5.18	-1.35	506	48	enet	0.14	8.6e-07	0.664	0.507
