GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     26       1  351827       1.7463     0.040379        0.045   1000
339451       1     895967     901099      5       1  351827      0.51977      0.30161        0.304   1000
54991        1    1017198    1051736     71       6  351827     -0.44384      0.67142        0.682   1000
254173       1    1109286    1133315     41       5  351827       1.5375      0.06208        0.066   1000
126792       1    1167629    1170421    103       3  351827      -2.3144      0.98968        0.989   1000
54998        1    1309110    1310818      1       1  351827      -1.9152      0.97227        0.968   1000
55052        1    1337276    1342693     62       3  351827      0.47533      0.31727        0.329   1000
441869       1    1353800    1356824    190      10  351827     0.086012      0.46573        0.498   1000
219293       1    1378152    1405538     47       6  351827      0.93882      0.17391        0.199   1000
83858        1    1407139    1444852    108       9  351827       1.4152     0.078498        0.081   1000
29101        1    1477053    1510262     27       2  351827     0.091458      0.46356        0.475   1000
984          1    1571100    1590473     14       1  351827       1.0868      0.13857        0.134   1000
728661       1    1591486    1624243     44       5  351827      0.74368      0.22853        0.232   1000
728642       1    1633822    1655999      3       2  351827      -1.1585      0.87668        0.884   1000
9906         1    1656277    1677438     24       4  351827       1.0372      0.14982         0.16   1000
65220        1    1682671    1711508     47       3  351827     -0.41178      0.65975        0.663   1000
163688       1    1846266    1848733     81       6  351827     -0.66543      0.74711        0.752   1000
85452        1    1853390    1935276    128       7  351827      0.65349      0.25672         0.26   1000
5590         1    1981909    2116834      1       1  351827     0.053502      0.47867         0.48   1000
199990       1    2115899    2144159      8       2  351827      -1.0036      0.84221        0.842   1000
79906        1    2251719    2323190     37       4  351827     -0.33584      0.63151        0.628   1000
8764         1    2487291    2495268    101       3  351827      0.12872      0.44879        0.441   1000
100287898    1    2572807    2706230    139       3  351827     0.093077      0.46292        0.452   1000
27237        1    3371147    3397677     13       1  351827     -0.83944      0.79939        0.793   1000
49856        1    3547331    3566671     23       3  351827     -0.24274       0.5959        0.579   1000
388588       1    3689352    3692546      5       1  351827      -1.1412      0.87311        0.884   1000
