GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
84069        1     901872     910488      7       3  351827      -1.0627      0.85604        0.871   1000
84808        1     910579     917473      4       1  351827      0.25222      0.40044        0.384   1000
9636         1     948847     949920     17       1  351827      -1.2233      0.88938        0.877   1000
54991        1    1017198    1051736     88       4  351827      -1.1276      0.87026        0.886   1000
8784         1    1138888    1142163     33       1  351827     -0.19883       0.5788        0.605   1000
7293         1    1146706    1149703     46       4  351827      0.26421      0.39581        0.385   1000
51150        1    1152288    1167447     77       2  351827        -1.99       0.9767        0.971   1000
126792       1    1167629    1170421     20       2  351827      -0.5557      0.71079        0.722   1000
118424       1    1189292    1209234      8       1  351827     0.066528      0.47348        0.469   1000
6339         1    1215816    1227409     88       7  351827      0.31202      0.37751        0.357   1000
54587        1    1288071    1297183     54       2  351827    -0.091575      0.53648        0.537   1000
55052        1    1337276    1342693     41       2  351827       0.4722      0.31839        0.326   1000
441869       1    1353800    1356824    276      13  351827   0.00045042      0.49982        0.491   1000
219293       1    1378152    1405538    135      11  351827      0.19267      0.42361        0.445   1000
83858        1    1407139    1444852     61       6  351827       1.6522     0.049246        0.054   1000
55210        1    1447523    1470067     48       4  351827      0.52944      0.29825        0.284   1000
339453       1    1470158    1475740     12       1  351827     -0.17731      0.57037        0.583   1000
29101        1    1477053    1510262     44       2  351827      0.07483      0.47018        0.473   1000
728661       1    1591486    1624243     38       5  351827      0.84021      0.20039        0.212   1000
728642       1    1633822    1655999      1       1  351827     -0.28596      0.61254        0.628   1000
65220        1    1682671    1711508     53       3  351827     -0.79594      0.78697        0.779   1000
85452        1    1853390    1935276    220      11  351827      0.45392      0.32494        0.315   1000
199990       1    2115899    2144159     13       3  351827       -1.371      0.91482        0.905   1000
79906        1    2251719    2323190     24       3  351827      0.01563      0.49376        0.513   1000
5192         1    2336241    2344010      5       1  351827      0.43655      0.33122        0.331   1000
127281       1    2517899    2522908     89       2  351827     0.051548      0.47944        0.476   1000
1953         1    3404506    3528059     11       3  351827      -1.5863      0.94367        0.937   1000
127262       1    3541556    3546695      1       1  351827      0.49394      0.31067        0.299   1000
388588       1    3689352    3692546      3       1  351827      0.90504      0.18272        0.202   1000
57470        1    3696784    3713068     10       2  351827       0.2152      0.41481        0.399   1000
1677         1    3773845    3801993    129      10  351827      0.93989      0.17364         0.17   1000
339448       1    3805697    3816857     50       4  351827         1.25      0.10565        0.092   1000
261734       1    5922870    6052618    243       9  351827       1.7239     0.042364        0.035   1000
23463        1    6281253    6296044     38       3  351827     -0.22845      0.59035        0.603   1000
387509       1    6307406    6321035     65       5  351827       0.1827      0.42752        0.428   1000
8718         1    6520787    6527432      3       2  351827      -1.7014      0.95557        0.949   1000
57449        1    6526152    6580121     18       3  351827      -1.6778       0.9533        0.951   1000
90326        1    6684925    6695646     12       1  351827      -1.1132      0.86719        0.856   1000
9341         1    7831329    7841492     12       1  351827      -1.0085      0.84339        0.826   1000
473          1    8412464    8877699     44       2  351827       2.0792     0.018799        0.029   1000
9563         1    9294822    9331396     10       1  351827      -1.1326       0.8713        0.874   1000
