PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000228327.3.wgt.RDat	ENSG00000228327.3	1	778625	778626	0.0499	rs1891910	-4.64	rs7528416	0.003844	3.69	0.152286	137	25	enet	0.0057	0.037	-0.04194	0.967
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.227	rs1891910	-4.64	rs3094315	0.037427	4.85	-0.146306	137	25	enet	0.12	5.2e-18	-0.12914	0.897
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000228794.8.wgt.RDat	ENSG00000228794.8	1	825137	825138	0.1612	rs1891910	-4.64	rs3131969	0.10973	-8.58	-0.521136	156	14	enet	0.11	9.8e-17	-0.2072	0.836
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.0783	rs1891910	-4.64	rs2340582	0.028847	4.58	-2.97679	181	14	enet	0.0092	0.011	-2.97173	0.00296
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1076	rs1891910	-4.64	rs1110052	0.021794	-4.43	0.457433	181	21	enet	0.034	4.7e-06	-2.06026	0.0394
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.0703	rs1891910	-4.64	rs6694632	0.002616	3.82	-0.412418	182	31	enet	0.015	0.0017	2.40519	0.0162
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.0684	rs1891910	-4.64	rs6657048	-0.001304	3.42	-0.051594	184	31	enet	0.013	0.0033	-0.97303	0.331
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1137	rs1891910	-4.64	rs2710888	0.050037	-5.63	-1.489351	187	13	enet	0.061	7e-10	-0.1566	0.876
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.0701	rs1891910	-4.64	rs4314833	0.049015	5.73	0.482721	228	5	enet	0.039	7.7e-07	-0.05974	0.952
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.0714	rs1891910	-4.64	rs6697886	0.053844	-6.58	0.046223	229	14	enet	0.05	2.4e-08	0.14907	0.881
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.1085	rs1891910	-4.64	rs7524470	0.012582	4.61	-0.331856	245	24	enet	0.035	2.9e-06	0.68128	0.496
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000169972.11.wgt.RDat	ENSG00000169972.11	1	1308566	1308567	0.0514	rs1891910	-4.64	rs12103	0.035134	-5.5	-0.831925	252	12	enet	0.035	3e-06	0.73969	0.459
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.0885	rs1891910	-4.64	rs9439458	0.009524	4.43	-1.453747	253	25	enet	0.039	8.8e-07	-0.77276	0.44
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1308	rs1891910	-4.64	rs12142199	0.055354	6.87	-1.039138	253	39	enet	0.074	1e-11	-0.93692	0.349
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000224051.6.wgt.RDat	ENSG00000224051.6	1	1324755	1324756	0.0437	rs1891910	-4.64	rs1739855	0.008855	4.57	0.08003	253	13	enet	0.0092	0.011	0.08886	0.929
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1497	rs1891910	-4.64	rs35242196	0.111537	8.46	-0.583314	276	17	enet	0.1	7.4e-16	-1.73812	0.0822
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.1229	rs1891910	-4.64	rs2765021	0.132117	-9.57	0.250194	276	9	enet	0.15	1.9e-22	-1.04469	0.296
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.123	rs1891910	-4.64	rs12089560	0.124895	-8.88	0.791504	283	27	enet	0.11	2.5e-16	0.02688	0.979
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.0652	rs1891910	-4.64	rs3820075	0.004674	-4.51	0.348363	288	6	enet	0.0034	0.085	-0.22177	0.824
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.3733	rs1891910	-4.64	rs2031709	0.111718	-8.37	2.149189	285	43	enet	0.15	4e-22	-4.43053	9.4e-06
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.0674	rs11586188	4.1	rs819980	0.005459	-4.39	-0.773099	279	22	enet	0.016	0.0014	0.65763	0.511
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.0844	rs3128317	-4.81	rs7519837	0.036269	5.38	0.217693	281	5	enet	0.025	7.4e-05	0.31114	0.756
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000272106.1.wgt.RDat	ENSG00000272106.1	1	1615794	1615795	0.2379	rs3128317	-4.81	rs4648611	0.117161	8.46	-0.875127	290	23	enet	0.12	9.2e-18	-0.16094	0.872
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000197530.12.wgt.RDat	ENSG00000197530.12	1	1615878	1615879	0.2755	rs3128317	-4.81	rs4648611	0.098897	8.03	-0.875127	290	18	enet	0.13	7.1e-20	0.45755	0.647
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.5469	rs3128317	-4.81	rs6604981	0.306243	13.44	1.827854	306	7	enet	0.3	6e-47	1.67734	0.0935
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7798	rs3128317	-4.81	rs6699975	0.186138	10.55	-1.099054	306	40	enet	0.43	2.4e-73	-1.02282	0.306
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.4499	rs3128317	-4.81	rs3737622	0.03154	4.74	-0.094162	293	76	enet	0.11	7e-17	0.33354	0.739
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.7602	rs3128317	-4.81	rs6699975	0.180681	-10.48	-1.099054	294	39	enet	0.38	6.3e-64	1.4314	0.152
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.702	rs3128317	-4.81	rs6699975	0.231403	11.74	-1.099054	290	69	enet	0.29	1.2e-45	-1.28207	0.2
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.0877	rs3128317	-4.81	rs35672141	0.03132	-5.21	-1.033834	288	8	enet	0.048	4.9e-08	-0.17603	0.86
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000078369.17.wgt.RDat	ENSG00000078369.17	1	1891116	1891117	0.0567	rs3128317	-4.81	rs745910	0.000648	3.9	-0.107119	317	13	enet	-0.0011	0.56	0.16867	0.866
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2847	rs3128317	-4.81	rs16824526	0.29102	-13.3	-0.282145	317	14	enet	0.3	1.9e-48	0.27257	0.785
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.1476	rs3128317	-4.81	rs2803349	0.195653	10.94	0.506217	328	12	enet	0.2	3.5e-30	0.66909	0.503
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000178821.12.wgt.RDat	ENSG00000178821.12	1	1919272	1919273	0.2063	rs3128317	-4.81	rs2748986	0.214363	-11.48	-1.335594	328	20	enet	0.22	8.7e-34	1.80246	0.0715
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.1428	rs34241773	10.5	rs2503701	0.051433	-6.59	0.746824	379	14	enet	0.064	2.8e-10	0.06555	0.948
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.5272	rs34241773	10.5	rs2503706	0.181494	10.42	0.35257	376	29	enet	0.27	4.9e-43	0.9971	0.319
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000157911.9.wgt.RDat	ENSG00000157911.9	1	2413796	2413797	0.1219	rs34241773	10.5	rs1129332	0.083249	7.46	-0.915023	352	11	enet	0.084	4.4e-13	-1.0649	0.287
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000272449.1.wgt.RDat	ENSG00000272449.1	1	2546464	2546465	0.0474	rs34241773	10.5	rs3107126	-0.000376	3.18	-0.319056	368	7	enet	-9e-04	0.49	-0.20528	0.837
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.3667	rs2651927	-4.27	rs12408890	0.117688	-9.9	0.081158	543	18	enet	0.23	1e-34	-0.87548	0.381
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000162592.9.wgt.RDat	ENSG00000162592.9	1	3752397	3752398	0.1241	rs10915459	4.37	rs2298222	0.048024	-6.27	1.102306	544	17	enet	0.061	8e-10	-1.00376	0.315
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000130764.9.wgt.RDat	ENSG00000130764.9	1	3796503	3796504	0.1443	rs10915459	4.37	rs8520	0.027641	-6.58	0.699391	542	46	enet	0.075	7.3e-12	-0.21773	0.828
Muscle_Skeletal	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Muscle_Skeletal/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.1083	rs10915459	4.37	rs4648424	0.081936	-7.2	0.523163	574	7	enet	0.069	5.3e-11	-0.6778	0.498
