PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.344	rs1891910	-4.64	rs2341362	0.142432	-3.98	-0.561106	153	20	enet	0.17	1.1e-05	0.27494	0.783
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.407	rs1891910	-4.64	rs1891906	0.194943	-4.56	-0.657189	184	25	enet	0.23	2e-07	1.09248	0.275
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.401	rs11586188	4.77	rs2341362	-0.010016	-3.93	-0.561106	203	18	enet	0.078	0.0029	-0.2029	0.839
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.52	rs1891910	-4.64	rs35242196	0.206045	4.69	-0.583314	276	5	enet	0.073	0.0037	-1.06432	0.287
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.351	rs1891910	-4.64	rs11260584	-0.000607	-3.88	-0.167702	283	28	enet	0.096	0.00098	-0.20759	0.836
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.543	rs1891910	-4.64	rs1695824	0.514007	-7.21	-1.891308	288	22	enet	0.38	7.4e-12	1.82129	0.0686
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.587	rs1891910	-4.64	rs7524470	0.024008	-4.48	-0.292854	285	13	enet	-0.0097	0.83	-1.89369	0.0583
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.37	rs3128317	-4.81	rs4648786	0.09417	-4.27	0.123343	306	27	enet	0.18	6.7e-06	-0.43949	0.66
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.519	rs3128317	-4.81	rs12126768	0.29766	-5.9	-0.517169	317	19	enet	0.29	4.4e-09	0.45597	0.648
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.396	rs34241773	10.5	rs4443836	0.139697	-3.89	9.285843	343	19	enet	0.095	0.0011	-6.60638	3.94e-11
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.334	rs34241773	10.5	rs903903	0.183817	-4.47	-0.039835	355	9	enet	0.11	0.00035	0.01888	0.985
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000177133.10.wgt.RDat	ENSG00000177133.10	1	3068436	3068437	0.349	rs2651927	-4.27	rs6691208	0.001575	-3.77	1.137114	379	41	enet	-0.0052	0.49	-0.45665	0.648
Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000235169.7.wgt.RDat	ENSG00000235169.7	1	3772787	3772788	0.383	rs10915459	4.37	rs1181876	0.103432	4.13	-2.515503	546	70	enet	0.089	0.0015	-0.07954	0.937
