GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
55052        1    1337276    1342693     63       3  351827      0.42129      0.33677        0.341   1000
441869       1    1353800    1356824     93       4  351827      0.14766      0.44131         0.43   1000
219293       1    1378152    1405538     42       4  351827      0.74215        0.229        0.216   1000
83858        1    1407139    1444852     96       8  351827       1.3926     0.081866        0.085   1000
728661       1    1591486    1624243     26       3  351827       1.0795      0.14018        0.141   1000
65220        1    1682671    1711508      1       1  351827     -0.49361      0.68921        0.683   1000
9651         1    2407754    2436964      4       1  351827       3.4902   0.00024135       0.0001  10000
339448       1    3805697    3816857      4       1  351827       0.1471      0.44153        0.474   1000
261734       1    5922870    6052618     63       3  351827      0.88224      0.18882        0.214   1000
9563         1    9294822    9331396     17       3  351827      0.40134      0.34408         0.34   1000
5195         1   10535003   10690815      2       1  351827      0.64367       0.2599        0.246   1000
9927         1   12040238   12073572      2       1  351827      -1.5484      0.93923         0.94   1000
60672        1   12079299   12092106      8       1  351827     -0.13934      0.55541        0.542   1000
842          1   15817896   15851407     45       1  351827    0.0068389      0.49727        0.511   1000
284723       1   16062721   16067884     17       2  351827     -0.13303      0.55292        0.546   1000
1187         1   16348486   16360548    169       6  351827       0.9959      0.15965        0.158   1000
348487       1   16384264   16400127     34       2  351827     -0.42272      0.66375        0.661   1000
128272       1   16524599   16539104     11       1  351827     -0.71871      0.76384        0.745   1000
9696         1   17248445   17299474     16       2  351827      0.15011      0.44034        0.428   1000
23065        1   19542158   19578053     88       4  351827     -0.28385      0.61174        0.589   1000
22977        1   19609057   19615280      2       1  351827      0.97507      0.16476        0.157   1000
8574         1   19629202   19638640      4       2  351827      0.25799      0.39821        0.381   1000
23252        1   20208356   20239438     47       4  351827      -2.4506      0.99287        0.992   1000
55450        1   20808884   20812728     69       3  351827      0.39223      0.34745        0.342   1000
79594        1   20825941   20834674     50       3  351827      -1.9286      0.97311        0.975   1000
57576        1   20990475   21044317     20       2  351827       1.5583     0.059586         0.06   1000
84224        1   21766583   21811393    105       6  351827     -0.94016      0.82643         0.84   1000
2048         1   23037263   23241823      7       1  351827     -0.19603       0.5777        0.573   1000
6920         1   23707555   23751269    140       5  351827      0.68571      0.24645        0.266   1000
400746       1   24882567   24935819      3       1  351827     -0.56984      0.71561         0.72   1000
25949        1   25548767   25559013     10       4  351827     -0.35876      0.64011        0.661   1000
6007         1   25598884   25656936    157       2  351827     -0.60863      0.72862        0.764   1000
6006         1   25687853   25747363    154       2  351827     -0.58989      0.72237        0.757   1000
26119        1   25870071   25895377     25       1  351827      -0.4468      0.67249        0.649   1000
84676        1   26377792   26394142     75       1  351827       1.1193       0.1315        0.145   1000
10256        1   26503981   26516375     44       6  351827      -2.1255      0.98323        0.984   1000
64793        1   26560644   26605529      2       1  351827      0.81103      0.20867        0.202   1000
84243        1   27153201   27184092      1       1  351827      -0.6641      0.74669        0.755   1000
9064         1   27681670   27693558      8       2  351827      0.04315      0.48279        0.515   1000
6118         1   28218035   28241255      7       2  351827      0.18866      0.42518        0.423   1000
65979        1   28696093   28826881      5       1  351827     -0.63748      0.73809        0.758   1000
79570        1   31652592   31712734    198       6  351827       1.4691     0.070901        0.066   1000
1307         1   32117848   32169768      7       1  351827     -0.67575       0.7504        0.764   1000
23633        1   32573644   32642169     18       1  351827      0.51498      0.30328        0.316   1000
7802         1   38022520   38032458     60       1  351827      0.62295      0.26666        0.257   1000
79647        1   39456916   39471737      3       1  351827       1.0317      0.15112        0.124   1000
10450        1   40204517   40229586     37       3  351827       1.0682      0.14272         0.14   1000
656          1   40223903   40254533      2       1  351827       1.6757     0.046897        0.054   1000
54802        1   40306703   40349177     23       2  351827     -0.14488       0.5576         0.55   1000
339559       1   40943043   40962015     67       2  351827       1.5204      0.06421        0.083   1000
9132         1   41249684   41306124     17       2  351827    -0.065296      0.52603        0.532   1000
200172       1   41481269   41489116      1       1  351827       1.2591      0.10399        0.094   1000
79078        1   43232916   43241413    101       5  351827       0.8982      0.18454         0.17   1000
374969       1   43272723   43283059     73       3  351827      0.52382       0.3002        0.302   1000
10969        1   43629845   43638241     12       1  351827       2.5899    0.0048002       0.0038   5000
1263         1   45265638   45271667      5       1  351827      -0.6089       0.7287        0.724   1000
8891         1   45316194   45452394      3       1  351827      0.21077      0.41653        0.421   1000
284541       1   47603107   47614528     57       3  351827      -1.8537      0.96811        0.973   1000
10158        1   47649261   47655771      4       1  351827     -0.37066      0.64455        0.644   1000
388630       1   48226200   48463009      2       1  351827     -0.12386      0.54929        0.557   1000
2060         1   51819935   51985026     23       2  351827      0.18746      0.42565        0.421   1000
23318        1   52888947   53018764    253       3  351827     -0.19761      0.57833        0.569   1000
65260        1   53152014   53164038     43       1  351827      0.21311      0.41562        0.399   1000
6512         1   53552855   53608304     58       6  351827     0.075908      0.46975        0.464   1000
26027        1   55007930   55100417     12       1  351827     -0.20746      0.58217        0.579   1000
338094       1   55074850   55089200      9       1  351827     -0.67347      0.74967        0.748   1000
7268         1   55181495   55208330    129       1  351827     -0.25662      0.60127          0.6   1000
115209       1   58881052   59012469    162       3  351827       -0.534      0.70333        0.692   1000
55277        1   59762625   60228402      5       1  351827      0.67837      0.24877         0.24   1000
23421        1   63906441   63988944     94       3  351827     -0.42068      0.66301        0.678   1000
54741        1   65886131   66107242     47       1  351827      -1.2286       0.8904        0.878   1000
84251        1   66999066   67210768      1       1  351827      0.45257      0.32543        0.328   1000
55970        1   68167149   68299436      1       1  351827       1.5972     0.055115        0.055   1000
11147        1   70820493   70833706     42       2  351827     -0.35588      0.63903        0.647   1000
127255       1   74491699   74663871    174       3  351827     -0.80762      0.79035        0.774   1000
51086        1   74701071   75010116     64       2  351827      -1.1796      0.88093        0.884   1000
1429         1   75171170   75199092     65       5  351827      0.23686      0.40638        0.418   1000
4438         1   76262556   76379581    170       3  351827     -0.21843      0.58645        0.586   1000
2787         1   84964006   84972262      3       1  351827      0.45425      0.32482        0.327   1000
57489        1   86812507   86862025     73       2  351827      -1.6327      0.94873        0.947   1000
9635         1   86889769   86922241     65       1  351827      -1.5323      0.93728        0.943   1000
9403         1   87328128   87380107    185       2  351827       1.2755      0.10106        0.096   1000
56267        1   89401456   89458643    221       6  351827     -0.61806      0.73173        0.734   1000
2635         1   89472360   89488556    234       5  351827      -0.6257      0.73424        0.721   1000
164045       1   91726323   91870426     61       1  351827     0.026055      0.48961        0.487   1000
8317         1   91966338   91991321      8       1  351827     -0.15349      0.56099        0.537   1000
79871        1   92764522   92853732      1       1  351827       0.1461      0.44192        0.448   1000
7813         1   92974253   93257961    112       1  351827       1.5688     0.058351        0.046   1000
25950        1   95699711   95712781     98       4  351827      0.33005      0.37068        0.386   1000
1629         1  100652478  100715409      3       1  351827     -0.12566         0.55        0.546   1000
55170        1  107599267  107601916     23       1  351827     -0.38659      0.65047        0.636   1000
84722        1  109822176  109825790    187       4  351827       1.7055     0.044054        0.041   1000
57463        1  110049446  110052336     53       5  351827        2.044     0.020479        0.022   1000
271          1  110162435  110174677      2       1  351827      -1.2443      0.89331         0.88   1000
2944         1  110230418  110240828      1       1  351827      -1.9735      0.97578        0.974   1000
2949         1  110254406  110260890     15       2  351827      0.28206      0.38895        0.406   1000
2947         1  110276554  110283660     34       5  351827     -0.87009      0.80787        0.823   1000
85369        1  110574199  110597263      5       1  351827      0.48977      0.31215        0.323   1000
