GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     33       3  351827       1.6669     0.047762        0.045   1000
339451       1     895967     901099     17       2  351827    -0.067389      0.52686        0.543   1000
84069        1     901872     910488     29       2  351827       1.6701     0.047446        0.047   1000
9636         1     948847     949920      7       1  351827     0.077424      0.46914        0.484   1000
375790       1     955503     991499     12       1  351827      0.62677       0.2654        0.274   1000
54991        1    1017198    1051736     87       8  351827      0.44411      0.32848        0.318   1000
8784         1    1138888    1142163     93      11  351827     -0.26796      0.60563        0.619   1000
7293         1    1146706    1149703      2       1  351827     -0.58268      0.71995        0.737   1000
126792       1    1167629    1170421    192       9  351827     -0.61494       0.7307        0.739   1000
6339         1    1215816    1227409     65       4  351827      0.40527      0.34264        0.335   1000
126789       1    1243962    1247057      6       1  351827      0.15005      0.44036        0.454   1000
54973        1    1246965    1260067     54       3  351827     0.026697      0.48935        0.499   1000
55052        1    1337276    1342693     98       6  351827    -0.030476      0.51216        0.536   1000
441869       1    1353800    1356824    279      13  351827      0.15708      0.43759        0.426   1000
219293       1    1378152    1405538    101       7  351827      0.48742      0.31298        0.332   1000
83858        1    1407139    1444852     93       9  351827       1.4253     0.077031        0.094   1000
55210        1    1447523    1470067      1       1  351827     -0.64649      0.74102         0.73   1000
29101        1    1477053    1510262      7       1  351827       0.0332      0.48676        0.502   1000
728661       1    1591486    1624243     62       9  351827      0.78851       0.2152        0.242   1000
728642       1    1633822    1655999      1       1  351827      -1.1036      0.86512         0.86   1000
9906         1    1656277    1677438      3       1  351827      0.71408      0.23759        0.245   1000
65220        1    1682671    1711508     46       2  351827      0.28253      0.38877        0.365   1000
163688       1    1846266    1848733     90       6  351827      -0.4724      0.68168        0.706   1000
339456       1    1849029    1850740     28       1  351827     0.088514      0.46473        0.475   1000
100506504    1    2113250    2115812     74       3  351827     -0.40123      0.65588        0.643   1000
199990       1    2115899    2144159     11       3  351827     -0.25567       0.6009        0.584   1000
79906        1    2251719    2323190     53       6  351827      -0.7132      0.76214        0.784   1000
5192         1    2336241    2344010      4       1  351827      0.60683      0.27198        0.279   1000
127281       1    2517899    2522908      5       1  351827     0.086823      0.46541        0.478   1000
100287898    1    2572807    2706230     89       1  351827      0.19468      0.42282        0.429   1000
1953         1    3404506    3528059      6       2  351827      0.46126       0.3223        0.321   1000
127262       1    3541556    3546695      1       1  351827     -0.52452      0.70004        0.711   1000
49856        1    3547331    3566671     93      11  351827     -0.87618      0.80953        0.794   1000
388588       1    3689352    3692546     14       2  351827     0.046463      0.48147         0.46   1000
57470        1    3696784    3713068      8       4  351827    0.0039698      0.49842        0.509   1000
9731         1    3728645    3773797    179       7  351827      0.51846      0.30207        0.303   1000
339448       1    3805697    3816857     75       9  351827       1.2498      0.10569         0.12   1000
261734       1    5922870    6052618    135       8  351827       2.3208     0.010149        0.011   1000
388591       1    6266189    6281359     18       4  351827   -0.0021187      0.50085        0.495   1000
23463        1    6281253    6296044     41       3  351827    -0.035815      0.51428        0.527   1000
11332        1    6324332    6453826    138       5  351827      0.32136      0.37397        0.373   1000
54626        1    6475292    6484724    196       9  351827      0.53588      0.29602        0.295   1000
83715        1    6484836    6521004    129       6  351827      0.46909       0.3195        0.323   1000
79707        1    6581407    6614658     55       2  351827       1.2704      0.10197        0.112   1000
90326        1    6684925    6695646     87       6  351827     -0.27916      0.60994        0.596   1000
55735        1    6694228    6761966      2       1  351827     -0.25244      0.59965        0.605   1000
23261        1    6845384    7829766     19       1  351827      0.36189      0.35872        0.369   1000
11315        1    8021714    8045342     92       4  351827     -0.25201      0.59948        0.596   1000
50651        1    8378171    8404227      1       1  351827      -2.0788      0.98118        0.979   1000
473          1    8412464    8877699    251      11  351827       1.0623      0.14404        0.133   1000
9563         1    9294822    9331396     26       3  351827       1.2421       0.1071         0.11   1000
5293         1    9711789    9789172     13       2  351827       2.5363    0.0056023       0.0036   5000
64802        1   10003486   10045556     13       2  351827    -0.074249      0.52959        0.513   1000
116362       1   10057255   10076078     37       5  351827       1.2025      0.11458        0.116   1000
23095        1   10270606   10441664    369       3  351827     -0.36456      0.64228        0.669   1000
5226         1   10458884   10480565      6       1  351827      0.25398      0.39975         0.39   1000
378708       1   10489944   10510239     52       4  351827      0.83087      0.20302        0.201   1000
1676         1   10520588   10532613     68       4  351827       2.7797    0.0027209       0.0042   5000
5195         1   10535003   10690815     95       4  351827       2.1802      0.01462        0.019   1000
5394         1   11126675   11159961    126       7  351827     -0.90353      0.81688        0.824   1000
26270        1   11724150   11734411      7       2  351827     -0.74987      0.77333        0.761   1000
4524         1   11845787   11866160    104       5  351827      -1.7504      0.95997        0.969   1000
5351         1   11994724   12035599     35       2  351827      -0.3981      0.65472         0.69   1000
9927         1   12040238   12073572     31       2  351827     -0.82802      0.79617        0.802   1000
