GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679      1       1  351827     -0.43392      0.66783        0.653   1000
401934       1    1007126    1009687      3       1  351827      -0.5018       0.6921         0.69   1000
54991        1    1017198    1051736     51       4  351827     -0.46798       0.6801        0.655   1000
8784         1    1138888    1142163     31       1  351827     -0.18379      0.57291        0.568   1000
126792       1    1167629    1170421     94       2  351827      -1.4381      0.92479        0.922   1000
6339         1    1215816    1227409      5       1  351827      0.24151      0.40458        0.391   1000
54973        1    1246965    1260067      5       1  351827      0.77655      0.21871        0.235   1000
55052        1    1337276    1342693     54       2  351827      0.47929      0.31587        0.314   1000
441869       1    1353800    1356824    169       9  351827      0.23288      0.40793        0.422   1000
64856        1    1370903    1378262      8       1  351827    0.0058765      0.49766        0.498   1000
219293       1    1378152    1405538     37       3  351827      0.41578      0.33879        0.324   1000
83858        1    1407139    1444852     81       7  351827       1.5634     0.058976        0.063   1000
55210        1    1447523    1470067     19       1  351827     0.032854       0.4869        0.484   1000
29101        1    1477053    1510262     32       2  351827       0.1379      0.44516         0.44   1000
728661       1    1591486    1624243     22       2  351827       1.2043      0.11423        0.127   1000
65220        1    1682671    1711508     10       1  351827      0.55013      0.29112        0.324   1000
85452        1    1853390    1935276     99       6  351827       0.9206      0.17863        0.192   1000
199990       1    2115899    2144159      3       1  351827      -1.3588      0.91289        0.907   1000
9651         1    2407754    2436964      1       1  351827      0.57543       0.2825        0.301   1000
127281       1    2517899    2522908      2       1  351827    -0.048338      0.51928        0.529   1000
127262       1    3541556    3546695     20       4  351827      0.24557      0.40301         0.41   1000
1677         1    3773845    3801993     92       5  351827      0.85815       0.1954        0.199   1000
339448       1    3805697    3816857      9       1  351827      0.05262      0.47902        0.489   1000
261734       1    5922870    6052618    178       5  351827       1.5192      0.06436         0.06   1000
23463        1    6281253    6296044     20       1  351827   0.00074826       0.4997        0.495   1000
57449        1    6526152    6580121      3       1  351827      -0.9312      0.82413        0.834   1000
9341         1    7831329    7841492     23       2  351827     -0.76839      0.77887        0.776   1000
473          1    8412464    8877699     38       2  351827       2.0822     0.018662        0.015   1000
84328        1    9982168   10003460      4       1  351827      -1.6808       0.9536        0.957   1000
54897        1   10696661   10856733     25       1  351827     0.078712      0.46863        0.473   1000
29914        1   11333255   11348491      1       1  351827     -0.84274      0.80031        0.804   1000
26270        1   11724150   11734411      3       1  351827     -0.40402       0.6569        0.655   1000
4524         1   11845787   11866160     21       3  351827    -0.011519       0.5046        0.518   1000
4879         1   11917521   11918992      1       1  351827       1.0953      0.13669        0.148   1000
10630        1   13910252   13944452      2       1  351827      -2.6579      0.99607        0.999   1000
79180        1   15736391   15756839      4       1  351827      -1.3295      0.90815        0.908   1000
79814        1   15898194   15911605      4       1  351827      -1.3869      0.91727        0.916   1000
284723       1   16062721   16067884    123       5  351827       0.5026      0.30762        0.305   1000
1187         1   16348486   16360548    168       6  351827       1.0731      0.14162        0.152   1000
348487       1   16384264   16400127     23       1  351827     -0.86106       0.8054        0.798   1000
128272       1   16524599   16539104    185       5  351827      0.78597      0.21594          0.2   1000
54455        1   16573339   16678965    154       3  351827        1.018      0.15434        0.148   1000
4237         1   17300997   17308081     51       2  351827     -0.10893      0.54337        0.559   1000
6390         1   17345217   17380665      1       1  351827      -1.7088      0.95625        0.953   1000
23569        1   17634690   17690495    146       6  351827      -1.4798      0.93054        0.938   1000
84966        1   18434240   18704977      2       1  351827     0.039863       0.4841        0.495   1000
8659         1   19197924   19229293     52       2  351827      -0.2635      0.60392          0.6   1000
23065        1   19542158   19578053    146       6  351827      0.21943      0.41316        0.388   1000
51154        1   19578075   19586622      9       1  351827    -0.071621      0.52855        0.531   1000
8574         1   19629202   19638640     13       4  351827      -0.5441      0.70682        0.705   1000
4681         1   19969723   19984949     10       1  351827      0.11539      0.45407        0.465   1000
3362         1   19991780   20006055      2       1  351827        1.215      0.11218        0.124   1000
23252        1   20208356   20239438     47       4  351827      -2.4506      0.99287        0.994   1000
5322         1   20386157   20418394     58       4  351827     -0.41078      0.65938        0.645   1000
79594        1   20825941   20834674     31       4  351827      -2.2543      0.98791        0.994   1000
978          1   20915444   20945401     31       2  351827      0.46808      0.31986        0.315   1000
57576        1   20990475   21044317     26       3  351827       1.5633     0.058996        0.057   1000
84224        1   21766583   21811393    107       6  351827     -0.64568      0.74076        0.752   1000
3339         1   22148737   22263750     27       1  351827      -1.2857      0.90073         0.89   1000
