PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000228327.3.wgt.RDat	ENSG00000228327.3	1	778625	778626	0.0702	rs1891910	-4.64	rs3094315	0.00929	4.22	-0.146306	137	8	enet	0.016	0.0037	-0.55164	0.581
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.5108	rs1891910	-4.64	rs3094315	0.104	7.11	-0.146306	137	38	enet	0.2	5.7e-25	0.04482	0.964
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.1055	rs1891910	-4.64	rs4970362	0.0282	4.39	0.418446	150	11	enet	0.057	7.2e-08	0.16527	0.869
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.0982	rs1891910	-4.64	rs3094315	0.0371	4.45	-0.146306	153	9	enet	0.026	0.00024	-1.56574	0.117
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2714	rs1891910	-4.64	rs3094315	0.182	9.38	-0.146306	156	7	enet	0.15	4.4e-19	-0.12001	0.904
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1322	rs1891910	-4.64	rs13303010	0.0552	-5.4	-1.059608	181	17	enet	0.054	2e-07	-0.07518	0.94
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.0916	rs1891910	-4.64	rs3748595	0.0427	-5.25	-3.446621	181	5	enet	0.038	1.2e-05	1.78328	0.0745
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.28	rs1891910	-4.64	rs3128117	0.256	-11.09	-0.839866	184	11	enet	0.24	3.4e-30	0.6527	0.514
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.0838	rs1891910	-4.64	rs1891910	0.0585	5.96	-4.643715	184	10	enet	0.079	2.6e-10	-3.1217	0.0018
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.255	rs1891910	-4.64	rs3128097	0.0883	6.7	0.207095	187	35	enet	0.12	3.6e-15	-0.49527	0.62
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1588	rs1891910	-4.64	rs3766192	0.109	-7.28	0.274721	216	8	enet	0.1	3.5e-13	-0.07497	0.94
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000078808.16.wgt.RDat	ENSG00000078808.16	1	1232030	1232031	0.1687	rs1891910	-4.64	rs3753349	0.0243	-5.88	0.388768	229	31	enet	0.033	4.4e-05	-0.51598	0.606
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1829	rs1891910	-4.64	rs3813199	0.0943	-7.31	-0.068504	229	11	enet	0.078	3e-10	0.10244	0.918
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.1137	rs1891910	-4.64	rs7524470	0.058	6.02	-0.331856	245	15	enet	0.06	4.1e-08	0.86435	0.387
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000131584.18.wgt.RDat	ENSG00000131584.18	1	1308017	1308018	0.1151	rs1891910	-4.64	rs12103	0.109	-7.57	-0.831925	252	7	enet	0.1	6.7e-13	0.59989	0.549
Artery_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Tibial/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.2355	rs1891910	-4.64	rs12103	0.0254	5.11	-0.833527	253	36	enet	0.09	1.4e-11	-0.52046	0.603
