GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     67       5  351827       0.1678      0.43337        0.416   1000
26155        1     879583     894679      3       1  351827        1.706        0.044        0.052   1000
339451       1     895967     901099     86       8  351827     -0.48417      0.68587        0.678   1000
84808        1     910579     917473    148      14  351827      0.74386      0.22848        0.241   1000
57801        1     934342     936608    113      14  351827      0.79357      0.21372        0.209   1000
375790       1     955503     991499    114       8  351827      0.32426      0.37287        0.369   1000
54991        1    1017198    1051736    175      13  351827       -0.149      0.55922        0.542   1000
51150        1    1152288    1167447     90       7  351827      0.20893      0.41725        0.408   1000
126792       1    1167629    1170421    135       5  351827     -0.99412      0.83992        0.843   1000
118424       1    1189292    1209234      8       1  351827     -0.13049      0.55191        0.531   1000
6339         1    1215816    1227409    137      12  351827      0.40753      0.34181        0.327   1000
116983       1    1227764    1243304     30       2  351827      0.18955      0.42483        0.432   1000
126789       1    1243962    1247057      7       2  351827     -0.58156      0.71957        0.737   1000
54973        1    1246965    1260067    163      10  351827      0.59456      0.27607        0.282   1000
80772        1    1260136    1264276     86       5  351827      0.19093      0.42429        0.418   1000
54587        1    1288071    1297183     44       3  351827     -0.11784       0.5469        0.528   1000
55052        1    1337276    1342693     92       6  351827      0.40972      0.34101        0.352   1000
441869       1    1353800    1356824    495      29  351827      0.20529      0.41867        0.402   1000
219293       1    1378152    1405538    193      19  351827      0.82234      0.20544        0.214   1000
83858        1    1407139    1444852    170      14  351827       1.3347     0.090988        0.098   1000
55210        1    1447523    1470067      3       1  351827     -0.75025      0.77345        0.772   1000
339453       1    1470158    1475740      6       1  351827     -0.17298      0.56867        0.567   1000
29101        1    1477053    1510262    128      12  351827    -0.032658      0.51303        0.497   1000
142678       1    1550795    1565990     20       3  351827       0.2203      0.41282        0.464   1000
984          1    1571100    1590473     30       5  351827      0.70317      0.24097        0.231   1000
728661       1    1591486    1624243     59       8  351827      0.59695      0.27527        0.288   1000
728642       1    1633822    1655999     17       3  351827      -1.0543      0.85412        0.841   1000
9906         1    1656277    1677438     35       7  351827       1.2873     0.098987        0.104   1000
65220        1    1682671    1711508     27       3  351827      -0.1088      0.54332        0.514   1000
2782         1    1716725    1822552      1       1  351827      0.16305      0.43524        0.412   1000
163688       1    1846266    1848733     54       5  351827     -0.75746      0.77561         0.78   1000
339456       1    1849029    1850740      7       2  351827    -0.088478      0.53525        0.541   1000
100506504    1    2113250    2115812    205      11  351827     -0.84464      0.80084        0.799   1000
199990       1    2115899    2144159     13       3  351827      -0.2901      0.61413          0.6   1000
79906        1    2251719    2323190     83       9  351827    0.0090557      0.49639        0.494   1000
5192         1    2336241    2344010      8       2  351827    -0.020409      0.50814        0.508   1000
8764         1    2487291    2495268      1       1  351827     -0.70003      0.75805         0.74   1000
127281       1    2517899    2522908    146       5  351827     0.012242      0.49512        0.499   1000
79258        1    2522078    2564499     26       3  351827     -0.23019      0.59103        0.581   1000
100287898    1    2572807    2706230    156       6  351827     -0.14389      0.55721        0.553   1000
27237        1    3371147    3397677     25       1  351827      -1.0447      0.85193        0.838   1000
1953         1    3404506    3528059      1       1  351827     -0.44524      0.67193        0.674   1000
127262       1    3541556    3546695      4       2  351827       0.4135      0.33962        0.347   1000
49856        1    3547331    3566671    119      16  351827      -1.3143      0.90563        0.903   1000
388588       1    3689352    3692546     10       2  351827     -0.18425      0.57309        0.587   1000
57470        1    3696784    3713068    100       3  351827      0.65368      0.25666        0.246   1000
9731         1    3728645    3773797    250      12  351827      0.61696      0.26863        0.253   1000
1677         1    3773845    3801993    148      10  351827      0.79555      0.21315        0.215   1000
339448       1    3805697    3816857     67       9  351827       1.0644      0.14357        0.134   1000
55966        1    4715105    4843851     18       3  351827     -0.88756      0.81261        0.814   1000
261734       1    5922870    6052618    258       8  351827       1.8175     0.034573        0.033   1000
26038        1    6161847    6240194     60       4  351827     -0.72134      0.76465        0.761   1000
388591       1    6266189    6281359     66      11  351827      -1.1343      0.87167        0.864   1000
23463        1    6281253    6296044     38       3  351827    -0.012528        0.505        0.528   1000
387509       1    6307406    6321035     64       4  351827      0.37661      0.35323        0.367   1000
11332        1    6324332    6453826    168       6  351827      0.25194      0.40054        0.433   1000
3104         1    6640051    6649340      7       2  351827     -0.60327      0.72684        0.729   1000
90326        1    6684925    6695646    144      11  351827     -0.70674      0.76013        0.755   1000
23261        1    6845384    7829766     13       2  351827     -0.24634      0.59729        0.611   1000
9341         1    7831329    7841492     66       6  351827      0.27844      0.39034        0.383   1000
11315        1    8021714    8045342    229      11  351827      0.28459      0.38798        0.375   1000
2023         1    8921059    8939151      5       1  351827     -0.53945      0.70521        0.731   1000
6518         1    9097005    9131763      9       1  351827      -1.0595       0.8553         0.84   1000
9563         1    9294822    9331396     65      11  351827      0.64147      0.26061        0.251   1000
5293         1    9711789    9789172     24       3  351827       1.8739     0.030471        0.023   1000
22883        1    9789079    9884550      4       1  351827    -0.066365      0.52646        0.507   1000
64802        1   10003486   10045556      4       1  351827       1.0087      0.15655        0.158   1000
116362       1   10057255   10076078     44       5  351827       1.3928     0.081843        0.093   1000
23095        1   10270606   10441664      5       2  351827      0.81367      0.20792        0.184   1000
5226         1   10458884   10480565    324       7  351827       2.9484    0.0015969       0.0028   5000
378708       1   10489944   10510239     83       7  351827      0.78842      0.21522        0.202   1000
1325         1   10509776   10512060      3       1  351827      0.54385      0.29327        0.271   1000
1676         1   10520588   10532613     85       5  351827       1.5457     0.061094        0.062   1000
5195         1   10535003   10690815      9       2  351827     -0.32095      0.62587        0.629   1000
10747        1   11086580   11107296      1       1  351827     0.072002       0.4713         0.45   1000
5394         1   11126675   11159961    307       6  351827     -0.46037      0.67737        0.674   1000
2475         1   11166588   11322614    133       2  351827     0.050285      0.47995        0.494   1000
10218        1   11249346   11256038    211       1  351827     -0.02278      0.50909        0.491   1000
29914        1   11333255   11348491      1       1  351827      -2.2524      0.98785        0.993   1000
26232        1   11707924   11714888     45       5  351827   -0.0065619      0.50262        0.521   1000
93611        1   11714432   11723384      2       1  351827        1.352     0.088181        0.085   1000
26270        1   11724150   11734411      9       2  351827      0.59083      0.27732        0.245   1000
57085        1   11796142   11810828      8       2  351827      0.18033      0.42845        0.437   1000
4524         1   11845787   11866160    218       9  351827      0.33376      0.36928        0.376   1000
1185         1   11866153   11903201    227       9  351827      0.43502      0.33177        0.342   1000
4879         1   11917521   11918992      1       1  351827     -0.31633      0.62412        0.631   1000
5351         1   11994724   12035599     60       4  351827      0.39907      0.34492        0.336   1000
9927         1   12040238   12073572     28       2  351827     -0.58979      0.72233        0.726   1000
10630        1   13910252   13944452     13       2  351827      -2.0709      0.98082        0.981   1000
55092        1   15479028   15546974    155      12  351827       1.2089      0.11336        0.119   1000
114827       1   15573730   15724767     97       3  351827      -1.9878      0.97658        0.972   1000
842          1   15817896   15851407    381      10  351827      0.22082      0.41262        0.389   1000
23341        1   15853343   15898228    160       4  351827     -0.39927      0.65515        0.647   1000
79814        1   15898194   15911605      4       1  351827      -1.1611       0.8772        0.869   1000
23207        1   16010632   16061264    124       2  351827      0.93686      0.17442        0.163   1000
284723       1   16062721   16067884    268       6  351827      0.81999      0.20611        0.182   1000
54751        1   16083107   16113089     18       3  351827     -0.45655        0.676        0.689   1000
27129        1   16340523   16346084    103       6  351827        0.441      0.32961        0.343   1000
1187         1   16348486   16360548    189      11  351827      0.81925      0.20632        0.212   1000
1188         1   16370231   16383821     52       4  351827      0.69308      0.24413        0.229   1000
348487       1   16384264   16400127     10       2  351827      0.16954      0.43269        0.456   1000
1969         1   16450832   16482582     20       1  351827      0.93093      0.17595        0.198   1000
128272       1   16524599   16539104    377      14  351827      0.36119      0.35898        0.357   1000
79363        1   16558182   16563659    184      10  351827      0.32863      0.37122        0.405   1000
54455        1   16573339   16678965     75       6  351827     -0.12887      0.55127        0.557   1000
55707        1   16767167   16786585     40       3  351827      -1.8013      0.96417        0.963   1000
9696         1   17248445   17299474    336      12  351827     -0.58329      0.72015        0.747   1000
4237         1   17300997   17308081    148       5  351827    -0.077694      0.53096        0.539   1000
23400        1   17312453   17338467      8       2  351827     -0.65338      0.74324        0.747   1000
6390         1   17345217   17380665     59       2  351827     -0.26354      0.60393        0.605   1000
11240        1   17393256   17445948      2       1  351827      -1.1085      0.86618        0.865   1000
23569        1   17634690   17690495      1       1  351827     -0.69153      0.75538        0.756   1000
55920        1   17733251   17766250      2       1  351827      0.45855      0.32328        0.329   1000
55160        1   17846693   18024370     29       4  351827     -0.83482      0.79809        0.819   1000
126917       1   19230774   19282826     47       4  351827      -0.9677       0.8334        0.837   1000
23352        1   19401000   19536812    169      18  351827     -0.64667      0.74108        0.723   1000
23065        1   19542158   19578053    480      21  351827      0.65352      0.25671         0.29   1000
