PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.3387	rs4845681	13.15	rs705094	0.032396	-3.72	7.410643	378	23	enet	0.012	0.12	-4.56482	5e-6
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.0853	rs7536102	12.55	rs12072050	0.030779	3.21	7.616889	274	52	enet	-0.0076	0.74	8.54318	1.31e-17
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000203737.3.wgt.RDat	ENSG00000203737.3	1	174448110	174448111	0.094	rs7536102	12.55	rs3118990	0.079909	-3.62	6.442483	309	5	enet	0.021	0.061	-6.56829	5.09e-11
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6753	rs1196366	6.6	rs2291426	0.601439	-8.5	6.291535	461	18	enet	0.57	1.7e-23	-5.8568	4.72e-9
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.7193	rs1196366	6.6	rs11590498	0.480923	7.67	6.060692	470	30	enet	0.44	8.9e-17	4.8646	1.15e-6
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000134056.11.wgt.RDat	ENSG00000134056.11	5	69217759	69217760	0.1952	rs2010352	-10.1	rs10038816	-0.005127	3.8	-8.62185	286	15	enet	0.035	0.024	-6.3495	2.16e-10
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000247828.7.wgt.RDat	ENSG00000247828.7	5	88269070	88269071	0.3105	rs10044618	-9.74	rs780404	0.310694	6.29	-3.49202	252	14	enet	0.32	1.6e-11	-4.3576	1.32e-5
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000204909.7.wgt.RDat	ENSG00000204909.7	5	148321202	148321203	0.1854	rs13187585	-6.37	rs10077690	0.067697	4.47	4.66837	443	33	enet	0.037	0.02	4.2911	1.78e-5
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000105928.13.wgt.RDat	ENSG00000105928.13	7	24758112	24758113	0.4139	rs17327167	6.61	rs2721809	0.27425	6.18	5.6326	612	6	enet	0.25	3.9e-9	4.99348	5.93e-7
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000105976.14.wgt.RDat	ENSG00000105976.14	7	116672389	116672390	0.2684	rs2402118	7.35	rs11766819	0.241592	-5.93	5.10667	340	9	enet	0.21	1.4e-7	-5.5444	2.95e-8
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000104320.13.wgt.RDat	ENSG00000104320.13	8	90003227	90003228	0.2262	rs16900627	6.71	rs1061302	0.18005	4.78	3.264	376	17	enet	0.15	8.2e-6	4.4017	1.07e-5
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000147677.10.wgt.RDat	ENSG00000147677.10	8	116766924	116766925	0.3689	rs12676238	9.8	rs4876647	-0.0073	-3.37	8.6196	428	5	enet	-0.0052	0.53	-5.6927	1.25e-8
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000169398.19.wgt.RDat	ENSG00000169398.19	8	141002215	141002216	0.2246	rs938724	10.56	rs6994744	0.15728	-4.85	7.0002	407	18	enet	0.12	5.9e-5	5.1507	2.6e-7
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000228510.2.wgt.RDat	ENSG00000228510.2	9	128444586	128444587	0.3111	rs7023913	-4.97	rs2807622	0.178353	-5.19	-4.5986	281	24	enet	0.13	2.6e-5	4.40595	1.05e-5
GTExv8.EUR.Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000174165.7.wgt.RDat	ENSG00000174165.7	11	66546237	66546238	0.233	rs1253440	8.65	rs2279865	0.22448	-5.52	4.73663	261	27	enet	0.27	8.9e-10	-5.27536	1.32e-7
