PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.472	rs1891910	-4.64	rs3094315	0.180098	4.94	-0.146306	151	24	enet	0.16	7.1e-06	-0.63445	0.526
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.281	rs1891910	-4.64	rs13303010	0.089663	-4.16	-1.059608	178	31	enet	0.093	0.00059	0.22642	0.821
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.307	rs1891910	-4.64	rs3128117	0.063945	-4.9	-0.839866	181	11	enet	0.086	0.00093	0.66155	0.508
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000230415.1.wgt.RDat	ENSG00000230415.1	1	1275222	1275223	0.291	rs1891910	-4.64	rs2765015	0.075777	3.86	0.167478	238	20	enet	0.031	0.034	0.2455	0.806
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.167	rs1891910	-4.64	rs2477782	0.087888	4.33	-0.051267	249	15	enet	-0.0031	0.42	0.27189	0.786
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.179	rs1891910	-4.64	rs2765021	0.01794	-3.84	0.250194	272	2	enet	-0.009	0.99	-0.45188	0.651
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.438	rs1891910	-4.64	rs2031709	0.268651	-5.59	2.149189	281	27	enet	0.25	8.6e-09	-1.82412	0.0681
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.858	rs3128317	-4.81	rs6604981	0.374422	6.89	1.827854	303	41	enet	0.24	1.6e-08	1.37379	0.17
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000157873.17.wgt.RDat	ENSG00000157873.17	1	2556696	2556697	0.231	rs34241773	10.5	rs1886730	0.250722	5.7	1.059954	364	15	enet	0.19	7.9e-07	0.75937	0.448
Cells_EBV-transformed_lymphocytes	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Cells_EBV-transformed_lymphocytes/ENSG00000238164.6.wgt.RDat	ENSG00000238164.6	1	2557030	2557031	0.365	rs34241773	10.5	rs2296443	0.070235	4.39	-0.764352	366	40	enet	0.071	0.0026	-0.82377	0.41
