PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000225972.1.wgt.RDat	ENSG00000225972.1	1	629061	629062	0.1077	rs1891910	-4.644	rs3748592	0.0185	3.79	-3.11	77	10	enet	0.041	0.0027	-2.16	0.0308
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1942	rs1891910	-4.644	rs13303106	0.0697	-4.84	0.672	180	15	enet	0.087	1.9e-05	0.000219	1
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.2302	rs1891910	-4.644	rs1806509	0.0785	-4.79	0.211	180	22	enet	0.1	2.9e-06	-0.568	0.57
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3534	rs1891910	-4.644	rs3128117	0.0908	-5.47	-0.84	183	11	enet	0.061	0.00029	1.61	0.107
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.1811	rs11586188	4.772	rs4075116	0.0657	4.56	-1.14	202	3	enet	0.041	0.0028	-1.19	0.233
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.242	rs1891910	-4.644	rs9442372	0.104	-5.3	0.804	215	22	enet	0.084	2.5e-05	-1.55	0.121
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1571	rs1891910	-4.644	rs4074197	-0.00338	-3.17	0.508	227	6	enet	-6e-04	0.35	0.216	0.829
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.1346	rs1891910	-4.644	rs2477782	0.0924	5.12	-0.0513	252	12	enet	0.1	4.2e-06	-0.186	0.852
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.1847	rs1891910	-4.644	rs1810745	0.156	-5.68	-0.132	261	8	enet	0.12	5.9e-07	-0.0273	0.978
Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3544	rs1891910	-4.644	rs12089560	0.333	-8.48	0.792	282	26	enet	0.28	2.5e-15	-0.731	0.465
