PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.867	rs1891910	-4.64	rs7548798	-0.009243	-3.05	0.294785	254	53	enet	0.039	0.063	0.03287	0.974
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.533	rs3128317	-4.81	rs2748987	0.083475	-3.74	-0.075466	328	54	enet	0.15	0.00095	0.86794	0.385
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.749	rs34241773	10.5	rs3795272	0.288076	-4.41	-0.254687	346	41	enet	0.25	1.3e-05	0.50449	0.614
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.593	rs10915459	4.37	rs7535775	0.338715	4.97	-2.064193	571	12	enet	0.17	0.00044	-1.09578	0.273
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.397	rs9434618	-5.83	rs12756299	0.081976	-4.46	-1.003508	464	14	enet	0.17	0.00046	-0.00959	0.992
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.539	rs9434618	-5.83	rs228727	0.051694	-3.58	1.829544	459	11	enet	-0.0058	0.43	-1.62348	0.104
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000142599.17.wgt.RDat	ENSG00000142599.17	1	8817642	8817643	0.464	rs12565639	-5.14	rs769902	-0.013776	2.82	-0.010907	373	38	enet	0.006	0.24	1.56261	0.118
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000239149.1.wgt.RDat	ENSG00000239149.1	1	12507245	12507246	0.459	rs1008477	-7.12	rs3765337	-0.004806	-3.35	0.006262	304	43	enet	0.028	0.095	0.35228	0.725
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000179743.4.wgt.RDat	ENSG00000179743.4	1	15836905	15836906	0.377	rs11801060	-4.15	rs11260711	-0.015481	-3.13	0.481312	421	37	enet	0.04	0.061	-0.07636	0.939
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000233929.1.wgt.RDat	ENSG00000233929.1	1	16241397	16241398	0.451	rs11801060	-4.15	rs10907223	-0.014655	-2.96	-0.219192	315	61	enet	-0.013	0.66	1.10667	0.268
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000186301.8.wgt.RDat	ENSG00000186301.8	1	16645621	16645622	0.351	rs12408813	2.46	rs7513616	0.091328	3.79	1.496652	260	24	enet	0.12	0.0024	0.499	0.618
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000227001.3.wgt.RDat	ENSG00000227001.3	1	21427966	21427967	0.789	rs3026886	7.03	rs4654947	0.025559	-4.14	-0.444609	376	22	enet	0.23	3.1e-05	-1.23004	0.219
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000142794.18.wgt.RDat	ENSG00000142794.18	1	21440127	21440128	0.763	rs3026886	7.03	rs17420195	0.292931	4.6	-0.338718	378	9	enet	0.19	0.00019	-0.25521	0.799
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000125945.14.wgt.RDat	ENSG00000125945.14	1	23368385	23368386	0.472	rs10917325	5.25	rs1535179	0.264286	5.48	-1.41793	308	10	enet	0.38	3.5e-08	-1.49664	0.134
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000261349.1.wgt.RDat	ENSG00000261349.1	1	25267135	25267136	0.707	rs3767880	-5.16	rs3091242	0.282667	4.48	-0.62936	342	60	enet	0.57	2.5e-13	0.34867	0.727
Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000187010.19.wgt.RDat	ENSG00000187010.19	1	25272392	25272393	0.745	rs3767880	-5.16	rs3091242	0.316063	4.82	-0.62936	343	25	enet	0.3	1.4e-06	-0.06116	0.951
