PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000240409.1.wgt.RDat	ENSG00000240409.1	1	633534	633535	0.0695	rs1891910	-4.64	rs3128097	0.0163	3.51	0.207	80	8	enet	0.01	0.016	0.544364	0.586
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.6209	rs1891910	-4.64	rs3094315	0.125	7.87	-0.146	137	47	enet	0.26	8.3e-33	-0.382944	0.702
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.3033	rs1891910	-4.64	rs3094315	0.0966	6.95	-0.146	154	25	enet	0.14	3.9e-18	0.179727	0.857
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.6435	rs1891910	-4.64	rs3094315	0.244	10.88	-0.146	157	53	enet	0.34	1.7e-45	0.227398	0.82
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000272438.1.wgt.RDat	ENSG00000272438.1	1	904833	904834	0.0841	rs1891910	-4.64	rs1806509	9e-04	3.34	0.211	177	24	enet	0.033	3.3e-05	-0.478979	0.632
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.3385	rs1891910	-4.64	rs3748595	0.212	10.2	-3.45	182	11	enet	0.2	1.1e-24	-2.860329	0.00423
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3939	rs1891910	-4.64	rs3128117	0.35	-13.02	-0.84	185	24	enet	0.37	4e-50	0.30587	0.76
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000224969.1.wgt.RDat	ENSG00000224969.1	1	1013192	1013193	0.0882	rs1891910	-4.64	rs3121567	-0.00118	3.51	-0.9	186	32	enet	-0.00095	0.46	-3.706624	0.00021
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1148	rs1891910	-4.64	rs1891906	0.112	-7.5	-0.657	188	9	enet	0.11	6.6e-14	0.889604	0.374
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.2222	rs11586188	4.8	rs4075116	0.205	10.1	-1.14	204	6	enet	0.2	2.1e-25	-1.267318	0.205
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000273443.1.wgt.RDat	ENSG00000273443.1	1	1063287	1063288	0.0958	rs1891910	-4.64	rs9442372	0.0631	-5.66	0.804	207	16	enet	0.042	3e-06	0.105978	0.916
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2696	rs1891910	-4.64	rs11807848	0.123	-8.87	-0.456	217	15	enet	0.27	3e-34	-0.523039	0.601
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000272141.1.wgt.RDat	ENSG00000272141.1	1	1169356	1169357	0.1995	rs1891910	-4.64	rs4970362	0.0893	-6.93	0.418	222	26	enet	0.12	1.5e-15	-0.929163	0.353
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.2853	rs1891910	-4.64	rs4970362	0.139	-8.35	0.418	223	24	enet	0.18	3.9e-22	-0.84128	0.4
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1307	rs1891910	-4.64	rs4314833	0.0231	5.25	0.483	229	9	enet	0.058	5e-08	0.562182	0.574
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.141	rs1891910	-4.64	rs7528416	0.0997	-7.31	0.152	230	16	enet	0.092	5.8e-12	-0.45819	0.647
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000131584.18.wgt.RDat	ENSG00000131584.18	1	1308017	1308018	0.0909	rs1891910	-4.64	rs12103	0.0752	-6.45	-0.868	253	9	enet	0.062	1.7e-08	0.488288	0.625
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000169972.11.wgt.RDat	ENSG00000169972.11	1	1308566	1308567	0.0615	rs1891910	-4.64	rs12103	0.0326	-5.28	-0.868	253	6	enet	0.032	4.3e-05	0.286758	0.774
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.1082	rs1891910	-4.64	rs2765021	0.0139	4.49	0.25	254	22	enet	0.072	1.3e-09	-0.619391	0.536
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2403	rs1891910	-4.64	rs4970432	0.138	8.64	0.148	254	16	enet	0.15	5.1e-19	-0.058049	0.954
Thyroid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Thyroid/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2791	rs1891910	-4.64	rs35242196	0.174	9.25	-0.583	277	16	enet	0.17	4.2e-21	0.423344	0.672
