PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2413	rs1891910	-4.64	rs3094315	0.151494	4.49	-0.146306	155	8	enet	0.031	0.03	-0.18651	0.852
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2199	rs1891910	-4.64	rs3128117	0.182882	-4.81	-0.839866	183	13	enet	0.11	0.00015	0.38559	0.7
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.2301	rs11586188	4.84	rs3766192	0.135248	4.34	0.274721	202	12	enet	0.041	0.015	-0.70657	0.48
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.4479	rs1891910	-4.64	rs6687776	0.269726	-5.76	0.08773	215	18	enet	0.33	4.6e-12	-1.79193	0.0731
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2063	rs1891910	-4.64	rs6697886	0.099616	-4.37	0.046223	228	11	enet	0.064	0.0031	-0.24056	0.81
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.272	rs1891910	-4.64	rs17160669	0.0222	4.01	-1.054271	275	9	enet	0.0028	0.25	-0.71723	0.473
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.366	rs1891910	-4.64	rs12089560	0.387413	-6.83	0.791504	282	9	enet	0.29	1.7e-10	-0.61525	0.538
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.44	rs1891910	-4.64	rs1695824	0.237275	-5.36	-1.891308	287	28	enet	0.2	1.5e-07	-0.08151	0.935
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.2489	rs3128317	-4.81	rs1571150	0.023913	4.27	1.427751	280	17	enet	0.041	0.016	0.66263	0.508
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000215014.4.wgt.RDat	ENSG00000215014.4	1	1574974	1574975	0.2075	rs3128317	-4.81	rs745910	0.033737	-3.43	-0.107119	280	24	enet	-0.005	0.52	-0.51178	0.609
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.4859	rs3128317	-4.81	rs4648786	0.039177	-4.12	-0.012329	305	29	enet	0.15	5.8e-06	-0.22845	0.819
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.5453	rs3128317	-4.81	rs6699975	0.074422	-4.31	-1.099054	294	29	enet	0.14	1.3e-05	1.99712	0.0458
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.4459	rs3128317	-4.81	rs12742323	0.303963	-6.49	-0.554265	316	15	enet	0.29	2.2e-10	0.27115	0.786
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000142609.17.wgt.RDat	ENSG00000142609.17	1	2003836	2003837	0.1991	rs34241773	10.5	rs4648727	0.120134	-4.78	-0.936839	357	12	enet	0.069	0.0023	1.25421	0.21
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000215912.12.wgt.RDat	ENSG00000215912.12	1	2801716	2801717	0.2098	rs34241773	10.5	rs2296443	0.06496	-3.98	-1.34254	365	20	enet	0.066	0.0028	0.01556	0.988
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000130762.14.wgt.RDat	ENSG00000130762.14	1	3454425	3454426	0.3151	rs2651927	-4.27	rs12128669	0.070305	4.12	0.432343	504	29	enet	0.091	5e-04	0.55715	0.577
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.2803	rs11588889	-6.71	rs11122125	0.191454	5.07	-0.717029	501	17	enet	0.16	3.1e-06	-0.13787	0.89
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000116237.15.wgt.RDat	ENSG00000116237.15	1	6235971	6235972	0.2639	rs11588889	-6.71	rs1064721	0.220346	-5.31	-0.476692	438	18	enet	0.14	1.3e-05	-0.209	0.834
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.5945	rs9434618	-5.83	rs12756299	0.548628	-8.12	-1.003508	462	14	enet	0.5	1.3e-19	0.65408	0.513
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000238290.1.wgt.RDat	ENSG00000238290.1	1	8026737	8026738	0.2459	rs9434618	-5.83	rs161807	0.072374	3.97	0.613348	368	9	enet	0.0078	0.17	0.65132	0.515
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1293	rs9434618	-5.83	rs301805	0.120977	-3.99	0.690358	302	5	enet	0.011	0.13	-0.82864	0.407
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.4139	rs4265433	6.06	rs4240910	0.011403	3.66	-5.139348	322	21	enet	0.013	0.12	-2.54376	0.011
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.2371	rs1148471	6.54	rs5067	0.091613	-5.04	-2.04127	473	23	enet	0.18	1e-06	1.55047	0.121
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000233485.1.wgt.RDat	ENSG00000233485.1	1	15343875	15343876	0.2962	rs578771	3.77	rs532075	0.002182	-3.8	-0.762888	538	41	enet	0.01	0.14	-1.21438	0.225
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000186510.11.wgt.RDat	ENSG00000186510.11	1	16018874	16018875	0.3128	rs11801060	-4.15	rs698893	0.013259	3.63	-0.614393	383	39	enet	0.034	0.024	-0.32072	0.748
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000232456.1.wgt.RDat	ENSG00000232456.1	1	16040028	16040029	0.6128	rs11801060	-4.15	rs12728542	0.324574	6.31	-0.731418	376	14	enet	0.31	2.2e-11	-0.82278	0.411
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.3527	rs11801060	-4.15	rs12751725	0.181105	5.09	0.088121	332	25	enet	0.17	2.7e-06	-0.16059	0.872
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000037637.10.wgt.RDat	ENSG00000037637.10	1	16352453	16352454	0.2425	rs11801060	-4.15	rs681104	0.01558	3.36	-0.364482	268	38	enet	0.0034	0.24	-1.2593	0.208
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000186301.8.wgt.RDat	ENSG00000186301.8	1	16645621	16645622	0.5247	rs12408813	2.46	rs4920588	0.207811	-5.26	0.027251	258	27	enet	0.2	1.4e-07	0.71877	0.472
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000215908.10.wgt.RDat	ENSG00000215908.10	1	16657231	16657232	0.6372	rs1883911	-2.49	rs156908	0.128156	5	-0.156584	255	13	enet	0.12	5.4e-05	0.25755	0.797
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000186715.10.wgt.RDat	ENSG00000186715.10	1	16770236	16770237	0.3652	rs12026071	-3.06	rs7513616	0.200475	-5.21	1.496652	290	14	enet	0.17	1.4e-06	-0.99391	0.32
Brain_Amygdala	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Amygdala/ENSG00000238142.1.wgt.RDat	ENSG00000238142.1	1	16889648	16889649	0.3246	rs12026071	-3.06	rs149562	0.098725	-4.6	0.107001	339	15	enet	0.13	3.6e-05	0.11007	0.912
