PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1005	rs1891910	-4.64	rs9442372	0.0158	3.43	0.804079	180	11	enet	0.039	0.00026	0.886731	0.375
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2309	rs1891910	-4.64	rs3128117	0.181	-7.78	-0.839866	183	23	enet	0.18	8.2e-16	1.718441	0.0857
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1306	rs1891910	-4.64	rs2710888	0.118	-6.26	-1.489351	186	12	enet	0.14	7.8e-12	0.581662	0.561
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1674	rs1891910	-4.64	rs9442372	0.0731	-5.78	0.804079	215	13	enet	0.13	5.2e-11	-0.158738	0.874
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.0869	rs1891910	-4.64	rs7515488	-0.00297	-3.26	0.072682	227	19	enet	-0.0022	0.58	-1.928532	0.0538
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000184163.3.wgt.RDat	ENSG00000184163.3	1	1246721	1246722	0.0724	rs1891910	-4.64	rs12036216	0.0064	-3.94	-0.281037	231	3	enet	-0.0024	0.61	0.351018	0.726
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.2116	rs1891910	-4.64	rs34054191	0.0449	4.96	1.294305	244	34	enet	0.056	1.3e-05	1.464136	0.143
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.0698	rs1891910	-4.64	rs2765021	9.98e-05	3.72	0.250194	252	12	enet	0.0027	0.18	0.445513	0.656
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1346	rs1891910	-4.64	rs35242196	0.0551	5.71	-0.583314	275	10	enet	0.029	0.0015	-0.817155	0.414
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3218	rs1891910	-4.64	rs12089560	0.246	-9.81	0.791504	282	4	enet	0.3	1.5e-26	-0.449206	0.653
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.0798	rs1891910	-4.64	rs6694632	0.0243	4.38	-0.412418	284	18	enet	0.012	0.029	-0.132789	0.894
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.3052	rs1891910	-4.64	rs873927	0.143	-7.05	-2.110946	287	22	enet	0.12	2.7e-10	1.735127	0.0827
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.569	rs1891910	-4.64	rs2031709	0.217	-8.68	2.149189	284	24	enet	0.19	4.2e-16	-3.093534	0.00198
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.129	rs3128317	-4.81	rs7519837	0.0461	5.01	0.217693	281	10	enet	0.043	0.00012	0.345416	0.73
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000228594.3.wgt.RDat	ENSG00000228594.3	1	1600095	1600096	0.1405	rs3128317	-4.81	rs11552172	0.07	-4.91	-0.366515	282	27	enet	0.083	1.1e-07	0.763863	0.445
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000272106.1.wgt.RDat	ENSG00000272106.1	1	1615794	1615795	0.3497	rs3128317	-4.81	rs4648611	0.154	7.17	-0.875127	290	13	enet	0.18	1.3e-15	-0.263821	0.792
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.7031	rs3128317	-4.81	rs6604981	0.363	10.81	1.827854	306	21	enet	0.35	9.6e-32	1.064082	0.287
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7936	rs3128317	-4.81	rs4648786	0.165	-7.29	0.181565	306	51	enet	0.41	6.6e-38	-0.630421	0.528
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.7479	rs3128317	-4.81	rs6699975	0.151	-7.11	-1.099054	294	59	enet	0.3	3.6e-26	1.242639	0.214
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.3924	rs3128317	-4.81	rs6699975	0.125	6.51	-1.099054	290	11	enet	0.11	8.8e-10	-0.6108	0.541
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.0637	rs3128317	-4.81	rs7407	0.0943	5.8	-1.165066	288	3	enet	0.099	6.6e-09	-0.109529	0.913
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2109	rs3128317	-4.81	rs16824526	0.092	-6.25	-0.282145	316	16	enet	0.085	7.9e-08	0.177083	0.859
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000178821.12.wgt.RDat	ENSG00000178821.12	1	1919272	1919273	0.1371	rs3128317	-4.81	rs16824543	0.0573	4.37	-0.387959	327	34	enet	0.016	0.014	-0.168151	0.866
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.1016	rs34241773	10.5	rs2503701	0.0514	-4.61	0.746824	379	7	enet	0.045	7.8e-05	-0.256766	0.797
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.4874	rs34241773	10.5	rs2503701	0.203	8.1	0.857603	376	34	enet	0.3	4.3e-26	0.812703	0.416
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.1768	rs34241773	10.5	rs4648633	0.0276	-4.72	-0.308578	351	50	enet	0.072	7.1e-07	0.28471	0.776
Heart_Atrial_Appendage	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Atrial_Appendage/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.1119	rs34241773	10.5	rs7545940	0.0657	4.79	-0.299831	350	2	enet	0.046	6.8e-05	-0.281482	0.778
