GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
ENSG00000238009    1      89295     133723      8       2  351827      -2.2339      0.98726         0.99   1000
ENSG00000230021    1     521369     763176     43       9  351827     -0.92175      0.82167        0.827   1000
ENSG00000198744    1     569756     570302    109      25  351827      0.22619      0.41053        0.411   1000
ENSG00000228327    1     661265     714006    363      38  351827      -0.3854      0.65003        0.635   1000
ENSG00000223181    1     693613     693716     15       5  351827     0.078354      0.46877        0.469   1000
ENSG00000237491    1     714150     745440    118      27  351827      -1.3713      0.91487        0.924   1000
ENSG00000230092    1     736259     753092    156      36  351827      -1.9357      0.97355        0.974   1000
ENSG00000177757    1     752751     755217      9       1  351827     -0.19113      0.57579        0.554   1000
ENSG00000228794    1     760518     794826    134      35  351827      0.44206      0.32922        0.352   1000
ENSG00000225880    1     761586     762902    101      24  351827      0.79895      0.21216        0.203   1000
ENSG00000230368    1     803451     812283     38      13  351827   -0.0076252      0.50304        0.505   1000
ENSG00000234711    1     808672     809729      3       1  351827     -0.12104      0.54817        0.534   1000
ENSG00000283040    1     809909     812614      1       1  351827     -0.60647       0.7279        0.708   1000
ENSG00000272438    1     840214     851356     15       3  351827      0.36545      0.35739        0.344   1000
ENSG00000230699    1     846815     850328     52      14  351827       -1.124      0.86949        0.871   1000
ENSG00000241180    1     849551     850351     11       3  351827     -0.83162      0.79719        0.804   1000
ENSG00000223764    1     852245     856396     21       4  351827     -0.97155      0.83436        0.851   1000
ENSG00000187634    1     861118     879961     59      13  351827      -1.0019      0.84181        0.846   1000
ENSG00000188976    1     879584     894670     74      12  351827     -0.16125      0.56405        0.552   1000
ENSG00000187961    1     895967     901095     61      16  351827       1.1314      0.12893        0.115   1000
ENSG00000187583    1     901877     910488     60      14  351827     -0.86007      0.80513        0.804   1000
ENSG00000187642    1     910584     917473     25       5  351827      0.95042      0.17095        0.171   1000
ENSG00000272512    1     931346     933431      9       3  351827      0.71211       0.2382        0.215   1000
ENSG00000188290    1     934342     935552     11       3  351827      0.39858       0.3451        0.333   1000
ENSG00000187608    1     936518     949921     63      23  351827     -0.30711      0.62062         0.63   1000
ENSG00000231702    1     943456     943609     11       4  351827    -0.041718      0.51664        0.498   1000
ENSG00000224969    1     947377     948573      8       2  351827       -1.173       0.8796        0.871   1000
ENSG00000188157    1     955503     991498     90      29  351827     -0.53546      0.70383        0.705   1000
ENSG00000242590    1     990413     991496     11       4  351827      0.57417      0.28293        0.272   1000
ENSG00000217801    1     995114    1004735     15       6  351827      0.32466      0.37272        0.387   1000
ENSG00000273443    1     997588     998668      7       4  351827      0.44122      0.32953        0.352   1000
ENSG00000237330    1    1006346    1009687     11       3  351827     0.053962      0.47848        0.485   1000
ENSG00000131591    1    1017198    1051478     47      12  351827      -1.7107      0.95643         0.97   1000
ENSG00000223823    1    1072397    1079436      8       3  351827     -0.09346      0.53723        0.549   1000
ENSG00000207730    1    1102484    1102578      1       1  351827        1.281       0.1001         0.09   1000
ENSG00000207607    1    1103243    1103332      1       1  351827      0.19768      0.42165        0.423   1000
ENSG00000198976    1    1104385    1104467      1       1  351827      0.19768      0.42165        0.423   1000
ENSG00000272141    1    1104737    1105723      2       1  351827      0.31196      0.37754        0.362   1000
ENSG00000205231    1    1108436    1114935     31       6  351827        1.806     0.035459        0.035   1000
ENSG00000162571    1    1109283    1133315    107      21  351827      0.31963      0.37462        0.373   1000
ENSG00000186891    1    1138888    1142071     15       3  351827       0.9345      0.17502        0.176   1000
ENSG00000186827    1    1146706    1149512      9       3  351827      -0.1292       0.5514        0.528   1000
ENSG00000078808    1    1152288    1167411      6       3  351827     -0.42037      0.66289        0.629   1000
ENSG00000176022    1    1167645    1170421     15       4  351827     -0.90678      0.81774        0.792   1000
ENSG00000184163    1    1177833    1182102      8       2  351827     -0.79134      0.78563          0.8   1000
ENSG00000260179    1    1185157    1186714     13       4  351827     -0.82762      0.79606        0.803   1000
