GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
ENSG00000198744    1     569756     570302     20       7  351827     -0.88768      0.81264        0.808   1000
ENSG00000228327    1     661265     714006     87      22  351827      0.38658      0.34954        0.332   1000
ENSG00000237491    1     714150     745440      2       1  351827      0.32118      0.37404        0.369   1000
ENSG00000230092    1     736259     753092    106      25  351827      0.47332      0.31799        0.308   1000
ENSG00000177757    1     752751     755217     23       5  351827     -0.10302      0.54103         0.54   1000
ENSG00000228794    1     760518     794826    170      38  351827      -0.3493      0.63657        0.633   1000
ENSG00000225880    1     761586     762902     61      17  351827     -0.18536      0.57353        0.589   1000
ENSG00000230368    1     803451     812283    121      26  351827      -0.3106      0.62195        0.606   1000
ENSG00000234711    1     808672     809729      3       1  351827     -0.12104      0.54817        0.551   1000
ENSG00000283040    1     809909     812614      1       1  351827     -0.60647       0.7279        0.711   1000
ENSG00000272438    1     840214     851356     15       3  351827      0.36545      0.35739        0.345   1000
ENSG00000230699    1     846815     850328     40       9  351827     -0.12301      0.54895        0.574   1000
ENSG00000241180    1     849551     850351     11       3  351827     -0.83162      0.79719        0.791   1000
ENSG00000223764    1     852245     856396     34       7  351827     -0.58405      0.72041        0.733   1000
ENSG00000187634    1     861118     879961    146      30  351827     0.043121       0.4828        0.467   1000
ENSG00000188976    1     879584     894670     18       7  351827      0.94021      0.17356        0.149   1000
ENSG00000187961    1     895967     901095    180      38  351827      -1.4066      0.92023        0.921   1000
ENSG00000187583    1     901877     910488     21       8  351827       1.0971      0.13631        0.135   1000
ENSG00000187642    1     910584     917473     25       5  351827      0.95042      0.17095        0.182   1000
ENSG00000272512    1     931346     933431      9       3  351827      0.71211       0.2382        0.229   1000
ENSG00000188290    1     934342     935552     11       3  351827      0.39858       0.3451        0.363   1000
ENSG00000187608    1     936518     949921     90      22  351827     -0.52373      0.69977        0.702   1000
ENSG00000231702    1     943456     943609     11       4  351827    -0.041718      0.51664        0.514   1000
ENSG00000224969    1     947377     948573      8       2  351827       -1.173       0.8796        0.874   1000
ENSG00000188157    1     955503     991498    135      32  351827     -0.99622      0.84043        0.847   1000
ENSG00000242590    1     990413     991496     11       4  351827      0.57417      0.28293         0.28   1000
ENSG00000217801    1     995114    1004735    100      17  351827     -0.41843      0.66218        0.669   1000
ENSG00000273443    1     997588     998668      7       4  351827      0.44122      0.32953        0.329   1000
ENSG00000237330    1    1006346    1009687     11       3  351827     0.053962      0.47848        0.482   1000
ENSG00000131591    1    1017198    1051478     81      15  351827       1.1212      0.13109        0.124   1000
ENSG00000223823    1    1072397    1079436      8       3  351827     -0.09346      0.53723        0.524   1000
ENSG00000207730    1    1102484    1102578      1       1  351827        1.281       0.1001        0.105   1000
ENSG00000207607    1    1103243    1103332      1       1  351827      0.19768      0.42165        0.417   1000
ENSG00000198976    1    1104385    1104467      1       1  351827      0.19768      0.42165        0.417   1000
ENSG00000272141    1    1104737    1105723      2       1  351827      0.31196      0.37754        0.374   1000
ENSG00000205231    1    1108436    1114935     31       6  351827        1.806     0.035459        0.035   1000
ENSG00000162571    1    1109283    1133315     85      15  351827       1.0056      0.15731        0.158   1000
ENSG00000186891    1    1138888    1142071     15       3  351827       0.9345      0.17502        0.157   1000
ENSG00000186827    1    1146706    1149512      9       3  351827      -0.1292       0.5514        0.551   1000
ENSG00000078808    1    1152288    1167411     88      23  351827      -1.5724      0.94207        0.937   1000
ENSG00000176022    1    1167645    1170421     38      10  351827      -1.8975      0.97112         0.97   1000
ENSG00000184163    1    1177833    1182102      8       2  351827     -0.79134      0.78563        0.774   1000
ENSG00000260179    1    1185157    1186714     13       4  351827     -0.82762      0.79606        0.814   1000
ENSG00000160087    1    1189294    1209265     55      10  351827     -0.69261      0.75572        0.749   1000
ENSG00000230415    1    1210603    1215800     20       4  351827      0.17892        0.429        0.415   1000
ENSG00000162572    1    1215816    1227409     35       8  351827     -0.34611      0.63537        0.588   1000
ENSG00000131584    1    1227756    1243398     68      14  351827      -1.9259      0.97294        0.968   1000
ENSG00000169972    1    1243947    1247057      9       3  351827     -0.89343      0.81419        0.809   1000
ENSG00000127054    1    1246965    1260071     14       4  351827     -0.66378      0.74659        0.739   1000
ENSG00000240731    1    1252961    1254069      6       2  351827     0.081568       0.4675        0.441   1000
ENSG00000224051    1    1260147    1264277     10       3  351827      -0.9498      0.82889        0.822   1000
ENSG00000169962    1    1266694    1270686     14       4  351827     0.040021      0.48404        0.458   1000
ENSG00000107404    1    1270656    1284730     16       4  351827       2.0181      0.02179         0.02   1000
ENSG00000162576    1    1288069    1297157     67      18  351827     -0.52793      0.70123        0.696   1000
ENSG00000175756    1    1309110    1310875     90      26  351827      -2.0565      0.98013        0.984   1000
ENSG00000223663    1    1314046    1314412     11       2  351827      0.15939      0.43668        0.438   1000
ENSG00000221978    1    1321875    1334697     22       9  351827     -0.33563      0.63142        0.624   1000
ENSG00000224870    1    1334902    1337426     10       3  351827     -0.12073      0.54805        0.547   1000
ENSG00000242485    1    1337288    1342693     12       4  351827     0.032454      0.48705         0.49   1000
ENSG00000264293    1    1340841    1341132      5       3  351827     -0.34805       0.6361         0.62   1000
