PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.2562	rs1891910	-4.644	rs3094315	0.117	4.8	-0.146306	150	11	enet	0.09	1.7e-05	-0.166	0.868
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3949	rs1891910	-4.644	rs3094315	0.31	7.74	-0.146306	156	16	enet	0.3	1.6e-16	-0.337	0.736
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000223764.2.wgt.RDat	ENSG00000223764.2	1	919691	919692	0.2018	rs1891910	-4.644	rs28576697	0.0436	-4.67	0.734827	176	20	enet	0.14	7.5e-08	-1.48	0.138
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000187634.11.wgt.RDat	ENSG00000187634.11	1	923927	923928	0.1974	rs1891910	-4.644	rs28576697	0.0661	-5.4	0.734553	177	17	enet	0.062	0.00034	-1.71	0.0874
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.2533	rs1891910	-4.644	rs13303010	0.125	-5.04	-1.059608	181	14	enet	0.14	1.1e-07	0.213	0.831
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.2665	rs1891910	-4.644	rs1891906	0.182	-5.92	-0.657189	184	17	enet	0.15	3.3e-08	1.4	0.161
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.377	rs1891910	-4.644	rs6687776	0.108	-6.11	0.08773	216	10	enet	0.25	1.6e-13	-0.114	0.909
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.236	rs1891910	-4.644	rs2031709	-0.00403	-3.23	2.149189	222	25	enet	0.016	0.047	-1.99	0.0471
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000186827.10.wgt.RDat	ENSG00000186827.10	1	1214131	1214132	0.1925	rs1891910	-4.644	rs12036216	0.0869	-4.77	-0.281037	228	5	enet	0.1	3.7e-06	0.302	0.763
Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.4804	rs1891910	-4.644	rs3813199	0.392	-8.66	-0.068504	229	10	enet	0.34	7.3e-19	-0.12	0.905
